step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35
21500	-245.427030233362956	-243.235158586820148	-2.191871646542821	0.000243919540550	0.000027738402449	0.113719476457255	0.644950801258051	5	11	13	13	15	17	17	17	16	16	19	18	18	18	18	20	20	20	22	20	22	24	22	21	23	23	25	26	24	24	25	27	28	28	29	0	1	0	1	4	2	9	9	5	3	5	2	6	9	9	4	15	4	15	15	16	23	17	6	20	24	20	15	20	18	18	19	16	22	26	1	4	1	4	1	2	1	1	1	2	1	3	1	1	1	3	1	3	3	1	1	1	1	2	2	1	2	2	2	2	2	2	2	2	2
22000	-243.364132898259129	-241.553989842787502	-1.810143055471635	0.000158044401960	0.000027534234444	0.174218346888009	0.557728025476024	5	13	14	11	15	16	16	17	18	16	18	17	17	18	19	19	20	20	22	21	21	25	22	21	22	24	25	25	25	24	25	27	27	29	30	0	4	0	1	2	4	2	4	7	3	5	6	4	13	11	12	11	5	15	11	13	17	17	18	16	11	20	17	8	16	25	28	30	32	26	1	1	1	4	1	2	1	3	1	2	2	1	2	1	1	2	1	2	2	2	2	3	2	1	2	3	1	2	4	3	1	1	1	1	4
22500	-229.080016803853340	-227.430509474763426	-1.649507329089921	0.000137543468374	0.000030315078009	0.220403617613101	0.687884739440538	6	13	12	12	14	18	18	16	17	16	18	18	17	19	19	20	20	20	23	22	22	23	22	22	23	23	24	25	24	25	25	26	27	28	29	0	4	0	1	4	8	4	4	2	3	5	8	4	8	9	12	15	7	17	13	4	17	15	18	20	18	25	20	21	12	25	28	6	32	26	1	1	1	2	1	1	3	1	2	2	1	2	2	1	1	1	1	1	1	3	5	1	1	1	1	1	1	1	1	3	1	1	3	1	3
23000	-241.119317814756414	-238.919441949880564	-2.199875864875850	0.000165593104789	0.000018685930587	0.112842443596469	0.529654301906996	6	13	13	12	15	17	17	16	17	16	18	19	17	18	18	20	19	20	22	21	22	24	20	22	21	24	24	23	23	25	26	26	29	29	30	0	4	0	1	4	4	2	4	4	3	2	6	4	8	8	4	11	11	9	4	25	15	9	18	13	18	29	15	25	12	29	20	12	32	26	1	1	1	3	2	2	2	2	3	2	3	1	3	1	2	4	1	1	3	3	1	3	1	1	3	2	1	4	1	3	2	2	4	2	2
23500	-236.271833217183541	-234.244341663722423	-2.027491553461125	0.000264808863425	0.000035628305294	0.134543477257725	0.557201524215369	6	12	12	13	14	17	16	15	16	16	18	19	17	18	18	20	20	20	21	20	21	25	22	21	23	22	23	24	24	25	25	28	26	29	29	0	1	0	2	4	2	5	2	4	3	7	9	8	6	4	12	14	15	17	7	2	8	17	18	15	18	21	19	7	29	27	21	12	29	24	1	2	1	1	1	3	1	2	2	2	1	1	1	1	3	1	1	1	1	2	3	4	1	1	3	1	1	1	4	1	2	3	3	2	4
24000	-253.382327498981255	-251.773874780295841	-1.608452718685419	0.000256542402150	0.000060650428785	0.236414831532375	0.507534970571104	6	12	13	11	14	17	18	16	16	15	18	17	16	18	18	20	19	20	21	20	23	24	22	21	23	24	24	26	25	26	25	26	28	28	29	0	4	0	1	2	13	13	4	5	3	5	2	2	9	9	6	15	8	11	13	14	15	15	7	24	8	21	17	15	16	8	26	6	17	26	1	1	1	3	1	1	1	2	1	1	2	3	2	2	1	2	1	2	2	2	2	4	3	2	1	3	1	3	3	3	5	2	5	4	2
24500	-263.518405723150806	-261.377942904313954	-2.140462818836850	0.000359575939662	0.000043014853976	0.119626619112429	0.453566470159967	5	13	13	12	14	15	17	16	16	16	17	18	18	19	17	19	20	21	22	20	22	24	22	21	22	23	23	23	25	25	24	27	25	27	27	0	4	0	1	2	4	5	2	2	3	2	15	4	9	2	6	14	5	20	5	5	14	20	7	17	7	18	19	27	12	24	17	16	28	13	1	1	1	2	1	1	1	2	2	2	3	1	3	2	2	2	1	3	1	2	3	2	1	2	1	2	1	1	2	4	1	3	3	2	4
25000	-226.707290196686216	-224.048963780854024	-2.658326415832198	0.000187761375699	0.000014282725720	0.076068497402130	0.680353516455648	6	12	13	12	15	16	18	16	17	15	18	19	15	18	18	21	20	20	21	21	23	24	21	21	22	24	23	26	25	24	25	27	28	28	29	0	1	0	1	4	4	6	4	4	3	9	2	4	8	8	9	4	11	15	11	20	23	8	18	17	18	25	17	9	16	25	28	16	32	26	1	3	1	2	1	3	1	2	3	1	1	3	2	1	1	1	3	1	2	2	1	1	2	1	1	2	1	2	4	2	1	1	2	1	2
25500	-252.512501549469960	-250.556399422408788	-1.956102127061180	0.000183177883995	0.000026683871272	0.145671904764599	0.534188234515290	6	12	13	13	14	17	16	16	17	16	17	15	17	18	17	20	19	19	22	21	22	24	21	22	22	23	24	25	26	25	25	28	28	29	28	0	1	0	2	4	2	5	2	2	3	2	2	8	15	7	2	15	5	15	5	11	17	14	18	6	4	16	22	24	11	26	28	20	32	26	1	3	1	1	1	3	1	2	2	2	3	2	1	1	1	4	1	2	2	4	2	1	1	2	2	4	2	1	1	3	1	1	2	1	2
26000	-244.989219543818450	-242.365887477562211	-2.623332066256240	0.000164828404328	0.000012885773851	0.078176901023791	0.380814367670409	5	12	13	11	14	16	18	16	17	16	18	18	18	18	18	21	17	20	23	21	23	24	22	22	23	24	24	25	26	25	25	27	29	28	28	0	1	0	1	4	2	8	2	8	3	6	4	2	9	8	2	5	5	17	11	2	15	9	18	6	18	13	19	19	25	16	23	6	23	26	1	3	1	3	1	3	1	2	1	2	2	3	4	1	1	6	1	2	2	2	6	3	2	1	4	2	3	1	1	1	2	2	6	3	2
26500	-233.488163339054722	-231.712356960889025	-1.775806378165690	0.000148203676330	0.000027040036276	0.182451859127223	0.469343443645768	5	11	13	12	14	16	18	17	17	14	17	18	15	18	18	20	20	21	23	20	22	25	23	22	23	24	24	25	26	25	26	27	27	28	29	0	1	0	2	4	2	4	2	4	3	5	6	2	6	8	12	15	8	17	9	8	19	14	18	18	18	9	19	25	16	25	22	30	32	26	1	3	1	1	1	2	3	4	3	1	2	2	2	1	1	1	1	3	2	3	3	1	3	1	1	1	3	1	2	2	3	1	1	1	3
27000	-266.436622742523923	-264.515590396310472	-1.921032346213439	0.000168407427588	0.000025553493428	0.151736142482867	0.503227775857038	6	12	13	12	15	16	17	16	17	16	19	18	16	18	17	20	18	20	20	21	22	24	21	22	22	23	24	25	25	25	25	26	27	28	29	0	1	0	1	4	4	5	2	5	3	5	2	4	8	5	17	2	8	9	8	20	9	7	2	23	24	25	19	19	16	20	23	16	23	24	1	4	1	2	2	3	1	2	2	2	2	2	2	1	1	1	3	2	2	3	1	2	1	5	1	1	1	3	2	3	3	3	3	2	2
27500	-233.066735926102297	-231.184990046323662	-1.881745879778646	0.000105081322083	0.000016715895569	0.159075801841458	0.466313044562722	6	13	14	12	15	18	17	16	17	16	18	18	17	19	19	20	18	20	21	20	22	24	23	21	24	23	25	24	24	25	25	26	27	28	29	0	4	0	1	4	4	4	4	4	3	5	4	4	8	17	12	9	4	14	9	9	9	8	18	23	18	13	23	20	6	29	22	6	19	26	1	1	1	3	1	3	2	2	3	1	1	3	2	2	1	1	1	3	2	1	2	4	4	1	1	2	5	1	2	3	1	1	4	3	3
28000	-250.100532983252322	-247.573319455952856	-2.527213527299460	0.000205947991104	0.000017390960241	0.084443456561713	0.541583632526988	6	13	12	12	15	17	15	15	16	15	16	18	17	18	18	21	20	20	20	20	23	24	22	22	22	23	24	25	23	26	25	27	28	28	28	0	4	0	1	2	8	2	4	2	3	2	8	9	11	4	6	9	15	14	9	20	23	20	18	7	18	8	15	8	6	29	28	16	22	18	1	1	1	2	1	1	1	2	2	2	1	1	1	1	2	2	2	1	1	2	2	1	1	2	3	1	4	4	3	4	1	1	4	3	3
28500	-246.881801084925115	-244.968040538016339	-1.913760546908772	0.000191291740611	0.000029277024148	0.153049076007676	0.381017014206866	5	12	12	13	14	17	17	15	17	14	16	19	17	19	17	21	20	20	22	19	23	25	23	19	23	23	23	25	25	25	25	26	28	28	29	0	1	0	2	2	2	4	4	8	3	5	6	11	8	8	12	15	7	15	4	8	23	14	11	4	18	8	19	20	6	20	28	16	25	25	1	3	1	1	1	2	2	1	1	1	1	1	1	2	1	1	1	1	3	2	5	1	2	2	6	2	3	2	3	3	3	1	3	3	4
29000	-262.637937709808625	-259.915108678275544	-2.722829031533062	0.000213716366384	0.000015472804799	0.072398782839180	0.425813122724934	6	11	13	12	14	17	16	15	16	14	19	18	17	18	19	21	20	21	20	20	22	24	23	20	23	24	24	25	24	25	24	27	28	29	29	0	1	0	1	4	2	4	4	5	3	7	4	5	5	7	8	7	7	8	7	6	18	9	12	5	18	11	22	11	11	20	28	16	32	26	1	2	1	2	1	4	2	2	1	1	1	2	2	2	1	2	1	3	2	2	2	2	3	1	4	2	3	1	2	2	2	1	3	2	2
29500	-281.298796491172652	-279.166197782098266	-2.132598709074358	0.000266536724402	0.000032137525537	0.120574474714890	0.452210231875214	6	13	11	13	15	16	18	15	17	15	18	18	17	18	17	20	19	20	22	19	21	24	22	21	23	23	24	23	25	24	26	27	27	29	29	0	1	0	1	4	2	2	2	4	3	5	6	4	8	8	20	13	4	17	2	7	2	18	7	5	7	2	15	19	2	23	17	18	19	27	1	3	1	3	1	2	2	1	1	3	1	2	2	1	2	1	1	4	2	4	1	6	2	2	6	2	5	2	2	5	2	2	3	4	2
30000	-251.134837568003377	-248.297875059203022	-2.836962508800363	0.000240422739684	0.000015992674027	0.066518974235005	0.633101129622615	6	13	13	12	14	17	18	16	17	15	19	19	17	19	18	20	19	20	22	21	22	24	23	22	20	23	25	24	26	26	24	28	28	28	30	0	4	0	1	2	8	4	4	8	3	9	6	2	9	9	6	15	5	15	25	18	19	19	7	7	11	25	17	20	16	18	22	23	28	26	1	1	1	3	1	1	3	2	1	2	1	2	2	1	1	2	1	3	2	1	1	1	1	2	1	2	3	2	3	3	1	2	1	2	3
30500	-281.967245901891260	-280.006633596689255	-1.960612305202019	0.000185008276148	0.000026811877427	0.144922583924733	0.372216850303466	6	13	13	13	15	18	17	17	18	15	19	16	18	18	18	20	19	20	22	22	23	24	23	22	23	23	23	24	25	25	26	28	27	27	30	0	1	0	1	2	2	5	2	12	3	5	4	8	2	2	4	8	14	17	8	14	8	6	9	20	11	11	15	5	6	25	6	12	17	18	1	4	1	3	1	3	1	3	1	1	2	2	1	2	2	3	1	1	2	1	3	5	2	3	1	2	2	3	4	4	2	4	6	3	4
31000	-270.893946127729521	-268.857856978326083	-2.036089149403460	0.000134142727920	0.000017881364489	0.133301035146911	0.365409947107483	6	12	12	13	14	16	16	14	17	15	18	18	15	18	17	20	17	20	22	21	23	25	23	21	23	23	22	24	24	24	24	28	27	29	27	0	1	0	1	2	4	5	2	2	3	4	6	2	15	4	6	2	11	9	4	20	4	17	11	2	24	2	4	19	16	11	28	12	25	26	1	4	1	4	1	1	1	1	3	2	2	2	2	1	3	2	2	2	3	4	1	6	3	1	5	2	4	5	1	2	3	3	5	5	2
31500	-238.452463615853134	-236.558918371773188	-1.893545244079948	0.000074712205900	0.000011715348833	0.156806357036479	0.530190907344155	6	12	13	12	15	17	17	16	17	15	18	18	17	19	18	21	20	20	23	21	23	24	22	22	24	23	23	24	25	25	25	27	29	29	29	0	1	0	1	2	2	5	2	8	3	5	2	2	9	8	6	15	4	17	4	11	17	17	18	20	18	2	19	25	12	20	28	30	32	18	1	2	1	2	2	3	1	2	1	2	2	4	2	1	1	2	1	4	1	3	3	2	1	1	2	2	6	1	1	4	2	2	1	1	4
32000	-256.347777050536934	-254.084416160351168	-2.263360890185747	0.000141017315562	0.000014983914848	0.106255850835989	0.472871187205091	5	12	12	13	14	16	17	16	16	15	19	17	17	18	18	19	20	19	22	21	23	25	22	21	23	24	22	25	24	26	22	27	28	29	29	0	1	0	2	2	2	2	2	2	3	4	9	2	7	8	2	15	5	7	7	13	8	16	18	31	24	2	8	16	6	7	19	6	22	26	1	4	1	1	1	1	4	2	3	2	3	1	3	1	1	4	1	2	2	2	4	5	2	1	1	2	5	5	3	4	2	2	5	2	3
32500	-249.799385867093662	-247.773090160023855	-2.026295707069803	0.000164356173586	0.000022141708927	0.134717841404007	0.489924437424514	5	10	14	12	14	17	18	16	17	16	18	19	16	18	18	21	20	20	22	22	23	22	21	21	23	23	25	25	24	26	26	26	26	27	29	0	1	0	2	4	2	8	2	4	3	13	7	2	9	6	12	15	8	9	7	23	15	2	2	7	24	29	17	20	16	27	19	7	28	26	1	2	1	1	1	3	2	3	2	2	1	1	4	1	1	1	1	2	2	2	1	2	5	3	2	1	1	2	2	4	1	1	4	1	2
33000	-228.234508811097641	-226.424301166668869	-1.810207644428773	0.000118384408889	0.000020622979571	0.174203510111168	0.579221084060460	5	12	13	13	14	17	17	16	17	15	16	17	18	19	18	21	19	20	22	22	22	25	22	21	24	22	24	26	25	25	25	27	28	29	29	0	1	0	2	4	2	4	2	2	3	5	2	2	9	9	2	15	11	15	13	2	15	17	18	20	18	21	9	13	6	25	22	16	22	26	1	3	1	1	1	2	1	2	3	1	1	3	3	1	1	5	1	2	1	2	5	4	1	1	1	2	1	3	4	3	1	1	4	3	4
33500	-252.318441508120856	-250.272648456740598	-2.045793051380261	0.000272514972449	0.000035950671203	0.131921820219758	0.422188397998075	6	12	11	12	14	17	16	15	17	16	19	18	17	17	18	19	20	19	22	19	21	24	22	21	21	23	24	24	26	22	26	27	29	28	27	0	1	0	1	4	4	5	5	5	3	14	9	5	8	13	2	15	9	17	14	6	16	6	7	13	24	20	23	11	4	23	19	34	23	26	1	3	1	2	1	3	1	1	2	2	1	1	2	2	1	4	1	1	1	1	2	2	2	2	2	1	3	1	3	4	2	2	1	4	2
34000	-267.028186303777318	-265.170639685902302	-1.857546617875039	0.000185506647784	0.000030407957089	0.163918422612780	0.488308760352440	5	13	12	11	13	17	17	16	17	15	18	19	17	18	18	21	19	20	22	20	22	23	21	22	22	24	25	24	25	24	25	26	28	28	27	0	4	0	1	4	4	2	5	2	3	9	2	2	8	4	12	14	9	9	9	5	9	17	18	20	24	25	8	2	6	15	15	16	32	18	1	1	1	3	1	2	2	1	1	2	1	3	2	1	3	2	1	1	3	2	3	4	1	1	1	1	2	4	5	3	4	2	4	2	4
34500	-229.257281974815356	-226.489257346424750	-2.768024628390606	0.000242269117366	0.000016954495528	0.069982074944236	0.542054188289519	5	13	13	10	15	17	18	17	16	16	19	19	17	18	19	20	20	18	21	21	23	24	22	20	23	24	24	25	24	26	25	27	28	28	29	0	4	0	1	2	5	2	9	2	3	5	2	4	9	9	7	9	5	17	11	20	17	8	18	12	24	20	17	23	16	27	22	16	22	26	1	2	1	2	1	1	2	1	2	2	2	3	2	1	2	1	1	1	1	1	1	2	2	1	2	2	1	2	1	4	1	2	3	2	4
35000	-245.676779714909742	-242.968828033075908	-2.707951681833841	0.000167959565042	0.000012298238517	0.073221423942129	0.543682494108034	5	13	13	13	14	16	17	15	17	16	18	17	17	18	18	20	19	20	20	22	23	23	22	20	24	23	23	24	25	26	26	27	28	28	27	0	1	0	1	2	4	5	4	8	3	5	4	4	8	8	4	8	11	15	16	16	12	15	4	24	18	16	17	20	12	16	28	30	31	24	1	2	1	4	1	1	1	1	1	2	1	2	2	1	2	4	2	1	1	1	1	3	1	4	2	1	2	2	1	4	3	1	1	1	2
35500	-247.802546208515508	-245.613757185654379	-2.188789022861136	0.000216739742379	0.000024721376743	0.114060192524250	0.429149116812178	5	13	13	12	14	17	17	16	17	16	19	17	17	18	19	21	20	20	22	22	22	24	21	20	23	23	25	23	24	25	26	28	28	28	29	0	4	0	1	4	4	2	2	5	3	5	4	4	9	9	9	8	7	23	13	12	17	17	12	11	18	11	20	21	20	29	22	16	22	26	1	1	1	3	1	2	2	1	2	2	1	3	1	1	2	1	1	1	1	3	1	2	1	2	1	1	2	1	1	2	1	2	4	2	3
36000	-230.154085894625524	-227.970667762724929	-2.183418131900601	0.000184303131239	0.000021131790755	0.114657795624544	0.527327990832825	6	13	12	12	15	17	17	16	17	15	18	19	17	19	18	20	20	20	23	22	21	24	22	22	23	23	25	25	24	24	24	26	29	29	28	0	4	0	1	2	2	8	4	2	3	5	4	4	9	9	7	7	11	8	15	13	9	17	18	20	18	25	17	25	12	20	19	30	19	26	1	1	1	3	1	2	1	2	1	1	1	3	2	1	1	3	1	1	3	1	2	4	1	1	1	1	1	2	1	2	1	1	2	3	2
36500	-243.244833850472560	-241.177153693549343	-2.067680156923226	0.000126069251430	0.000016250024813	0.128897606899706	0.464672769854208	4	12	11	12	14	17	17	15	17	16	19	18	17	17	19	20	19	20	23	21	22	24	21	19	24	24	24	25	25	25	25	27	29	29	29	0	1	0	1	4	2	4	4	8	3	5	4	2	8	2	6	9	2	17	13	7	15	17	2	20	18	20	15	2	16	20	18	6	28	26	1	3	1	3	1	2	2	1	2	2	2	2	2	1	3	2	1	4	2	2	2	2	1	4	1	2	2	3	6	3	3	3	6	3	2
37000	-237.367144214730388	-235.206928342803138	-2.160215871927254	0.000163475446894	0.000019175492721	0.117298916045313	0.534339217776694	5	12	12	10	14	17	17	16	16	16	18	19	17	19	19	21	18	20	22	22	22	24	22	21	23	23	24	25	25	25	25	27	25	28	26	0	4	0	1	4	2	5	2	4	3	5	6	4	8	8	12	5	7	8	13	13	23	15	11	21	18	11	15	25	16	25	28	13	23	24	1	1	1	2	2	2	2	2	2	2	2	1	4	1	1	1	1	2	3	2	3	1	2	2	1	1	3	3	1	2	2	1	4	3	2
37500	-244.634315785585613	-242.868484714948352	-1.765831070637264	0.000134422582873	0.000024865712574	0.184981660392708	0.444035461209957	5	12	12	13	14	17	17	17	17	15	19	18	16	16	18	19	20	20	23	21	23	23	21	21	24	23	24	24	23	25	25	27	29	29	29	0	1	0	1	2	2	2	2	4	3	5	4	2	4	14	12	8	4	23	9	24	24	8	2	20	24	29	23	18	16	20	17	30	28	26	1	3	1	4	1	3	2	2	3	2	2	3	2	2	1	1	1	4	1	3	2	1	3	4	2	1	1	1	2	3	2	4	2	2	3
38000	-242.688058811965419	-240.045493861935000	-2.642564950030417	0.000141993979967	0.000010934591746	0.077007431923707	0.410761407994000	5	13	13	13	14	17	18	16	18	15	17	17	16	19	18	19	20	20	23	22	22	24	20	20	23	23	25	26	25	25	25	26	28	28	27	0	1	0	1	4	2	4	2	8	3	5	2	2	9	8	2	15	4	15	18	18	11	8	2	20	24	20	17	20	16	25	19	16	19	24	1	5	1	4	1	2	3	2	2	1	2	2	2	1	1	3	1	3	4	1	2	3	2	3	1	1	2	4	2	2	1	1	5	2	3
38500	-222.993714840401424	-220.646170679181040	-2.347544161220390	0.000136065889398	0.000013391987095	0.098422809379997	0.437222514100911	6	11	13	13	14	17	17	16	17	16	18	18	17	18	19	21	20	19	21	21	22	24	23	20	23	23	23	25	24	23	25	26	29	29	29	0	1	0	2	4	2	2	2	8	3	5	2	2	9	9	11	15	8	8	7	20	17	19	7	20	24	11	15	25	16	27	22	30	28	26	1	3	1	1	1	3	3	2	1	2	2	3	2	1	1	1	1	2	3	2	1	1	1	3	1	2	2	3	1	1	1	1	2	2	3
39000	-236.842177195094450	-235.137719013313870	-1.704458181780583	0.000221871385150	0.000044850710410	0.202147340360334	0.641633901007436	5	10	11	12	15	18	17	16	17	14	19	18	17	18	19	20	20	19	23	21	22	25	22	21	23	23	24	24	25	26	25	27	28	29	29	0	1	0	2	4	4	5	4	8	3	5	2	2	8	13	13	14	13	23	8	8	17	15	11	6	24	5	15	28	16	20	22	27	32	26	1	2	1	1	2	3	1	2	1	2	1	2	3	1	1	1	1	1	1	2	3	2	2	1	2	1	4	3	1	2	2	1	2	1	3
39500	-236.321101532960398	-234.559152034906703	-1.761949498053685	0.000157079161535	0.000029214213640	0.185984018213995	0.443243655900941	6	13	12	11	14	17	17	14	18	16	17	18	16	18	19	20	20	20	21	20	23	25	23	21	23	23	24	25	25	25	26	26	28	29	29	0	4	0	1	4	2	4	4	6	3	5	6	4	8	8	6	14	2	11	11	11	17	9	15	7	24	15	17	25	12	27	19	16	28	26	1	2	1	2	1	2	3	1	1	2	2	1	2	1	3	2	1	3	2	2	4	2	2	1	2	1	2	2	1	4	1	2	4	2	3
40000	-254.289730491905800	-252.359832375839773	-1.929898116066018	0.000213788826959	0.000032102946965	0.150161949160830	0.481153136962635	6	13	13	12	15	16	16	17	18	15	18	15	18	18	18	20	20	20	21	21	22	24	23	21	24	24	24	24	25	22	24	27	27	28	30	0	4	0	1	2	12	2	12	4	3	5	2	4	7	4	6	5	9	7	13	9	17	19	9	15	18	4	19	13	6	13	22	30	23	26	1	1	1	3	1	1	2	1	3	1	2	1	2	1	3	2	3	1	2	1	2	2	1	2	3	2	4	2	2	3	3	2	3	2	3
40500	-265.701314254656324	-263.564431391940616	-2.136882862715725	0.000255364934116	0.000030658242121	0.120056585791370	0.381675796308263	5	12	12	12	15	17	18	17	17	14	18	18	17	19	19	20	19	20	21	22	22	24	22	22	24	23	24	25	26	25	26	25	28	28	29	0	1	0	1	2	5	8	2	4	3	8	2	2	9	11	6	2	2	7	17	5	9	15	18	20	5	16	14	20	4	28	15	17	26	21	1	2	1	2	2	1	1	2	2	1	1	2	3	1	1	2	3	3	1	2	4	3	1	1	1	5	2	3	2	7	1	2	5	3	3
41000	-238.439585841119111	-236.524602076346383	-1.914983764772723	0.000240243266225	0.000036715616119	0.152826827140362	0.575612222453617	6	11	13	13	14	17	16	15	17	15	18	18	17	18	17	21	20	20	23	22	22	25	21	22	23	23	25	25	26	24	26	28	28	27	28	0	1	0	2	4	4	2	4	8	3	5	2	4	8	8	14	15	2	15	16	11	19	15	12	24	12	25	19	25	18	20	28	16	19	24	1	1	1	1	1	2	2	1	2	1	1	3	2	2	1	2	2	5	2	1	2	2	2	2	1	2	1	1	2	2	2	2	4	2	3
41500	-250.797580042910965	-248.789570838928171	-2.008009203982808	0.000197056755763	0.000027082036846	0.137432673857915	0.429260477025257	5	13	13	11	15	17	17	16	17	15	19	18	17	18	18	21	20	19	22	21	20	25	22	22	21	24	25	25	26	25	24	28	28	28	28	0	4	0	1	2	2	4	2	4	3	5	2	5	8	8	7	15	14	8	7	7	17	15	7	7	20	25	23	22	6	20	19	16	14	24	1	1	1	4	1	2	3	1	3	2	2	2	2	2	1	2	1	1	3	2	2	3	2	2	2	2	2	1	1	5	2	2	2	5	3
42000	-256.549749325862422	-254.473570209196680	-2.076179116665723	0.000163576252750	0.000020897592414	0.127754439062767	0.432531498996388	6	13	11	11	14	17	18	15	16	15	18	17	18	19	18	20	19	20	23	22	21	24	23	21	23	22	25	25	25	25	25	28	28	29	28	0	4	0	1	4	4	8	4	8	3	8	4	4	8	5	2	8	11	15	13	13	14	17	4	24	18	23	9	7	16	20	28	16	17	26	1	1	1	2	2	4	2	2	1	2	1	4	2	2	2	3	2	1	3	2	3	2	3	5	1	1	1	4	3	3	1	2	3	6	2
42500	-250.605819178155343	-248.266944117306309	-2.338875060849035	0.000191052254105	0.000018949834313	0.099186656560157	0.457098696219419	5	13	13	12	14	17	17	16	18	15	17	18	18	19	18	20	19	20	23	20	22	24	22	21	23	23	24	25	25	26	26	28	26	29	29	0	1	0	1	4	4	4	4	8	3	5	6	11	8	8	2	9	11	17	7	7	14	15	15	24	24	20	17	21	16	29	19	23	19	26	1	3	1	4	1	3	2	2	1	1	1	1	1	2	1	2	1	1	3	2	2	3	3	2	1	1	2	2	2	3	1	3	2	2	2
43000	-228.692760606343313	-226.471773834770744	-2.220986771572566	0.000188484535135	0.000020842807040	0.110580992892339	0.398324946750149	5	12	13	13	15	17	17	17	18	14	18	18	16	19	18	20	19	20	22	20	22	24	22	21	24	23	24	25	24	25	24	28	28	28	28	0	1	0	1	2	4	4	5	8	3	6	4	4	9	4	15	8	11	12	11	4	23	9	18	20	18	20	17	7	25	20	19	30	28	26	1	3	1	3	2	2	2	1	1	1	1	3	2	1	2	1	1	1	2	1	5	1	2	1	2	1	2	2	4	1	2	2	3	1	3
43500	-248.836169854552026	-246.545547252717853	-2.290622601834180	0.000162273660643	0.000016813858753	0.103614219873032	0.449321560715424	5	13	13	11	15	17	17	15	16	15	18	19	17	17	18	21	19	20	22	20	22	23	21	22	23	23	25	25	24	25	25	26	26	28	29	0	4	0	1	2	2	5	4	8	3	5	6	2	5	8	6	8	5	17	15	20	17	15	18	2	18	21	19	20	16	25	22	16	15	34	1	1	1	4	1	1	1	2	1	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	5	2	2	1	2	2	1	1	2	6	1
44000	-273.265685453321623	-271.043786316509454	-2.221899136812149	0.000167051547629	0.000018456674983	0.110484908668944	0.403293535241191	6	13	13	11	14	17	16	15	17	15	19	16	18	18	19	20	20	20	22	21	21	21	22	21	22	23	23	24	25	25	25	27	28	28	28	0	4	0	1	2	2	2	4	7	3	14	4	4	8	2	2	2	7	15	14	15	8	15	7	17	18	23	19	25	2	8	28	30	19	26	1	1	1	2	1	3	2	2	1	2	1	2	3	2	3	3	5	2	2	2	1	2	1	4	1	2	1	1	2	5	5	1	1	3	2
44500	-255.286786867947825	-253.236394019893226	-2.050392848054610	0.000167649906666	0.000022008480441	0.131276425252450	0.540297701497345	5	13	13	12	15	18	18	16	17	16	18	19	17	19	18	19	18	21	22	21	22	24	21	21	23	23	25	25	24	26	25	28	28	28	29	0	1	0	1	2	4	2	4	5	3	5	4	5	8	4	8	5	15	8	6	7	7	17	12	6	18	15	22	20	16	29	22	30	22	26	1	3	1	3	1	4	3	2	1	2	1	4	1	2	2	1	1	3	4	1	3	3	2	2	3	1	3	1	2	4	1	2	1	2	3
45000	-263.683283839760009	-261.785061732642134	-1.898222107117869	0.000237026698522	0.000036957839815	0.155922687384408	0.434544300230132	6	13	13	12	15	16	17	16	17	16	17	18	17	19	18	21	20	20	21	21	23	24	22	22	23	23	24	26	26	26	24	28	25	28	28	0	1	0	1	4	2	6	4	8	3	5	4	5	9	8	2	15	12	15	8	20	15	17	18	20	4	12	15	20	16	26	29	26	26	2	1	4	1	3	2	2	1	2	1	1	1	4	1	1	1	3	1	1	1	2	2	4	1	1	2	4	2	4	3	2	1	1	1	2	6
