step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26
1	-1264.991067094472555	-1271.846555045431842	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.770075386289688	3	5	9	11	9	8	9	8	8	10	12	10	11	13	14	18	19	18	19	20	20	20	20	22	23	28	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	4	3	3	3	3	3	4	5	4	4	5	6	8	8	8	8	9	9	9	9	10	10	13
500	-355.614859818767457	-362.470347769726857	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.367400865371972	4	5	7	11	10	7	10	9	9	9	12	11	12	13	14	18	20	17	17	20	20	20	20	22	23	27	0	1	2	1	10	1	3	1	3	2	0	2	1	10	13	0	4	15	12	19	16	12	4	19	16	25	1	1	1	3	1	1	2	2	1	2	1	3	5	2	1	1	7	2	3	2	1	4	5	2	3	2
1000	-293.949355668785529	-300.804843619744929	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.386162687434966	2	5	8	11	10	9	7	8	8	8	12	10	12	13	14	17	20	18	18	19	19	21	21	22	23	28	0	1	1	3	10	7	1	1	1	7	0	3	9	5	13	0	9	13	12	12	16	19	21	19	16	25	1	2	2	2	2	1	2	3	3	1	1	1	2	2	1	1	10	2	3	5	1	3	1	2	3	2
1500	-274.634605320119647	-281.490093271079047	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.570622021500099	4	5	8	12	10	6	10	8	9	9	13	10	11	14	15	17	19	18	17	20	18	19	20	22	24	28	0	1	1	2	10	1	3	1	1	1	0	3	2	5	13	0	9	15	12	19	16	19	21	19	23	25	1	1	1	2	1	1	1	1	3	2	1	1	2	2	2	1	5	2	2	2	1	2	1	2	1	2
2000	-168.389320890130421	-175.244808841089792	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.563037997165392	4	6	8	11	10	6	10	8	8	9	11	11	11	14	13	17	19	18	18	20	20	19	20	23	23	28	0	1	1	1	10	1	3	1	1	8	0	2	2	10	13	0	16	15	12	19	17	19	17	20	23	23	1	1	1	2	1	1	1	2	2	1	1	3	2	3	1	1	1	3	3	1	1	1	1	2	1	4
2500	-164.976779915266576	-171.832267866225948	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.735880332532969	3	5	8	9	10	8	9	8	9	9	12	10	12	13	14	17	19	18	18	20	21	21	21	20	23	29	0	1	1	1	10	1	3	1	6	6	0	4	4	5	13	0	16	15	12	19	17	19	17	19	23	25	1	1	2	2	1	3	1	2	1	1	1	1	2	2	1	1	1	2	4	1	1	2	2	1	1	3
3000	-165.608501670691709	-172.463989621651081	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.701421112549964	4	6	10	11	10	8	9	8	9	8	12	10	10	14	14	17	19	17	19	20	19	21	21	23	24	28	0	1	7	12	10	1	1	2	1	1	0	1	2	5	13	0	16	15	12	19	16	19	17	19	17	25	1	2	1	1	1	1	2	1	2	2	1	4	2	2	2	1	1	1	4	1	1	1	1	2	2	2
3500	-185.333261278874687	-192.188749229834059	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.515283551424142	3	5	8	12	10	9	9	8	9	9	11	10	11	13	15	17	18	19	19	20	18	21	20	23	23	28	0	1	1	3	10	3	3	1	1	3	0	2	2	5	13	0	16	13	12	19	16	4	17	20	23	17	1	1	3	2	1	1	1	2	3	1	1	3	3	1	2	1	1	2	4	1	1	4	1	2	2	6
4000	-170.835682100016925	-177.691170050976297	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.513533586216359	4	5	8	10	10	8	9	7	9	9	13	10	11	12	15	18	19	17	19	21	21	20	21	22	24	28	0	1	2	1	10	1	3	1	6	1	0	1	2	5	13	0	16	15	12	19	17	12	17	19	17	25	1	1	1	3	1	3	1	2	1	2	1	3	3	2	2	1	1	1	3	1	1	5	1	2	3	2
4500	-173.614241443674047	-180.469729394633418	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.726225292250894	4	5	8	12	10	7	10	8	8	9	12	10	12	12	14	17	18	18	18	20	20	20	20	22	24	28	0	1	1	12	10	1	3	1	1	1	0	2	12	5	13	0	16	15	12	19	16	3	17	20	23	25	1	1	2	1	1	1	1	2	2	2	1	2	1	1	1	1	1	2	4	1	1	5	1	1	2	1
