step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79
5000	-382.995073976268316	-381.318575065627499	-1.676498910640831	0.000015124615997	0.000023266858217	1.538343731906890	0.634713637420934	0	2	3	2	1	3	3	2	3	4	3	2	3	6	3	4	4	3	4	4	4	7	4	4	4	4	5	5	5	5	5	5	6	5	6	5	7	8	7	6	7	6	6	6	6	6	6	6	5	9	9	7	8	7	7	7	7	7	8	8	6	7	7	7	8	8	8	9	8	9	8	9	9	9	10	10	13	10	11	0	1	1	5	1	12	5	5	2	3	4	5	12	26	8	3	8	2	4	3	2	23	11	13	13	3	6	3	13	16	3	19	19	20	20	21	47	49	20	11	27	30	31	31	19	36	21	49	11	60	61	43	33	23	42	46	46	46	28	47	28	33	33	11	42	58	58	56	58	60	61	61	62	66	71	74	55	62	72	1	1	3	1	1	1	2	1	1	1	1	1	1	2	1	1	2	1	2	1	2	2	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	3	3	2	1	1	1	1	2	1	2	1	2	1	2	1	2	2	1	1	1	1	3	2	1	1	1	3	2	1	1	2	1	1	2	2	2	1	2	1	4	2	2
5500	-360.688273969753936	-359.107646998622499	-1.580626971131426	0.000020941611337	0.000027330621358	1.305086839673049	0.741563170264412	0	1	2	2	1	3	2	2	2	4	3	2	3	6	3	4	4	3	4	4	4	7	4	4	4	4	5	6	5	5	4	5	6	5	5	5	7	8	7	6	7	6	6	6	6	6	6	6	5	9	8	7	8	7	7	7	7	7	8	8	8	8	8	8	8	8	8	7	9	9	9	9	9	9	10	10	13	10	12	0	1	5	2	1	12	2	1	5	4	4	5	12	26	8	5	3	8	4	8	7	23	11	13	13	7	6	6	13	16	18	19	19	20	20	21	47	49	20	23	6	30	31	31	32	36	21	49	11	60	28	43	33	23	42	46	46	46	28	21	28	33	33	40	42	58	58	46	58	60	51	51	62	66	71	74	55	62	61	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	2	2	1	2	1	1	2	1	1	1	2	1	3	2	1	1	1	1	1	1	1	1	2	2	2	3	1	1	2	1	1	1	1	2	1	1	1	2	2	1	1	1	1	2	2	2	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	3	2	2
6000	-332.764585258577824	-331.331621323368495	-1.432963935209342	0.000041844867803	0.000038330461826	0.916013452495965	0.804304502010496	0	1	1	2	1	3	2	2	2	4	3	2	3	6	3	3	3	4	4	4	4	7	4	4	4	4	5	6	5	5	5	5	6	5	6	5	7	8	7	6	6	6	6	6	6	6	6	6	5	9	7	7	8	6	7	7	7	7	8	8	8	7	8	8	9	8	8	8	8	9	8	9	9	9	10	10	13	11	11	0	1	1	5	1	12	5	3	3	4	4	5	12	26	8	9	2	8	4	2	7	40	11	13	13	7	9	27	12	16	18	19	19	20	20	21	36	40	34	23	6	30	18	31	32	36	36	49	23	60	28	31	33	23	42	46	46	46	28	37	51	33	33	23	55	58	58	56	58	60	51	59	62	66	71	74	65	73	72	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	2	1	1	1	1	2	3	1	1	2	1	1	2	1	2	1	2	1	1	1	3	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	3	1	1	1	1	1	1	1	1	2	1	2	1	2	2	2
6500	-368.017691103005518	-366.618176046835345	-1.399515056170153	0.000074741672100	0.000030079793071	0.402450095460648	0.575843652239119	0	2	2	2	2	2	3	1	3	4	3	3	4	6	3	4	4	4	4	4	4	7	4	4	4	4	5	5	5	5	5	4	5	5	6	5	6	7	7	6	6	6	6	6	6	6	6	6	5	9	7	7	8	7	7	7	7	7	8	8	8	8	8	8	9	8	8	8	8	9	8	9	9	9	10	10	13	9	11	0	8	8	8	8	1	5	1	3	4	4	6	12	26	8	1	7	5	15	15	7	23	11	6	5	15	12	12	13	18	18	4	19	20	9	21	21	49	20	11	12	16	31	18	32	36	21	49	23	60	28	31	33	11	42	46	37	46	27	47	51	33	33	23	55	58	58	56	47	60	51	51	53	66	71	74	55	62	75	1	1	1	1	1	2	1	1	1	2	1	1	1	2	2	2	1	1	1	1	1	2	1	1	2	1	2	2	1	1	1	2	1	1	2	1	2	2	2	3	2	2	1	2	2	1	2	1	1	1	2	2	2	1	1	1	1	1	3	2	1	2	3	2	2	1	1	1	2	1	1	2	1	1	2	1	4	1	1
7000	-382.957798786991930	-381.407213725020313	-1.550585061971629	0.000122794271704	0.000032393561508	0.263803523231027	0.696225231365140	0	1	3	2	1	2	3	1	2	4	3	3	4	6	3	2	3	4	4	5	5	7	4	4	4	4	3	7	5	5	4	5	6	5	6	5	4	8	7	6	6	6	6	6	6	6	6	6	4	9	9	5	8	5	7	6	7	7	8	7	8	8	8	8	9	9	8	7	8	9	9	9	9	9	10	10	12	11	12	0	1	9	8	1	5	6	1	1	4	4	6	6	26	8	8	9	5	15	7	37	23	11	27	12	3	6	41	13	7	7	19	19	3	36	7	7	22	20	49	27	30	52	52	32	37	37	49	11	60	28	31	33	11	42	36	46	46	41	21	28	19	4	40	42	36	46	47	58	47	59	61	53	58	71	74	65	33	72	1	1	1	1	1	1	1	1	1	2	1	1	2	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	2	1	2	1	1	1	1	1	2	1	1	2	2	1	2	2	1	1	1	1	2	1	1	2	3	1	2	2	1	1	1	2	1	1	1	1	1	1	2	2	2
7500	-365.828350731716455	-364.381206407583591	-1.447144324132857	0.000082159630329	0.000027849438075	0.338967421877190	0.699795616656055	0	1	2	2	1	2	3	2	3	3	3	3	3	6	2	3	3	4	4	5	5	6	4	4	4	4	5	5	5	5	5	5	6	4	6	5	4	8	7	5	7	6	6	6	6	6	6	6	6	9	9	7	8	7	7	7	7	7	8	8	7	7	8	8	9	8	8	8	9	9	9	9	9	9	10	10	12	11	10	0	1	2	5	1	2	3	1	5	4	4	6	6	26	1	2	15	9	4	34	37	23	11	13	13	7	12	6	9	8	8	8	19	5	20	37	7	54	34	11	6	30	18	31	32	36	37	23	40	47	61	18	33	23	42	46	46	47	28	47	28	33	33	23	55	47	58	56	58	47	61	61	62	66	59	74	55	73	61	1	1	1	1	1	1	1	2	1	1	1	1	1	2	2	2	1	1	2	1	1	2	1	1	1	1	2	1	2	2	3	1	2	1	1	1	1	1	3	2	3	1	2	1	1	1	2	2	1	2	2	3	2	2	1	1	1	1	2	2	2	1	2	1	2	2	1	1	2	1	1	2	2	1	2	1	3	1	3
8000	-404.936929801973804	-403.502560354965567	-1.434369447008227	0.000114701647400	0.000040465726363	0.352791152355759	0.675767906089062	0	1	3	2	2	1	3	2	3	4	3	3	4	6	3	3	4	4	4	5	5	7	4	4	4	4	2	5	5	5	4	5	6	4	6	5	7	6	7	5	6	6	6	4	6	6	6	6	5	7	8	7	8	7	7	6	7	7	7	6	7	7	8	6	8	8	8	8	9	8	7	9	9	9	10	10	12	10	11	0	1	5	2	2	1	8	1	8	3	4	6	27	26	2	5	3	1	4	34	7	49	11	6	3	7	6	6	12	3	2	19	18	3	20	18	21	49	20	11	27	16	31	9	19	36	21	49	11	21	59	31	45	23	30	36	36	46	18	36	28	33	33	23	55	46	56	56	58	37	28	51	62	66	61	74	42	73	51	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	4	1	1	2	2	1	3	1	1	1	3	1	2	2	1	2	1	1	1	2	1	1	2	2	2	1	1	2	1	1	1	2	2	1	2	1	3	1	1	1	1	1	1	2	1	2	2	1	2	1	2	1	1	1	1	2	1	3	1	4	1	2
8500	-370.370181519963239	-368.902306740083588	-1.467874779879637	0.000109352085334	0.000034942567524	0.319541848860499	0.808666384575994	0	2	3	2	2	3	3	1	1	3	3	2	3	5	2	4	4	1	3	5	4	7	4	4	4	4	5	7	5	5	5	5	6	4	6	5	7	6	7	6	7	6	6	6	6	6	5	6	5	9	8	6	7	6	7	7	7	7	6	8	8	8	8	8	9	9	8	9	9	9	9	9	9	9	10	10	12	11	12	0	9	5	18	9	12	1	1	1	4	4	1	12	26	18	3	8	1	4	34	7	11	11	7	13	7	5	59	13	16	16	19	19	4	34	7	47	49	20	23	6	30	31	2	32	36	21	49	23	60	59	27	33	11	42	36	36	17	27	7	59	33	33	22	42	67	58	37	58	60	51	51	62	56	71	66	65	73	75	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	2	1	1	2	2	1	1	2	2	1	2	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	2	2	1	2	1	2	1	1	1	2	1	1	1	1	2	1	1	3	1	1
9000	-371.911744687945770	-370.455796714008443	-1.455947973937314	0.000093430108392	0.000030861796217	0.330319601982266	0.689028059393196	0	2	3	2	2	3	2	2	1	3	3	3	4	6	3	3	4	4	4	5	3	7	4	4	4	4	5	7	5	4	5	4	7	3	6	5	7	5	7	5	7	6	6	6	6	6	6	6	6	7	7	7	8	7	7	7	7	7	6	8	8	6	5	6	9	8	8	8	9	9	9	9	9	8	8	10	13	10	11	0	9	2	9	9	1	1	9	1	8	4	1	6	26	8	5	6	12	4	34	7	11	11	6	12	7	13	59	26	16	8	4	63	4	34	21	21	11	20	23	27	30	36	31	32	36	21	40	38	36	59	43	45	40	42	36	46	46	27	50	51	63	19	40	42	58	58	56	58	47	75	61	62	36	51	74	65	62	51	1	1	1	1	1	1	2	1	1	1	1	2	1	2	1	1	1	1	2	1	1	2	1	1	1	2	1	1	1	1	2	2	2	1	2	2	2	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	2	2	1	2	1	1	1	1	1	1	1	1	2	1	1	1	2	2	1	1	2	2	1	1	1	2	2
9500	-399.893395577275442	-398.379769576670355	-1.513626000605092	0.000114741110349	0.000032759021345	0.285503785394221	0.704075152832649	0	1	3	2	2	3	3	1	2	4	3	2	4	6	2	4	3	4	4	4	5	7	4	4	4	4	5	7	5	5	4	5	7	5	6	4	4	8	7	5	7	6	6	5	6	5	6	6	6	8	7	6	8	5	7	6	7	7	5	8	8	7	6	8	9	9	8	9	8	9	9	9	9	9	8	10	12	10	12	0	1	5	1	8	12	8	1	1	3	9	1	6	26	1	3	9	7	4	1	37	40	11	4	12	7	12	59	13	4	1	11	19	9	34	7	7	49	35	11	52	30	31	8	32	36	37	23	40	47	59	3	63	11	30	36	46	46	13	21	51	63	19	23	42	58	58	56	36	50	75	51	62	57	51	74	65	73	61	1	1	1	2	1	1	1	1	2	1	1	2	1	2	1	1	1	1	1	2	1	2	1	1	1	1	2	2	1	2	2	2	3	2	1	1	1	2	1	2	1	1	2	3	1	1	2	2	1	2	1	3	2	2	2	2	2	1	1	2	1	1	2	2	2	1	1	2	3	1	1	2	2	2	1	1	2	1	2
