step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71
1	-3203.522024596431493	-3202.059942511912595	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.088809318373321	3	3	4	3	5	6	5	7	9	10	11	11	11	12	12	13	16	13	16	14	15	17	18	20	19	20	20	21	23	22	22	23	24	26	25	27	27	27	31	28	33	32	31	30	33	33	33	33	33	35	34	35	34	35	37	38	38	40	39	39	41	40	41	41	41	43	46	46	45	46	51	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	3	4	4	4	4	5	5	5	7	5	7	6	6	7	8	9	8	9	9	9	10	10	10	10	11	12	11	12	12	12	14	13	15	15	14	14	15	15	15	15	15	16	16	16	16	16	17	18	18	19	18	18	19	19	19	19	19	20	22	22	21	22	24
500	-1141.203414058760700	-1138.745938603886088	-2.457475454874511	0.000010007889920	0.000036309972764	3.628134707091294	0.116758703116628	3	2	5	4	5	6	4	7	8	10	10	11	11	12	11	13	14	12	16	15	15	14	17	20	19	17	20	21	23	19	22	23	25	27	25	24	27	27	32	25	32	33	31	31	33	33	34	34	34	35	35	36	35	34	37	39	37	40	40	40	41	41	41	42	42	43	47	47	46	44	52	0	0	2	1	7	1	2	5	6	6	6	6	7	10	9	14	15	9	17	12	16	16	0	20	15	22	25	25	22	26	26	30	30	22	26	22	31	40	26	26	22	22	22	36	40	26	26	26	36	22	26	26	36	30	26	29	36	40	26	36	10	36	40	26	36	40	36	31	36	36	22	1	1	3	1	1	2	2	1	1	2	2	3	4	1	2	1	3	3	1	2	2	1	1	3	5	2	1	1	5	2	4	3	3	8	3	9	5	1	10	4	11	14	9	6	5	9	15	12	9	11	13	16	8	11	13	12	9	11	14	13	19	11	8	19	13	14	18	14	20	10	29
1000	-898.577865376442674	-896.572983682650602	-2.004881693792024	0.000009965825075	0.000023461070733	2.354152371244225	0.160367697172436	2	1	4	4	6	6	5	7	8	10	11	12	11	12	12	13	16	13	17	14	16	16	19	20	18	20	20	21	24	21	22	23	24	27	25	24	27	25	31	25	33	29	31	31	34	33	34	34	32	35	34	35	35	36	38	39	38	39	40	40	42	40	42	42	41	43	46	47	46	45	52	2	0	2	1	7	1	2	5	6	6	6	10	7	10	9	14	15	9	9	12	16	16	0	12	9	22	25	25	22	22	26	30	26	22	31	30	31	36	36	36	36	22	36	40	38	26	36	40	36	36	40	40	42	40	38	42	49	42	30	40	42	49	42	26	26	30	38	42	36	55	30	1	1	3	1	1	2	2	1	1	2	3	1	4	1	3	1	1	3	5	1	2	2	1	3	5	2	1	2	2	2	1	2	2	7	2	1	3	1	3	1	4	10	5	4	6	9	8	8	4	8	8	5	4	6	8	7	3	6	10	11	10	4	9	17	12	12	15	8	20	3	23
1500	-618.714966303031929	-616.676179873979436	-2.038786429052535	0.000009947456487	0.000024297186028	2.442552632453897	0.309042802068249	3	1	5	4	5	6	4	8	9	9	11	11	12	11	12	14	16	14	16	15	15	17	18	20	17	20	20	21	23	22	22	23	24	27	26	24	28	26	31	26	34	29	30	30	30	33	34	33	33	36	35	35	31	35	37	39	38	39	40	38	41	40	42	42	41	44	46	47	46	46	52	2	0	2	1	7	1	2	5	6	6	6	10	7	10	9	14	15	15	15	12	16	16	0	20	9	22	25	25	26	22	22	30	30	22	31	26	31	36	36	36	38	36	36	38	42	39	48	40	45	36	40	42	45	44	53	53	55	45	52	48	53	49	52	53	53	42	53	56	40	61	42	1	1	2	1	1	1	2	2	2	1	3	1	2	1	2	2	2	2	2	2	1	2	1	3	4	2	2	2	2	2	2	1	1	5	2	2	3	1	3	2	4	2	4	2	1	1	1	4	2	6	5	3	1	2	3	4	1	3	4	3	8	3	4	8	6	9	11	5	15	2	16
2000	-518.844307252141334	-517.039501146909629	-1.804806105231722	0.000009976956628	0.000018461094799	1.850373364184920	0.402331456986775	3	0	4	4	5	6	3	7	9	10	10	12	11	12	12	13	17	13	16	14	16	17	18	20	19	21	21	21	23	21	22	22	25	26	25	25	28	28	32	29	34	31	32	31	33	34	33	30	34	36	35	35	33	34	37	38	39	38	40	39	41	39	42	41	41	44	47	45	45	45	50	2	0	2	1	7	1	2	5	6	6	6	10	5	10	9	14	15	9	15	12	16	16	0	20	23	22	25	25	22	22	30	30	30	29	31	30	31	36	38	38	38	38	36	48	42	43	48	40	42	36	44	42	42	48	53	53	55	52	52	51	53	52	59	53	55	56	53	61	36	61	53	1	1	3	1	1	2	2	1	2	2	2	1	4	1	2	1	3	2	2	1	1	2	1	3	1	2	1	1	4	2	1	1	2	2	2	3	4	2	2	1	3	1	4	1	1	1	2	1	2	6	3	2	1	2	2	3	1	2	2	3	5	2	1	4	1	3	10	3	12	2	11
2500	-476.016169863225116	-474.380134191741433	-1.636035671483707	0.000010078037329	0.000014515636206	1.440323718965975	0.636580023550266	3	1	5	4	6	6	4	8	8	10	11	11	12	12	12	12	16	14	15	14	15	17	16	19	18	20	20	21	23	21	22	23	25	25	25	27	27	28	31	28	34	31	31	31	33	32	31	30	34	35	35	36	33	36	37	38	38	40	38	40	40	39	40	42	41	43	46	46	45	47	52	2	0	2	1	7	1	2	5	6	6	6	10	5	10	9	10	15	15	15	12	16	21	0	20	23	22	25	27	26	22	22	30	30	26	31	30	31	36	36	36	38	38	36	48	42	43	48	36	45	46	48	45	42	48	53	53	55	52	49	51	53	49	62	57	56	64	53	61	57	67	70	1	1	2	1	1	1	1	1	1	2	2	1	2	1	3	1	2	2	2	2	2	1	1	3	1	2	1	1	1	1	2	1	2	2	1	4	3	1	2	1	3	2	4	1	1	1	1	1	1	2	2	2	1	3	2	2	1	1	2	2	4	3	1	2	2	1	9	3	4	1	3
3000	-448.877861938236208	-447.445228866451771	-1.432633071784419	0.000010384881420	0.000009502326644	0.915015420945622	0.632340150806939	3	1	3	4	5	7	4	8	9	10	10	12	11	12	13	13	17	14	16	14	15	18	17	19	19	19	20	22	22	22	22	24	25	26	24	25	26	26	31	28	34	32	31	31	33	33	32	30	34	35	34	36	34	35	38	37	38	40	38	37	42	40	41	41	41	44	45	45	45	47	51	2	0	2	1	7	1	2	5	6	6	6	10	8	10	9	14	15	9	15	12	16	21	0	20	23	22	25	27	22	22	22	26	29	26	31	30	31	36	38	38	38	38	36	48	42	43	48	40	45	46	44	45	42	47	53	53	53	59	49	51	57	59	59	57	55	64	64	57	61	67	70	1	1	1	1	1	2	2	2	1	1	2	2	1	2	2	1	1	2	1	1	1	2	1	3	1	1	1	1	2	2	2	2	2	5	1	1	2	1	2	1	4	3	3	1	1	1	1	1	1	2	2	1	1	1	2	2	2	1	2	1	2	1	2	2	2	2	2	4	2	2	2
3500	-477.533979821306161	-475.754226661576638	-1.779753159729517	0.000010762791615	0.000019254916641	1.789026242409010	0.580290277633205	3	2	4	4	5	6	4	7	9	9	9	11	8	11	12	12	16	13	16	13	15	17	18	20	19	20	21	22	23	21	22	23	23	27	25	25	27	27	30	28	34	29	31	31	33	33	33	30	33	34	35	35	34	33	38	38	39	40	39	39	42	40	42	42	41	42	44	46	45	45	50	2	0	2	1	2	1	2	7	6	6	6	10	7	10	9	10	15	15	15	12	14	21	0	20	23	22	25	27	26	26	26	26	30	29	31	26	31	36	36	36	38	38	36	48	42	43	48	40	42	43	47	42	42	44	53	53	55	52	45	51	53	49	52	57	57	57	55	61	65	61	70	1	1	1	1	1	2	1	1	2	2	2	1	2	1	2	1	2	1	2	2	3	1	1	2	1	2	1	1	2	1	1	2	1	1	2	1	3	1	2	1	4	1	3	1	2	1	2	1	2	2	1	3	2	2	2	3	1	3	2	3	5	3	3	2	1	2	4	2	2	1	3
4000	-441.375851362714400	-439.836227136927960	-1.539624225786420	0.000011640535919	0.000014005818836	1.203193644454652	0.675654758814774	2	0	4	4	5	7	6	8	9	10	12	12	10	11	12	13	16	13	16	14	14	18	18	21	19	20	20	21	22	23	22	23	25	26	25	27	27	28	29	29	32	30	31	31	34	33	33	30	34	35	34	35	35	35	38	38	39	38	36	38	42	41	42	42	41	43	45	47	45	47	50	2	0	2	1	2	1	5	7	6	6	6	10	5	10	9	14	15	9	15	12	16	21	0	20	23	22	25	27	26	26	22	26	30	26	31	30	35	36	36	38	38	38	39	48	42	43	48	38	42	46	44	42	49	44	53	53	55	49	52	51	57	59	62	57	57	61	64	64	65	61	67	1	1	2	1	3	3	1	1	2	1	2	1	3	1	2	1	2	2	2	1	1	2	1	2	1	1	1	1	2	2	2	1	1	3	1	2	1	1	1	1	2	1	2	1	2	1	2	1	2	1	1	2	1	2	2	2	1	2	1	3	3	2	1	3	1	1	2	2	2	2	2
4500	-442.963194400441921	-441.508824685833588	-1.454369714608343	0.000013770107014	0.000013472526730	0.978389399355705	0.620280451378039	3	1	4	4	3	6	5	7	9	9	11	12	10	10	12	13	13	13	15	13	16	17	17	20	19	20	21	22	22	23	23	23	25	26	26	26	28	28	30	28	33	31	31	31	32	33	34	30	33	35	35	34	33	35	38	38	36	40	39	38	40	41	42	40	41	44	46	46	46	47	51	2	0	2	1	2	1	5	7	6	6	6	10	5	10	9	14	9	15	15	12	16	21	0	20	23	22	25	27	22	26	26	26	30	30	31	26	31	36	38	36	38	38	36	48	42	43	44	40	45	46	47	45	42	44	53	53	53	59	45	51	57	59	58	57	64	64	66	64	65	68	67	1	1	2	1	1	2	1	1	2	2	2	2	3	1	2	1	2	1	2	1	2	1	1	4	1	2	1	1	2	2	2	1	1	1	1	3	2	1	2	1	2	2	3	1	1	2	2	2	1	2	1	2	2	2	3	2	2	1	4	2	2	1	1	2	1	2	1	3	3	1	2
