step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55
1	-1417.999292505555786	-1423.938489724640931	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.883415630602055	0	3	4	3	3	4	5	5	5	6	5	7	6	7	7	6	7	6	6	7	8	7	7	7	7	7	7	8	8	8	8	8	9	8	8	10	10	11	9	10	10	11	12	13	12	13	14	15	16	15	14	16	18	21	18	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	3	3	3	3	3	4	3	4	4	3	4	3	3	4	4	4	4	4	4	4	4	4	4	4	4	4	5	4	4	5	5	6	5	5	5	6	6	7	6	7	7	8	8	8	7	8	9	11	9
500	-327.617282085528245	-333.556479304613447	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.715168507129208	0	2	4	3	3	5	5	6	5	6	5	6	5	7	6	6	6	6	7	7	8	7	7	8	7	7	7	7	8	9	9	8	10	9	9	10	10	11	9	10	10	11	12	13	12	13	14	15	15	16	15	16	17	22	19	0	1	5	2	1	3	5	3	5	3	3	3	5	5	6	6	6	6	6	7	7	7	10	6	6	9	5	13	14	15	27	17	24	32	29	20	21	28	27	34	35	39	42	42	31	45	42	42	42	49	0	44	43	55	42	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	2	1	1	3	1	1	2	1	2	1	1	1	1	1	2	1	1	1	1	1	2	1	1	2	2	2	1	1	2	2	1	3
1000	-333.948578893294211	-339.887776112379413	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.713361658032595	0	3	2	4	4	4	5	6	6	4	4	8	5	6	6	6	6	6	6	7	9	7	7	7	7	8	8	8	7	8	8	8	9	8	8	8	10	12	10	11	11	10	12	13	13	14	13	15	16	14	14	17	17	21	19	0	1	1	2	3	3	3	5	5	3	3	3	3	3	5	5	6	6	6	7	7	7	10	6	11	9	2	13	14	15	17	17	29	25	14	20	7	28	31	34	33	31	39	42	39	42	39	39	44	39	0	50	44	52	53	1	1	1	1	2	1	2	1	1	1	1	2	1	2	1	1	1	1	2	1	2	2	2	1	2	1	2	1	1	1	1	1	1	1	1	1	2	2	1	2	1	1	2	2	1	2	2	2	2	2	1	1	2	2	1
1500	-341.252336773245077	-347.191533992330278	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.826300676554160	0	2	3	2	2	4	5	5	5	6	5	5	7	7	7	5	7	6	6	7	8	7	8	8	6	7	7	9	8	8	9	7	10	8	9	10	9	11	9	9	11	11	13	13	12	14	15	14	16	15	13	14	18	20	18	0	1	5	1	1	3	3	3	3	11	3	3	11	25	6	6	18	6	6	7	22	7	10	25	6	9	12	13	13	25	17	6	14	6	29	20	21	28	24	27	35	39	31	24	42	45	44	44	48	44	0	42	52	49	50	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	2	3	1	3	1	1	1	2	1	1	2	2	1	1	1	1	1	2	1	1	2	2	2
2000	-324.129633915368174	-330.068831134453376	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.823309597208324	0	2	2	3	3	4	4	6	5	7	5	7	6	7	7	7	7	6	6	6	7	7	8	7	7	7	5	8	9	8	9	8	9	8	9	11	10	11	8	10	11	12	13	13	13	13	14	14	16	15	14	16	18	21	17	0	1	1	2	3	3	3	27	5	3	3	11	5	27	19	19	6	6	6	7	19	7	10	19	27	19	3	13	14	15	11	25	14	19	14	20	21	28	27	25	33	40	42	39	42	42	42	43	42	48	0	44	55	52	52	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	2	1	2	1	1	1	1	2	1	1	2	2	1	1	1	2	1	1	1	1	2	1	1	1	1	2	1
2500	-306.371638003773342	-312.310835222858543	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.780477448418268	0	2	2	4	4	4	5	4	5	6	5	6	6	6	6	7	8	5	7	7	9	7	7	7	8	6	7	9	8	7	7	8	8	8	9	10	11	11	10	10	11	11	12	14	12	14	15	13	16	15	15	16	17	21	19	0	1	1	2	3	3	3	3	5	7	3	11	5	5	6	11	11	6	6	7	22	7	12	6	6	9	12	13	14	15	6	24	14	11	29	20	21	28	24	34	33	39	39	42	42	43	42	42	44	42	0	50	50	50	53	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	2	1	2	1	1	2	1	2	1	1	2	1	1	2	1	1	2	1	1	1	3	1
3000	-339.828139446296007	-345.767336665381208	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.693529411121148	1	3	2	4	3	4	4	5	5	5	4	6	5	6	7	7	7	6	7	8	7	7	7	8	6	7	7	8	8	8	8	8	10	9	8	11	11	11	9	10	10	11	11	13	13	13	13	15	16	15	13	17	18	21	19	0	1	1	2	3	3	3	3	5	5	3	3	5	5	6	9	6	6	6	7	7	7	10	25	5	25	12	12	14	25	25	17	14	9	14	20	21	28	19	34	9	39	31	39	42	42	42	47	44	43	0	48	44	45	52	1	1	1	1	1	1	1	1	2	1	2	2	1	1	2	1	1	1	2	2	1	2	1	1	3	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	2	1	2	2	2	1	1	1	1	2	1	1	2	4	1
3500	-289.864026633114406	-295.803223852199608	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.755183285589265	0	2	3	3	4	5	5	6	6	6	5	8	6	6	6	7	7	6	5	8	9	7	7	7	7	8	7	9	9	8	9	9	10	9	8	10	10	11	10	10	10	11	12	14	12	13	13	15	16	16	14	16	18	21	19	0	1	1	2	3	3	3	3	5	3	3	27	5	5	6	6	6	6	3	7	22	7	6	6	6	9	3	13	27	15	17	17	14	25	14	20	21	28	31	34	35	39	42	42	42	43	43	42	44	47	0	44	50	52	53	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	3	1	1	1	2	1
4000	-332.334030485237463	-338.273227704322665	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.923554099415726	1	3	4	4	3	4	5	6	4	7	5	7	6	7	7	6	6	6	6	7	7	7	7	6	7	8	7	8	9	8	9	8	9	9	9	11	10	11	10	10	11	12	12	13	12	13	14	14	16	15	13	16	18	20	17	0	1	1	2	1	5	3	3	5	3	3	3	3	5	5	6	5	3	3	7	7	7	6	6	3	9	3	11	14	15	17	24	14	3	3	20	22	28	31	15	29	17	39	45	31	43	42	39	45	42	0	50	49	52	50	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	2	2	3	1	1	1	2	1	2	1	1	1	1	1	1	2	1	1	1	1	2	1
4500	-334.365956070488949	-340.305153289574150	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.778410072079633	1	3	4	3	2	5	5	5	5	7	6	7	6	7	7	7	7	6	7	7	7	7	7	6	8	7	6	9	6	9	7	8	10	8	7	9	9	11	9	10	9	12	12	13	12	14	15	15	17	14	14	17	19	21	17	0	1	5	1	1	3	3	3	5	13	3	3	5	29	6	13	24	6	6	7	7	7	13	6	27	9	6	29	5	15	13	17	25	6	29	20	21	28	31	34	35	17	39	31	39	43	45	50	47	42	0	42	42	50	47	1	2	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	3	1	3	2	1	2	1	2	1	1	2	2	3	1
