step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42
1	-5199.323505920126991	-5197.861423835608548	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.890057461652575	0	6	10	11	12	15	15	20	33	22	28	31	26	26	28	27	26	29	28	31	31	31	32	35	32	30	34	38	31	34	35	34	40	49	40	43	42	41	45	48	47	55	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	3	3	4	6	4	5	5	5	5	5	5	5	5	5	5	5	5	6	6	6	5	6	7	5	6	6	6	7	8	7	7	7	7	8	8	8	9
500	-376.454620017220236	-374.764287546397384	-1.690332470822858	0.000010005651966	0.000015727109011	1.571822512290239	0.590480352681106	-1	3	5	6	8	17	16	17	35	20	25	27	23	22	22	23	19	30	26	30	27	30	34	27	26	27	32	39	26	33	34	36	39	49	37	45	42	43	37	42	46	56	0	1	2	0	0	4	4	7	12	7	4	15	15	0	5	8	5	8	14	15	11	13	24	5	17	13	24	12	15	21	19	25	15	25	30	32	35	0	21	24	40	36	1	1	1	1	1	2	1	1	3	1	4	1	1	1	2	2	2	2	2	2	1	2	2	2	1	1	1	2	1	2	2	2	2	5	1	3	2	1	2	2	1	3
1000	-343.003591821174325	-341.235969796504946	-1.767622024669398	0.000010055377289	0.000017691615597	1.759418377711581	0.663589092726144	-3	4	9	11	11	13	16	18	31	23	26	28	24	22	25	27	19	26	28	26	31	30	31	35	33	31	31	36	32	35	34	33	42	43	39	40	40	39	44	49	46	52	0	1	2	0	0	4	4	7	17	7	4	5	17	0	17	8	5	8	14	5	11	13	15	9	15	13	20	27	12	21	19	20	9	25	21	32	35	0	30	41	9	32	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2	2	2	1	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	2	1	2	3
1500	-354.151277357562776	-352.648867311615106	-1.502410045947695	0.000010075198232	0.000011164417922	1.108109008384249	0.633330430824007	-4	0	9	5	12	16	11	21	31	21	18	28	26	24	21	25	28	25	30	21	28	33	32	35	32	32	33	34	32	33	32	35	42	50	37	44	42	40	46	39	43	51	0	1	2	0	0	4	4	7	17	7	4	5	5	0	5	8	5	8	14	5	11	17	20	9	15	13	12	9	17	21	19	25	28	25	30	32	35	0	30	9	13	36	1	1	2	1	1	2	1	1	1	1	3	1	2	1	2	1	4	1	1	3	1	1	3	1	2	1	2	1	1	1	1	1	1	2	1	2	1	1	3	1	2	1
2000	-344.926421067788340	-343.220091613880584	-1.706329453907764	0.000010113290162	0.000016287966485	1.610550693693455	0.736504205884712	1	4	10	3	13	11	15	19	28	20	22	27	25	21	23	22	23	30	27	29	27	33	31	37	34	28	34	32	34	30	37	36	37	41	35	43	39	34	38	45	49	51	0	1	2	0	0	4	6	6	17	7	6	15	5	0	5	8	5	8	14	5	11	15	20	12	20	13	9	12	15	21	19	25	12	25	30	32	35	0	30	27	40	36	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	2	2	2	2	1	2	1	2	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2
2500	-348.618497515197589	-346.955255440191024	-1.663242075006542	0.000010357627888	0.000015601240103	1.506256091811356	0.785933137262834	-1	5	10	7	12	17	12	20	24	23	21	31	27	18	21	28	22	27	26	29	28	31	32	35	30	28	24	41	30	33	36	32	39	48	36	38	41	41	42	40	46	53	0	1	2	0	0	4	4	7	15	7	6	17	17	0	5	8	5	8	14	5	11	13	17	12	9	9	15	23	15	21	19	25	12	25	30	32	35	0	30	17	40	36	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	2	1	2	2	1	1	2	1	1	1	1	2	2	2	1	1	1	3	1	1	1	1	2	2	1	2
3000	-332.258202506339046	-330.467615979279913	-1.790586527059156	0.000010543035065	0.000019141078529	1.815518815075173	0.729199019843443	-1	6	11	10	13	16	16	20	27	23	28	30	25	20	28	25	21	28	24	21	31	32	30	38	29	28	34	37	31	34	25	34	37	48	37	43	43	41	41	41	48	51	0	1	2	0	0	4	4	7	20	6	6	13	17	0	17	8	5	8	14	5	11	13	9	27	20	13	12	12	9	21	14	25	27	25	30	32	35	0	30	28	40	36	1	2	1	1	1	1	1	1	2	1	2	1	1	1	2	2	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	4	1	2	1	1	1	1	1	2
3500	-339.503459669605604	-338.007036512528032	-1.496423157077556	0.000010638744756	0.000011622488700	1.092468046431176	0.640349098810666	-2	4	10	8	14	16	9	19	30	19	23	33	28	24	28	28	24	25	28	29	29	33	28	34	30	32	32	32	27	35	31	33	41	46	40	43	44	41	42	45	45	55	0	1	2	0	0	4	4	7	5	7	4	17	17	0	5	8	5	8	14	5	11	13	17	27	5	13	15	15	5	21	19	25	27	25	30	32	35	0	30	33	9	36	1	1	2	1	1	2	1	2	2	2	2	2	1	1	2	2	2	2	1	2	1	1	1	1	3	1	1	1	2	1	1	1	1	3	1	2	1	1	1	1	2	3
4000	-334.188423028108900	-332.327177326145602	-1.861245701963294	0.000010191587056	0.000020278870794	1.989765743404567	0.791232372361536	-3	4	12	8	12	13	14	20	32	19	25	31	25	24	26	26	27	27	27	25	30	32	29	35	31	30	20	39	33	34	36	37	40	47	39	41	40	39	46	43	44	54	0	1	2	0	0	4	4	7	15	7	6	20	27	0	5	8	27	8	14	27	11	13	20	15	5	13	5	17	17	21	19	25	12	25	30	32	35	0	30	33	24	32	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	2	2	1	1	1	1	1	1	2	1	2	1	1	1	1	2	1	2	3
4500	-352.018045768997922	-350.336928612410020	-1.681117156587896	0.000010807376946	0.000016746248742	1.549520186559717	0.753632864347831	1	4	8	6	11	16	15	19	24	21	25	27	24	26	26	27	25	28	29	18	29	29	31	33	28	30	34	36	33	34	31	32	30	51	36	43	40	39	43	43	49	53	0	1	2	0	0	4	4	7	5	6	7	20	20	0	20	8	5	8	14	5	11	17	9	33	20	13	15	9	9	21	14	25	15	9	30	32	35	0	30	12	28	36	1	1	1	1	1	2	2	1	3	1	2	1	1	1	1	2	3	2	1	3	1	1	1	1	1	2	1	2	2	1	1	1	1	4	1	2	1	1	2	3	2	2
