step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93
1	-6167.826429033347267	-6173.765626252432412	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.592503901505411	0	2	3	4	4	5	5	6	7	8	7	8	8	9	8	11	10	10	11	10	11	15	15	15	14	13	15	15	14	16	15	15	17	20	16	17	17	19	19	20	19	21	21	20	22	22	21	22	21	23	23	24	25	24	24	23	25	24	25	24	24	25	25	27	26	25	26	26	26	28	27	26	27	28	27	27	28	28	28	29	29	29	30	30	29	31	31	32	33	32	32	34	38	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	3	3	3	4	4	4	4	4	5	4	6	5	5	6	5	6	8	8	8	7	7	8	8	7	8	8	8	9	10	8	9	9	10	10	10	10	11	11	10	11	11	11	11	11	12	12	12	13	12	12	12	13	12	13	12	12	13	13	14	13	13	13	13	13	14	14	13	14	14	14	14	14	14	14	15	15	15	15	15	15	16	16	16	17	16	16	17	19
500	-1265.076109250013815	-1271.015306469098959	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.186452178572972	0	1	4	4	3	5	5	7	5	7	7	9	8	7	7	9	7	10	12	9	11	12	12	12	13	11	15	16	11	13	13	15	17	20	17	18	17	19	16	18	20	21	21	17	22	20	21	22	21	23	24	25	25	25	24	24	25	25	26	24	24	24	26	28	26	26	25	27	26	29	27	27	28	28	27	26	28	28	29	30	30	30	31	31	29	31	32	32	34	33	32	34	39	0	1	5	1	2	5	4	5	4	6	4	9	10	9	6	4	4	0	15	14	14	16	15	14	20	17	21	19	14	16	16	19	0	28	30	28	30	17	11	31	23	37	14	30	46	26	23	49	38	40	43	17	44	15	16	17	30	55	40	31	48	17	21	43	32	38	39	44	39	38	9	23	23	30	39	39	30	44	44	16	23	39	30	39	26	39	44	39	44	30	44	39	0	1	1	1	2	2	2	1	2	1	1	3	2	1	1	2	3	2	1	2	2	2	2	3	3	2	4	2	2	2	2	3	2	1	3	2	1	2	6	9	3	4	3	9	3	1	5	5	1	1	3	2	12	4	12	7	12	8	1	4	5	1	10	14	6	7	6	5	5	8	5	18	9	12	13	6	6	9	8	11	18	13	13	10	9	12	8	13	10	10	13	7	14	1
1000	-969.219395943615154	-975.158593162700413	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.264279860986058	0	2	4	3	5	4	6	6	7	6	7	9	6	10	7	12	9	10	11	10	11	14	15	16	13	14	14	15	14	15	15	14	18	21	17	14	16	17	16	18	17	22	22	20	23	21	18	23	20	21	22	25	25	22	24	23	25	24	26	24	25	26	26	28	27	26	25	26	26	29	28	26	28	28	28	28	29	29	29	30	30	30	30	31	30	31	31	32	34	33	33	35	38	0	1	2	1	4	2	4	5	4	6	4	9	6	17	13	9	9	0	15	9	17	21	19	22	20	20	21	32	16	21	27	19	0	28	27	19	21	27	21	37	36	44	30	30	30	37	36	44	37	30	49	51	44	47	51	39	39	40	39	40	39	48	37	39	47	55	56	58	39	58	40	47	47	49	39	27	39	39	39	30	41	39	37	39	37	39	39	39	39	58	39	39	0	1	1	1	3	1	1	1	1	2	1	2	1	1	1	1	2	1	1	2	2	1	2	1	1	2	2	2	1	1	2	1	1	1	3	1	2	2	2	4	1	2	1	3	2	4	2	2	3	2	2	1	2	3	2	1	4	3	3	5	2	3	1	8	6	8	1	1	1	5	2	8	3	6	4	5	8	8	8	5	12	11	10	10	9	6	9	8	9	7	9	10	12	1
1500	-892.676711540467863	-898.615908759553122	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.402981387286323	0	2	3	4	5	6	5	6	5	7	8	8	8	7	9	11	10	11	11	9	12	15	13	14	14	13	14	16	15	14	15	14	18	19	16	17	17	18	20	19	18	21	21	21	23	21	20	22	21	24	23	25	23	23	25	22	25	25	24	24	25	24	25	28	26	24	26	27	25	27	28	27	27	28	28	27	28	28	29	29	27	29	28	31	29	31	31	33	34	32	33	34	39	0	1	2	1	3	5	4	3	4	6	4	9	10	9	13	14	14	0	15	14	20	20	19	21	21	21	17	32	27	21	16	23	0	23	16	28	22	27	30	37	28	39	38	40	42	35	41	30	37	40	42	42	30	47	51	42	50	48	51	39	53	49	39	63	41	39	48	58	53	58	66	54	54	61	56	30	48	69	62	22	34	35	31	35	76	78	69	53	78	85	53	53	0	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	2	2	1	1	2	1	2	2	1	1	3	1	1	3	3	1	2	2	3	1	1	1	2	2	1	3	1	4	2	3	1	2	7	2	2	1	1	2	1	1	2	1	2	2	7	3	2	1	2	1	2	2	4	1	3	5	3	1	4	5	4	7	7	11	1	2	4	8	4	1	8	8	1
2000	-728.052026360427817	-733.991223579513075	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.530589519026823	0	2	4	4	3	5	5	6	7	7	7	9	8	9	8	11	9	10	12	10	10	15	15	15	15	13	15	13	13	17	14	16	17	20	16	17	18	17	17	20	20	19	21	20	21	23	20	21	22	22	23	24	22	24	25	24	25	25	26	23	25	26	24	26	26	25	25	25	25	28	27	26	27	28	27	28	29	27	28	29	30	30	31	30	29	31	31	33	34	32	32	34	37	0	1	5	1	2	5	4	5	4	6	7	9	10	4	10	14	9	0	15	9	17	20	19	21	26	20	21	19	17	29	17	19	0	32	24	19	27	27	22	37	23	39	38	39	27	50	32	42	42	45	48	48	27	47	48	49	50	29	48	30	52	55	39	53	36	48	56	60	63	46	58	54	41	51	67	60	78	69	62	46	36	75	70	69	70	69	84	67	69	80	53	87	0	1	1	1	2	1	1	1	2	2	1	1	1	1	2	1	1	1	1	2	2	1	2	2	2	1	1	3	1	2	2	3	2	1	2	1	3	2	1	1	1	2	1	2	1	3	1	2	1	1	1	1	2	3	2	2	1	1	6	3	4	1	1	2	2	6	2	1	2	1	2	2	1	3	3	1	3	2	2	1	4	6	2	2	3	1	3	1	5	3	1	7	3	1
2500	-663.677673772137268	-669.616870991222527	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.657689105715722	0	1	3	4	5	6	6	6	7	9	7	9	7	9	9	12	11	11	11	10	11	15	13	15	15	13	15	15	14	16	14	12	18	21	16	18	17	19	19	20	19	22	21	21	22	22	21	21	22	23	23	25	26	24	24	23	26	23	25	22	25	24	23	28	27	25	26	26	25	28	26	25	26	28	27	27	29	28	28	29	30	29	31	30	30	31	32	33	34	32	33	34	38	0	1	2	1	3	5	4	3	4	13	7	9	6	9	13	9	14	0	15	9	14	20	32	14	20	20	21	32	16	21	17	15	0	28	27	28	16	27	37	24	28	48	38	39	39	30	41	39	48	30	48	48	63	47	48	49	60	30	55	40	55	48	44	63	47	51	56	58	63	58	55	54	72	66	67	58	69	69	62	46	54	75	58	69	70	69	77	67	84	70	63	84	0	1	1	2	2	1	1	2	2	2	1	1	1	1	1	2	2	1	1	2	1	2	2	1	4	3	1	2	2	1	2	2	1	1	3	1	2	2	2	1	2	1	1	1	1	1	4	1	1	1	3	1	2	1	1	2	1	2	2	1	1	1	2	1	2	4	1	2	2	1	2	1	1	1	2	1	2	2	2	2	3	4	1	5	2	2	4	1	5	2	2	7	1	1
3000	-621.884324152440399	-627.823521371525658	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.689810242275069	1	2	3	3	4	5	6	7	6	7	7	9	8	8	9	11	9	11	11	10	12	15	15	15	13	12	15	16	15	16	16	16	18	21	17	17	18	19	20	21	19	22	21	21	23	22	22	23	20	23	23	23	23	24	24	24	25	24	26	25	25	26	24	26	26	25	26	26	25	28	27	27	28	29	27	27	28	27	29	29	30	27	28	29	30	32	30	33	33	32	32	34	38	0	1	2	1	3	5	4	5	4	6	7	14	10	4	13	17	9	0	15	14	20	25	19	17	20	20	26	19	21	26	17	23	0	23	21	32	30	30	30	37	36	49	38	31	44	31	28	49	30	40	49	49	44	47	52	42	46	46	48	50	48	55	53	53	54	52	56	40	53	58	48	65	65	71	67	68	69	69	71	70	72	56	58	78	83	78	77	82	77	85	69	77	0	1	1	1	1	1	1	1	2	1	1	1	1	1	3	1	1	2	1	1	1	1	1	2	2	2	2	2	3	1	2	3	1	1	3	3	1	1	1	2	2	1	2	1	2	2	2	3	2	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	2	1	1	1	2	1	2	2	1	1	1	1	1	2	1	1	1	2	1	2	1	2	3	1	3	3	1	6	3	1
3500	-551.917312490891504	-557.856509709976763	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.709866075810944	0	1	3	4	4	5	5	6	7	7	8	7	8	9	9	12	10	11	11	11	12	15	15	15	15	13	14	15	14	16	16	16	16	19	15	18	17	19	19	20	19	20	20	21	21	22	21	21	21	22	24	24	24	24	24	23	26	25	26	25	25	25	25	27	27	25	25	26	26	27	28	26	26	27	27	28	28	28	29	29	29	29	31	29	29	30	32	32	33	32	31	35	38	0	1	2	1	3	5	4	5	4	6	7	4	10	9	13	17	14	0	15	14	17	20	19	29	20	20	21	19	21	22	27	28	0	23	27	32	30	27	37	30	28	39	38	39	39	40	41	42	42	40	48	48	44	47	48	49	50	40	52	50	55	52	53	53	72	48	56	50	63	60	66	54	54	48	67	68	69	69	71	70	72	75	70	78	70	77	91	82	84	80	84	89	0	1	1	1	2	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	2	3	1	2	1	1	2	1	1	1	1	1	3	1	1	1	2	1	2	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	1	1	1	1	2	1	2	1	1	1	1	1	3	2	1	1	1	1	1	1	1	3	1	1	1	1	2	2	2	1	1	1
4000	-562.419607212300093	-568.358804431385352	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.753232609926951	0	2	3	4	4	6	6	5	7	7	7	8	8	8	9	12	10	10	11	11	12	16	15	16	15	13	15	16	14	17	15	16	17	20	17	17	18	20	19	20	19	21	21	21	22	23	20	22	22	22	23	24	25	24	24	23	25	24	24	23	25	26	24	26	26	26	27	25	26	28	26	27	27	28	25	27	28	28	28	29	29	29	30	30	30	30	32	32	34	33	31	34	39	0	1	2	2	3	5	4	5	4	6	7	9	10	9	13	14	14	0	15	14	14	21	19	21	16	20	16	23	20	31	21	23	0	23	21	23	31	27	30	30	36	39	31	39	39	30	41	42	42	40	48	48	44	41	48	49	46	60	48	50	51	52	44	63	54	48	75	58	63	46	55	65	54	55	56	68	69	69	71	46	72	67	70	77	70	77	91	82	84	80	84	84	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	2	2	2	2	1	1	1	1	1	2	1	1	2	2	1	2	3	1	2	1	1	2	1	1	3	1	1	1	1	1	1	2	3	2	1	1	1	2	1	2	1	2	1	1	1	1	1	1	3	1	1	3	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	2	1	2	1
4500	-577.943829569248692	-583.883026788333950	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.690292911795889	0	2	3	4	4	6	6	6	7	9	7	8	7	9	9	10	11	11	11	10	12	16	14	16	14	13	15	16	15	16	16	15	18	20	17	18	17	19	20	21	19	21	21	19	23	22	22	22	21	22	23	24	25	24	25	24	25	25	26	24	24	24	23	28	26	25	27	27	25	28	26	27	28	27	26	28	27	29	28	28	29	29	31	30	29	31	32	32	33	32	31	33	38	0	1	2	1	3	5	4	5	4	13	7	9	6	9	13	14	14	0	15	9	17	20	19	29	26	20	17	32	21	21	17	23	0	36	27	32	27	27	37	31	36	37	38	37	39	40	41	44	39	40	48	48	44	47	45	42	40	46	62	50	42	42	42	53	54	52	75	58	63	58	55	54	65	66	56	68	69	69	71	58	72	67	70	77	70	78	91	82	84	85	84	77	0	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	2	1	2	2	2	1	1	1	1	1	1	2	2	3	1	4	1	2	2	1	2	1	1	1	1	1	3	1	1	2	3	1	1	1	2	2	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	2	2	1	1	3	1
