step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89
1	-4553.791664964728625	-4552.329582880210182	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.439414310754781	-1	2	3	1	3	5	4	6	7	6	7	9	10	10	12	12	11	12	13	12	13	13	14	14	14	15	16	16	15	16	15	17	17	16	16	17	19	19	19	21	20	20	20	19	20	21	22	22	21	22	22	24	24	24	26	27	25	28	27	25	26	27	27	27	27	27	27	28	29	30	31	29	31	34	32	34	34	35	36	37	36	38	38	38	40	42	42	43	44	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	3	3	4	4	4	4	5	6	6	7	7	6	7	7	7	7	7	8	8	8	8	9	9	8	9	8	9	9	9	9	9	10	10	10	11	11	11	11	10	11	11	12	12	11	12	12	13	13	13	14	14	13	15	14	13	14	14	14	14	14	14	14	15	15	16	16	15	16	18	17	18	18	18	19	19	19	20	20	20	21	22	22	22	23
500	-1461.757429438737518	-1459.144862911456585	-2.612566527280869	0.000010036072305	0.000041325514459	4.117697960210051	0.166598817216908	-1	1	4	1	3	3	3	5	8	5	6	8	9	7	9	11	11	13	13	10	10	13	13	15	14	16	16	14	15	15	15	16	16	17	13	15	19	19	19	21	17	21	20	16	21	22	22	21	18	20	22	24	25	24	25	27	26	28	27	26	26	28	28	28	27	28	27	28	30	31	32	30	31	35	33	35	35	34	37	38	36	39	39	38	41	43	43	44	45	0	1	4	1	1	1	1	6	7	7	6	10	11	11	11	12	11	20	20	15	14	16	11	15	15	35	13	21	10	16	11	19	20	30	10	16	32	32	15	35	21	36	33	35	25	44	33	28	21	36	44	35	28	7	25	28	44	44	21	44	44	35	36	35	28	35	49	35	35	28	35	14	35	49	28	41	49	67	49	49	41	53	21	21	49	49	49	49	49	1	1	1	1	1	2	2	1	2	1	2	2	1	1	2	2	3	2	2	1	2	1	3	4	4	2	4	3	5	2	4	2	3	2	5	3	1	2	7	4	3	4	2	1	6	3	4	4	7	3	5	7	8	15	8	6	6	8	12	6	8	14	7	14	9	10	7	11	9	10	12	14	11	10	15	14	13	5	16	13	14	11	18	23	19	24	22	24	23
1000	-1242.639996170579707	-1239.982778128832024	-2.657218041747679	0.000010081190724	0.000042988481278	4.264226563396099	0.175145206090694	-3	2	3	0	2	5	4	6	7	6	7	9	10	10	10	11	11	11	14	12	11	13	14	14	15	15	16	13	16	17	14	18	16	17	13	18	20	19	20	22	18	20	19	16	20	20	21	20	18	22	22	24	21	25	26	26	26	28	28	25	26	28	26	28	25	27	28	29	30	31	31	27	32	35	33	34	35	36	37	38	37	39	38	38	41	43	43	44	45	0	4	1	1	4	3	5	6	7	7	8	10	11	11	11	12	11	13	15	18	14	16	17	20	24	22	31	14	22	16	15	25	25	26	16	35	32	25	25	35	28	35	25	35	38	35	33	28	28	42	44	44	28	44	33	53	46	51	28	51	44	35	44	35	49	44	53	44	44	65	52	28	46	53	49	49	72	67	53	72	41	72	48	28	53	53	53	49	49	1	1	3	2	1	1	1	1	2	2	1	1	2	1	2	1	3	1	2	1	1	2	2	2	1	1	2	2	2	4	2	2	1	1	2	3	1	2	3	5	2	2	3	2	1	4	2	4	3	2	2	4	5	8	5	2	4	4	7	2	7	12	6	14	3	6	4	7	6	4	4	8	6	10	8	11	7	4	13	8	13	7	17	21	18	21	21	20	21
1500	-1043.807522897152012	-1041.283377607733655	-2.524145289418278	0.000010053996129	0.000038556725631	3.834965235351017	0.300827875718688	-2	0	4	0	2	4	4	5	7	6	7	9	10	10	12	11	11	13	13	11	11	13	14	15	15	15	16	16	15	17	15	17	17	17	14	17	19	20	20	21	20	21	20	16	20	22	22	22	20	22	23	23	21	25	27	26	26	28	28	25	27	28	26	28	26	26	24	29	30	30	30	26	31	35	31	34	34	34	37	37	36	38	39	39	41	43	43	44	45	0	1	5	1	1	1	1	6	7	7	8	10	11	11	20	10	11	15	15	11	14	16	13	15	20	16	31	21	16	22	13	25	20	22	16	35	32	33	33	35	28	36	25	35	33	44	43	28	21	42	44	44	41	44	39	53	51	57	56	44	52	35	52	44	53	46	49	52	52	65	52	49	63	53	53	72	72	72	72	72	72	75	67	28	67	72	72	49	72	1	2	1	2	2	4	4	1	1	1	1	2	2	2	1	2	2	1	1	2	1	1	2	2	2	2	1	2	2	2	2	1	3	2	2	2	1	2	2	4	2	2	2	1	2	3	1	5	4	1	3	4	1	7	4	2	1	1	1	4	4	6	2	12	4	2	2	5	3	2	4	4	4	8	8	7	3	4	9	7	8	4	11	16	16	16	16	21	19
2000	-861.319986753552143	-859.286552617199050	-2.033434136353095	0.000010067027500	0.000024448091546	2.428531316417081	0.351498361837835	-1	3	3	1	2	3	4	6	7	6	7	10	10	10	13	12	10	11	14	11	13	14	15	15	13	14	17	16	16	16	16	17	16	16	15	18	19	20	17	21	20	20	20	17	20	21	23	20	20	22	21	22	25	22	25	27	25	28	27	25	27	28	28	28	26	26	24	29	30	31	31	28	32	34	29	32	35	36	36	37	37	39	38	37	40	43	43	44	45	0	1	1	1	1	5	1	6	7	7	8	10	11	11	18	7	11	17	18	11	14	16	20	15	20	16	31	21	16	16	23	25	25	26	16	35	32	39	25	35	28	35	33	35	39	44	33	28	21	42	44	44	41	44	18	41	54	57	53	54	52	61	61	36	49	52	49	52	63	65	61	67	66	67	67	67	75	74	67	67	67	76	75	67	65	75	76	28	75	1	2	2	1	2	1	4	1	3	1	1	2	2	2	2	3	2	1	2	2	1	1	3	2	2	1	1	2	2	3	1	2	2	1	2	2	1	2	2	2	2	3	3	1	2	2	3	2	2	1	2	3	3	2	7	3	1	2	1	2	3	1	1	10	4	2	3	4	2	2	3	1	5	6	4	4	3	1	8	6	7	3	6	9	10	12	9	22	15
2500	-683.025018824621839	-681.390976569681470	-1.634042254940411	0.000010253873106	0.000014719286303	1.435485513740013	0.397307574140886	-1	1	4	1	3	5	3	6	7	7	7	10	9	9	12	11	11	13	13	13	12	13	13	15	14	15	17	17	15	17	15	17	17	16	16	17	18	19	18	22	19	20	20	19	21	22	23	22	21	22	22	23	25	24	26	26	26	28	27	25	27	26	27	27	26	25	24	28	29	30	30	30	31	33	29	31	34	36	37	37	37	38	38	39	41	42	43	44	45	0	1	1	1	4	5	4	6	7	7	6	10	11	11	17	12	13	15	15	13	14	16	13	19	19	16	31	21	10	26	23	20	18	26	16	35	32	33	25	35	28	36	32	36	33	44	32	49	41	42	44	51	49	51	45	53	54	57	56	54	52	52	52	35	67	52	28	52	63	65	61	75	66	67	67	75	75	74	76	75	74	79	76	76	76	76	76	67	76	1	1	3	1	1	1	1	1	2	3	2	2	1	1	1	1	2	1	1	2	2	1	2	1	1	2	2	3	4	1	1	2	3	1	2	1	1	1	2	3	1	2	2	1	3	2	2	1	2	1	2	1	3	1	3	1	1	2	1	1	2	2	2	7	2	2	3	4	1	2	1	1	3	5	2	2	2	1	3	7	2	1	3	5	8	8	8	16	12
3000	-642.634779552189116	-640.859194930508806	-1.775584621680282	0.000010284370662	0.000018294307501	1.778845599973395	0.452018508140103	0	1	3	1	3	5	5	7	7	6	8	9	10	11	12	13	11	11	13	12	13	11	14	15	15	13	16	16	15	17	15	17	16	14	15	18	20	20	19	21	20	20	20	17	21	18	22	22	22	23	21	24	23	24	27	28	26	28	28	25	27	28	28	28	27	28	26	28	29	30	30	30	32	34	29	31	33	36	35	38	35	39	36	38	40	42	42	43	44	0	1	1	1	1	5	1	6	7	7	8	10	11	13	17	22	11	11	11	18	14	12	11	15	19	22	31	21	22	26	17	25	15	26	26	35	32	33	33	35	28	36	19	35	43	44	25	41	28	42	44	51	49	51	47	53	54	54	53	51	52	61	52	44	67	52	49	52	52	65	68	67	66	72	67	75	75	74	76	76	77	83	76	83	76	83	76	67	76	1	1	2	1	2	1	3	1	2	1	1	2	2	1	1	1	2	1	3	1	1	1	3	2	1	1	1	2	2	2	2	1	2	1	1	2	1	2	2	2	3	1	4	2	1	1	2	1	3	2	2	1	1	1	3	2	1	2	3	2	2	1	3	6	1	3	2	2	3	2	1	2	3	2	2	2	2	1	2	6	1	1	2	1	7	4	5	16	8
3500	-594.128706440633209	-592.539432367725112	-1.589274072908043	0.000010605994834	0.000014067037671	1.326328919698960	0.587960907821671	-1	2	3	1	3	5	4	4	7	6	6	8	10	10	13	13	11	12	13	11	12	11	14	15	14	13	17	16	15	16	13	17	17	17	16	17	19	18	18	21	20	18	19	19	19	21	21	22	21	22	22	23	23	25	27	26	25	29	27	24	26	28	26	26	28	27	26	28	30	31	32	29	30	34	30	31	34	35	35	38	36	37	38	39	40	41	43	44	45	0	4	1	1	4	8	5	4	7	7	8	10	11	11	18	22	13	20	18	13	14	12	31	20	15	22	31	21	22	26	13	25	25	30	26	30	39	25	25	36	28	35	25	36	25	44	25	41	28	42	46	46	41	60	47	53	60	57	53	51	52	61	52	60	67	61	53	61	61	65	61	67	66	72	72	75	75	74	76	76	75	79	76	83	76	80	85	67	79	1	1	2	1	1	1	1	1	2	1	1	1	2	2	1	1	1	1	1	1	1	1	1	2	1	1	2	2	1	2	2	2	2	1	2	1	1	2	2	2	2	1	2	1	1	2	2	1	3	2	1	1	2	1	3	2	1	2	2	1	2	1	2	1	1	1	1	1	2	2	3	2	2	2	1	1	3	1	3	5	2	1	2	1	6	2	1	12	7
4000	-539.845390889502255	-538.289799929872061	-1.555590959630153	0.000010505387129	0.000013059686905	1.243141898958561	0.489251295947172	-1	3	2	1	4	3	3	5	6	7	6	10	10	10	12	13	10	13	13	11	13	12	14	14	15	14	16	17	15	16	15	17	16	16	16	17	19	19	20	20	20	20	19	19	20	22	23	23	21	23	21	23	24	25	26	28	26	28	28	22	25	27	27	28	27	27	26	28	29	30	32	29	31	34	31	33	33	36	36	37	37	38	35	39	40	41	41	44	45	0	4	4	1	4	4	4	6	7	7	8	10	11	11	20	22	11	20	20	13	14	12	11	18	15	22	31	21	22	26	23	33	20	26	26	35	32	25	25	35	28	36	25	35	43	44	43	28	28	42	44	44	49	60	39	53	60	54	49	44	52	61	52	57	67	61	53	61	63	65	52	67	66	72	72	75	75	74	76	79	77	83	76	79	83	80	85	83	87	1	1	1	1	2	1	1	1	2	2	1	2	2	3	1	1	2	1	1	1	1	1	5	1	1	1	1	2	2	1	1	1	2	1	1	1	1	2	2	2	2	2	2	1	1	2	2	3	2	2	1	2	1	2	3	2	2	2	4	1	2	1	2	1	1	1	1	2	1	2	4	2	3	2	1	1	2	1	2	1	2	1	2	1	4	2	1	7	3
4500	-493.718535924189439	-492.228488094470663	-1.490047829718791	0.000012235884095	0.000013161881962	1.075678868763462	0.617005528035416	-1	3	3	1	4	5	5	7	7	7	8	9	11	10	12	13	11	12	14	10	11	11	14	13	14	13	17	17	15	16	15	17	17	16	16	18	19	19	19	21	20	18	20	18	21	20	21	22	21	23	22	24	23	25	26	27	26	28	27	24	26	26	27	28	27	27	26	28	29	30	31	30	31	34	32	33	35	36	36	38	36	38	37	38	40	43	42	44	45	0	1	1	1	3	3	3	6	7	7	8	10	11	11	20	22	11	20	18	11	14	12	13	20	20	22	31	21	22	26	23	25	25	26	26	35	32	33	25	30	28	35	25	35	33	44	39	41	41	42	44	46	49	60	33	28	60	60	53	51	52	52	52	54	67	52	53	63	63	65	61	67	66	72	72	75	75	74	76	76	75	83	76	76	82	79	85	85	87	1	2	1	1	1	1	1	1	2	1	1	1	2	1	1	2	2	1	2	1	1	1	2	1	2	2	2	2	2	1	1	1	2	1	2	1	1	1	2	3	2	1	3	1	2	1	2	1	1	2	2	2	1	1	3	5	1	2	2	1	1	1	2	1	1	2	2	1	1	2	3	2	2	2	1	1	2	1	2	2	2	1	2	2	1	3	1	2	2
