step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100
1	-16178.047965277835829	-16176.585883193316477	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.899844403590367	0	4	6	8	10	10	11	11	11	13	12	13	12	13	14	14	13	14	14	14	14	14	14	17	15	16	17	17	17	16	15	17	17	17	17	18	18	17	16	18	17	18	18	17	18	18	18	19	21	19	20	20	20	21	21	20	21	20	21	21	22	21	22	23	22	22	23	23	24	23	22	24	24	24	26	26	27	30	27	26	28	27	29	29	29	30	28	28	30	31	31	31	31	31	34	33	33	35	34	33	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	4	5	5	6	6	6	7	6	7	6	7	7	7	7	7	7	7	7	7	7	9	8	8	9	9	9	8	8	9	9	9	9	9	9	9	8	9	9	9	9	9	9	9	9	10	11	10	10	10	10	11	11	10	11	10	11	11	11	11	11	12	11	11	12	12	12	12	11	12	12	12	13	13	14	15	14	13	14	14	15	15	15	15	14	14	15	16	16	16	16	16	17	17	17	18	17	17
500	-1140.706425138972236	-1137.956164026685428	-2.750261112286731	0.000009991258550	0.000045738891974	4.577890937698769	0.243081974357863	-1	4	6	8	8	10	11	10	9	11	12	12	12	11	14	13	14	14	11	12	11	14	12	18	14	15	16	17	18	13	16	16	18	14	15	18	17	16	16	18	17	19	17	17	18	18	18	20	21	20	21	20	20	22	19	20	20	17	22	21	23	22	21	23	22	22	23	23	23	23	21	24	24	24	26	27	27	31	28	27	27	27	30	28	30	31	28	29	30	31	32	32	32	30	35	34	34	36	35	34	0	1	2	3	2	4	5	5	0	8	5	9	9	0	7	8	16	7	9	9	0	30	19	18	8	19	19	20	21	14	22	8	22	19	23	26	9	21	0	34	34	37	20	30	27	21	5	16	19	19	10	35	30	48	0	21	19	10	5	28	7	71	7	30	3	34	23	7	5	2	10	30	10	34	58	19	5	30	34	12	34	34	34	48	30	40	57	49	34	58	30	34	58	5	30	0	30	57	5	58	1	3	1	1	3	2	2	2	1	1	2	2	2	1	2	2	1	1	1	2	1	1	1	2	3	2	3	3	4	2	1	3	3	1	2	2	4	2	1	3	3	1	3	2	2	6	3	4	7	4	6	4	5	1	1	6	5	3	4	2	5	1	4	5	10	4	6	5	7	9	7	6	8	7	5	12	13	12	8	9	6	6	12	4	13	10	8	6	9	8	15	10	8	12	14	1	14	10	15	14
1000	-872.107403680230391	-869.648314589771189	-2.459089090459184	0.000009984187085	0.000036273327131	3.633077667988331	0.275649549513328	-2	4	6	8	8	11	11	11	9	12	12	13	12	13	14	14	13	15	15	15	14	14	14	18	15	16	16	17	15	15	16	17	18	17	17	19	17	17	15	18	18	19	18	16	19	17	17	19	21	20	20	21	20	22	21	20	19	20	22	21	22	21	22	22	21	22	24	23	24	24	21	23	24	22	25	26	27	30	26	26	28	27	30	30	30	29	29	27	30	31	32	32	32	31	34	33	34	35	35	33	0	1	2	3	3	4	5	5	0	5	7	13	9	0	8	7	8	16	12	12	0	14	12	16	17	19	19	20	21	22	22	8	22	23	23	26	27	29	0	23	26	27	20	30	37	29	18	8	34	26	5	35	44	32	0	29	34	5	7	43	71	32	51	44	5	49	23	15	48	15	48	64	65	57	73	57	61	30	74	57	49	57	57	51	72	74	57	49	57	69	44	66	51	58	44	0	64	57	5	58	1	4	1	1	1	2	2	1	1	2	1	1	2	1	2	2	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	4	2	2	2	2	1	2	1	2	1	2	2	1	2	1	1	4	3	3	5	4	2	2	1	4	2	8	4	1	1	2	1	3	9	1	5	4	3	7	1	1	2	2	1	3	3	7	2	5	3	6	7	7	6	4	6	3	7	5	12	6	7	7	13	1	9	8	15	6
1500	-729.187068104181435	-726.922252653406076	-2.264815450775306	0.000010053081647	0.000030757608271	3.059520389049209	0.454872332007482	1	4	6	9	9	10	11	10	10	13	13	13	12	12	15	14	12	14	14	14	15	14	12	16	15	16	16	15	17	16	15	18	17	17	17	17	18	18	16	17	17	19	18	17	19	19	18	19	21	19	17	20	21	19	20	20	19	20	20	21	22	22	21	23	22	23	24	23	25	24	20	24	24	23	27	27	27	30	27	26	29	27	29	30	29	31	28	29	30	32	31	32	32	32	34	32	33	35	34	34	0	1	2	3	3	4	8	5	0	8	5	9	9	0	8	8	5	8	23	9	0	14	9	11	17	23	19	20	21	22	22	10	22	23	23	26	27	29	0	23	26	27	28	30	37	29	5	7	57	36	18	35	44	16	0	46	34	18	48	43	71	18	48	53	5	57	40	51	32	59	48	64	54	57	73	49	47	72	57	67	66	74	57	18	72	80	57	57	74	61	72	87	84	32	72	0	85	87	16	48	1	1	1	2	2	1	1	1	1	1	2	2	2	1	3	2	2	2	1	2	1	1	1	2	2	2	1	1	1	1	1	4	2	2	2	1	1	1	1	2	1	2	2	1	1	1	4	3	1	1	1	2	2	2	1	1	1	2	1	1	1	3	2	1	5	2	5	3	3	2	1	1	4	3	2	2	3	3	4	1	4	2	4	9	3	3	4	5	3	4	4	3	1	8	6	1	2	4	12	7
2000	-680.661165993373629	-678.447323876176597	-2.213842117197081	0.000010154834708	0.000029610638518	2.915915361450990	0.546740661503806	-1	4	6	8	10	10	11	12	11	13	13	13	13	13	13	14	13	15	15	15	14	14	14	18	16	16	17	18	16	16	16	17	17	17	17	19	17	18	16	17	18	18	17	17	19	18	19	19	21	19	20	21	19	21	20	20	19	19	21	19	23	20	22	23	19	22	23	24	24	23	21	25	24	25	26	25	27	31	26	27	28	27	28	29	29	30	28	28	29	31	31	32	31	31	34	33	33	35	34	33	0	1	2	2	3	4	5	7	0	8	5	9	9	0	5	7	8	8	9	13	0	14	13	11	17	23	13	43	21	22	22	18	22	23	23	26	19	29	0	19	19	27	20	30	37	29	18	18	57	26	18	35	44	18	0	46	27	16	65	20	71	48	58	44	32	57	40	71	63	59	32	64	65	57	73	57	61	72	57	66	49	49	76	71	72	80	74	76	74	77	85	87	84	84	91	0	85	92	48	48	1	3	1	3	2	1	1	1	1	1	1	1	2	1	1	2	1	2	3	2	1	1	1	2	2	1	2	1	1	2	1	1	2	2	1	2	1	2	1	1	2	1	1	1	2	2	1	2	2	1	2	3	1	4	1	1	1	3	1	2	1	1	2	3	1	2	3	1	1	2	2	1	3	4	2	2	2	3	4	3	2	2	2	5	2	3	1	3	3	2	1	2	1	2	2	1	2	2	7	7
2500	-613.300546151259709	-611.363392716406224	-1.937153434853486	0.000010225700749	0.000022296265932	2.180414475132931	0.611308987870651	0	4	6	8	9	10	12	11	10	13	12	11	13	12	14	14	13	14	14	14	15	14	14	17	16	16	17	17	17	16	16	15	17	17	16	18	16	18	15	18	18	19	19	18	18	19	18	20	22	19	20	20	20	19	21	20	20	18	20	22	23	21	22	23	20	22	22	23	24	23	23	24	23	25	25	26	27	29	27	26	29	27	29	28	28	30	28	27	29	31	30	32	32	30	33	33	33	35	33	34	0	1	2	3	3	4	8	5	0	5	5	9	12	0	7	7	8	7	9	12	0	14	12	32	17	19	9	20	21	22	22	5	22	19	19	26	23	29	0	23	26	37	20	30	37	29	15	32	57	26	58	35	30	32	0	46	34	32	54	43	48	48	48	53	54	57	40	48	51	59	48	64	65	57	73	66	71	72	57	49	76	74	74	61	72	80	76	76	76	71	85	87	84	84	85	0	91	92	61	94	1	2	1	1	1	2	1	2	1	2	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	3	2	1	1	1	2	1	1	1	1	1	1	1	1	1	2	2	1	2	1	2	3	1	2	1	2	2	2	1	1	1	2	1	2	2	1	1	2	1	1	2	1	2	2	2	1	2	2	1	2	2	3	3	2	2	1	3	2	2	2	1	1	1	5	1	2	2	1	2	1	2	2	7	2
3000	-587.789914079158052	-586.172738780376562	-1.617175298781493	0.000010454574684	0.000014578767834	1.394486937407531	0.632716274339432	-1	4	6	8	9	9	11	12	10	12	12	13	12	13	15	15	14	14	14	15	13	14	14	17	16	17	18	18	17	15	15	17	17	17	18	16	18	18	16	19	17	19	18	18	19	18	18	18	21	19	20	21	20	21	21	20	20	19	21	21	23	20	22	23	22	23	23	23	23	24	22	25	24	24	27	26	27	31	28	27	27	27	28	28	29	30	28	28	31	30	32	32	31	31	34	33	33	33	34	34	0	1	2	3	3	4	5	7	0	5	5	9	9	0	8	7	8	8	13	12	0	14	12	11	17	36	19	20	21	22	22	16	22	23	23	19	19	29	0	23	19	27	20	30	37	29	10	32	57	36	58	35	30	58	0	46	34	10	58	43	71	32	58	44	54	49	40	51	51	59	48	64	65	57	73	40	71	85	76	66	66	74	81	77	72	80	81	66	83	77	85	87	90	77	91	0	85	92	93	94	1	3	2	1	2	1	1	1	1	2	1	2	1	1	2	2	1	2	1	1	1	1	1	2	1	1	2	2	2	1	1	1	1	1	2	1	2	1	1	2	1	1	2	2	1	1	3	1	1	1	1	2	2	1	1	1	2	4	1	1	1	2	2	2	1	1	2	1	2	2	2	2	1	2	2	3	3	2	1	2	2	2	1	1	2	2	1	3	2	2	2	2	1	2	2	1	2	1	1	1
3500	-604.432641734797357	-602.458421120783896	-1.974220614013462	0.000010762123917	0.000024484310624	2.275044481299538	0.657694274399206	1	3	5	8	8	10	11	12	10	13	13	14	12	11	14	14	13	14	13	15	15	13	15	16	15	17	15	17	16	16	15	17	16	16	17	15	18	18	15	18	16	19	19	18	19	18	19	19	20	19	20	20	20	19	19	20	19	19	21	21	22	21	21	23	21	22	23	22	25	22	21	25	25	25	26	26	27	29	27	27	28	27	29	29	28	29	28	28	31	31	30	32	32	31	34	32	33	34	34	34	0	1	2	3	3	4	5	7	0	7	7	13	9	0	7	8	5	7	9	13	0	14	19	11	17	36	19	20	21	22	22	16	22	23	23	12	27	29	0	23	36	27	20	30	37	29	8	10	57	26	58	35	30	18	0	46	34	32	10	28	71	48	58	44	54	49	40	51	58	59	48	64	65	57	73	57	61	85	76	74	82	74	76	69	72	80	66	76	83	84	85	87	90	84	91	0	85	92	93	94	1	1	2	1	2	1	2	1	1	2	1	1	2	1	2	1	2	2	1	1	1	1	1	2	1	2	1	1	1	1	1	2	2	1	1	1	1	1	1	2	1	2	2	1	1	2	2	2	1	1	1	1	2	2	1	1	1	1	3	2	1	1	1	2	1	2	2	2	3	1	2	1	3	2	1	4	2	1	1	1	1	1	1	2	2	1	3	2	1	1	2	2	1	1	2	1	2	1	1	1
4000	-597.613868302561173	-595.583874671908234	-2.029993630652927	0.000010878454953	0.000026320764712	2.419531526015656	0.696052088366563	0	5	6	8	9	11	11	12	9	13	13	13	11	12	13	15	14	13	15	13	14	14	14	16	15	16	16	17	17	16	15	18	16	17	16	19	17	18	15	18	18	19	19	18	18	18	18	17	22	20	20	20	20	20	21	20	19	20	21	21	23	20	21	23	22	23	24	22	24	23	22	25	23	24	26	26	27	31	28	27	28	26	30	28	28	30	28	28	30	30	30	32	32	32	34	33	33	35	34	33	0	1	2	3	3	4	5	7	0	8	8	9	9	0	7	18	18	7	23	13	0	14	12	11	17	23	19	20	21	22	22	10	22	23	23	26	27	29	0	23	26	27	20	30	37	29	16	10	57	26	32	35	30	10	0	46	34	32	51	43	32	16	58	53	54	57	40	58	51	59	51	64	54	57	73	49	71	91	49	49	74	74	76	71	72	80	74	76	76	84	85	87	90	84	91	0	91	92	93	94	1	3	1	2	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	2	1	1	1	2	1	1	1	2	1	1	1	2	2	2	2	2	1	1	1	2	2	2	2	2	2	4	1	1	1	2	1	1	2	2	1	2	1	2	3	1	2	1	1	1	1	2	2	3	2	1	3	2	2	1	2	2	1	2	1	2	3	1	2	2	1	2	2	1	2	1	1	1
4500	-622.731020839605549	-621.092703270564130	-1.638317569041388	0.000011106457112	0.000016058388033	1.445860535945124	0.637141897079876	0	3	6	8	9	11	11	12	11	12	13	14	12	12	14	14	13	14	13	15	13	14	14	17	16	16	15	18	16	16	16	16	17	17	17	18	19	18	16	18	17	17	18	18	16	18	17	20	21	19	21	20	20	20	19	20	20	18	22	21	22	20	22	22	22	23	23	23	24	23	22	24	23	25	26	25	26	30	27	26	29	27	29	29	27	30	28	29	28	30	30	31	32	31	35	34	33	34	33	33	0	1	2	3	3	4	5	7	0	5	7	13	9	0	5	8	5	7	13	12	0	14	9	16	17	12	19	20	21	22	22	15	22	23	23	26	45	29	0	23	13	19	20	30	27	29	5	32	34	36	58	35	44	18	0	46	34	32	54	28	48	32	58	53	54	49	40	63	58	59	15	64	54	66	73	57	61	85	76	76	74	66	89	61	72	80	76	76	74	84	85	87	90	77	97	0	91	92	90	84	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	2	2	2	1	1	1	2	1	2	1	1	1	2	1	2	1	1	2	2	1	1	2	2	1	1	2	2	2	1	1	1	3	2	2	1	2	2	1	2	1	1	2	1	1	1	1	2	3	1	1	1	2	1	2	1	4	1	2	1	1	3	2	1	1	1	2	3	1	3	2	2	2	2	2	1	2	2	2	2	1	1	2	2	2	2
