step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31
1	-295.471355644456366	-302.326843595415767	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.647214943948969	0	2	2	4	5	5	6	7	7	9	13	13	13	18	17	16	17	18	18	18	18	20	21	20	22	23	25	23	25	26	28	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	3	3	4	4	5	7	7	7	9	9	8	9	9	9	9	9	10	11	10	11	12	13	12	13	13	14
500	-208.453453980688920	-215.308941931648292	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.263649941939080	0	2	3	5	5	6	6	8	7	9	13	13	14	18	16	16	16	19	18	18	18	21	20	21	22	24	25	24	26	25	27	0	1	1	1	1	1	2	1	3	4	1	5	1	15	8	1	8	15	9	11	6	1	7	8	16	7	1	12	1	0	0	1	1	2	3	3	2	2	3	1	2	7	5	6	1	4	7	5	2	5	3	6	10	7	5	2	7	12	6	12	1	1
1000	-213.260311974880693	-220.115799925840065	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.382344807121709	0	1	2	4	5	5	7	7	8	9	14	14	12	17	16	15	17	17	18	17	18	20	21	21	23	23	26	22	24	25	28	0	1	1	1	1	1	3	6	7	6	1	13	1	12	5	1	10	16	18	16	12	18	10	9	20	14	24	19	24	0	0	1	1	1	2	3	2	2	1	1	2	7	1	5	2	6	7	3	1	1	1	3	2	3	6	3	3	3	2	2	1	1
1500	-176.036481235472451	-182.891969186431822	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.409760819716843	0	2	2	5	5	4	7	7	7	9	13	14	14	18	17	16	17	17	18	18	18	20	22	19	23	23	26	22	25	26	27	0	1	1	1	1	1	3	5	5	6	8	11	1	13	16	1	4	1	16	6	15	24	17	16	18	28	25	14	19	0	0	1	1	1	3	2	2	2	2	1	3	3	1	6	2	1	10	7	9	1	6	1	1	4	1	4	1	2	2	4	1	1
2000	-151.534048961336651	-158.389536912296023	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.427216981606413	1	3	2	4	6	5	7	6	7	9	14	13	13	18	18	16	17	18	17	16	19	20	21	20	22	23	25	24	24	27	26	0	1	1	1	1	1	4	4	8	7	7	10	1	16	11	7	11	16	11	6	19	14	1	12	17	17	29	25	25	0	0	1	1	1	3	3	2	1	1	1	1	4	3	4	1	2	4	2	1	1	5	1	2	11	3	2	4	1	1	1	1	1
2500	-219.561559451095718	-226.417047402055090	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.486240020205222	0	2	2	5	5	4	5	8	8	10	14	13	13	15	17	17	17	18	19	18	17	20	20	20	21	23	23	23	25	25	28	0	1	1	1	2	1	3	2	3	8	1	9	1	12	14	11	12	11	21	21	14	15	1	18	21	25	15	22	15	0	0	1	2	1	3	2	2	2	3	3	1	7	3	4	1	1	1	1	2	1	1	1	2	9	1	3	1	3	2	5	1	1
3000	-169.522499847407744	-176.377987798367116	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.251894785432785	1	3	3	5	4	5	6	7	6	8	14	14	12	18	17	16	16	17	19	18	18	20	21	20	22	22	25	24	24	26	29	0	1	1	1	1	3	1	5	5	7	10	7	1	18	8	1	13	1	11	4	8	15	1	11	17	17	29	24	18	0	0	1	1	1	2	1	2	1	2	2	1	4	5	7	1	4	7	3	8	3	5	7	1	13	4	3	5	1	2	5	1	1
3500	-164.335917744533532	-171.191405695492904	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.323419287246910	1	2	3	4	5	4	6	7	6	10	12	13	12	18	18	13	16	18	17	19	18	21	21	20	22	23	25	24	26	26	27	0	1	1	1	1	1	1	1	2	6	9	11	1	13	17	1	16	1	9	5	13	11	1	8	18	15	18	13	27	0	0	1	1	1	2	2	1	2	3	2	3	5	1	6	3	1	6	2	8	6	6	3	3	11	3	2	2	4	7	1	1	1
4000	-152.410873112540685	-159.266361063500057	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.385926293361043	0	3	2	4	5	5	6	8	6	8	13	14	14	18	17	16	16	18	17	18	18	21	21	19	22	21	24	22	24	27	25	0	1	1	1	1	1	6	9	3	7	1	11	5	13	16	13	5	1	9	16	11	20	1	1	24	21	14	22	28	0	0	1	1	2	2	3	2	1	1	2	1	6	1	4	2	1	1	4	9	5	1	2	1	9	8	2	2	3	1	1	1	1
4500	-167.287999693724316	-174.143487644683688	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.343348966630212	0	2	2	4	4	5	6	6	7	9	14	13	12	17	17	16	17	18	19	19	18	21	21	20	22	23	23	22	26	27	28	0	1	1	1	1	1	4	3	6	8	1	8	1	12	8	11	11	1	8	14	7	17	10	1	24	19	18	24	27	0	0	1	1	1	3	2	4	1	2	1	2	7	4	7	1	6	1	2	7	7	1	5	3	6	11	1	2	2	1	1	1	1
