step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80
1	-8418.308485115132498	-8416.846403030613146	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.263108060137805	1	1	4	3	4	6	6	7	9	9	10	12	11	11	11	11	14	12	12	14	12	12	13	13	14	13	14	15	14	14	15	14	15	16	16	16	16	15	17	17	16	17	17	18	19	18	18	17	19	18	19	19	20	20	20	19	21	20	22	22	22	23	24	26	26	24	26	28	26	26	27	29	30	31	32	34	34	33	35	36	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	3	3	3	4	4	5	6	5	5	5	5	7	6	6	7	6	6	6	6	7	6	7	7	7	7	7	7	7	8	8	8	8	7	8	8	8	8	8	9	9	9	9	8	9	9	9	9	10	10	10	9	10	10	11	11	11	11	12	13	13	12	13	14	13	13	13	14	15	15	16	17	17	16	17	18
500	-1035.512298861945055	-1032.744634821520776	-2.767664040424236	0.000009953513411	0.000046162742984	4.637834006755221	0.241352438800583	0	1	4	3	5	6	6	6	7	7	10	11	12	11	10	10	15	9	12	14	12	9	13	13	15	13	13	14	13	13	16	14	13	17	16	16	17	12	17	17	17	16	16	18	20	16	17	17	18	19	20	18	20	19	21	20	22	17	21	22	22	23	25	26	27	24	27	27	27	26	27	29	30	31	31	35	34	34	36	37	0	1	2	1	2	1	4	4	8	0	10	10	15	9	9	10	11	9	16	15	14	9	13	14	12	16	10	18	10	19	18	12	22	18	21	21	16	18	15	19	27	22	21	16	35	12	38	46	23	16	47	12	48	36	26	38	48	12	38	30	27	58	47	39	63	44	58	42	23	47	16	15	23	15	15	22	9	33	49	14	1	1	2	1	2	2	2	2	1	1	2	3	1	2	2	2	4	1	2	2	1	1	1	1	2	2	3	2	2	1	4	1	2	6	3	2	3	1	3	3	2	5	2	4	3	3	3	1	2	6	2	5	2	1	3	8	3	3	7	4	5	4	8	5	1	6	7	6	7	6	11	11	8	14	12	14	18	11	11	13
1000	-801.203691024289014	-799.332477034202952	-1.871213990086107	0.000009942937797	0.000020030843035	2.014579940498464	0.344878788997741	-1	1	4	3	1	7	7	7	9	9	10	13	11	10	11	12	14	12	12	11	13	12	12	13	14	13	15	16	13	14	15	15	16	17	16	16	17	14	16	17	16	15	18	16	17	18	16	18	19	18	20	19	19	20	20	19	20	17	22	23	21	22	24	26	26	25	27	26	26	27	28	29	30	31	33	34	34	34	35	37	0	1	5	1	1	3	4	4	8	0	10	10	9	9	14	10	11	14	10	9	9	9	14	9	26	19	16	38	10	10	18	12	9	38	21	21	27	18	9	41	26	14	36	19	36	12	38	44	14	41	47	30	44	45	46	38	52	30	47	55	52	58	47	49	59	58	58	15	33	59	58	49	9	9	22	68	33	39	64	68	1	1	2	2	1	2	2	2	2	1	1	2	1	1	1	2	2	1	1	1	2	2	1	2	1	1	1	1	2	3	2	1	4	2	1	1	1	1	4	1	2	2	1	1	1	2	2	2	4	1	3	2	2	2	1	4	1	1	5	2	2	3	6	5	3	5	7	11	3	4	9	5	10	10	9	5	10	11	7	9
1500	-696.569530754494622	-694.753729236662593	-1.815801517832032	0.000009944896740	0.000018670476455	1.877392691173616	0.394490642412738	1	2	5	3	3	5	5	6	9	9	10	11	11	12	12	12	14	12	11	14	13	12	11	14	15	12	14	15	15	14	15	14	16	16	15	16	16	16	14	17	16	17	18	18	18	17	17	16	18	19	19	18	20	21	21	20	21	17	23	22	22	24	25	23	26	24	27	28	26	26	28	30	29	32	33	35	35	32	36	37	0	1	5	1	2	1	4	4	8	0	10	10	9	23	9	10	11	9	10	14	9	9	9	14	30	10	19	18	30	19	18	16	14	28	21	21	19	28	14	41	16	39	21	48	36	16	38	16	33	41	47	48	44	45	46	47	52	12	47	46	52	58	47	49	59	58	58	49	64	63	58	64	64	68	78	72	33	64	68	64	1	1	1	1	1	1	1	2	2	1	1	1	2	1	2	2	2	2	1	1	2	3	1	1	1	2	2	1	1	1	2	1	2	1	1	2	3	1	2	1	2	1	2	1	1	3	1	2	1	2	2	2	1	2	2	2	1	3	4	3	2	3	5	2	2	5	6	7	2	1	9	4	6	3	1	3	9	6	5	8
2000	-599.870271677736696	-597.853925281187912	-2.016346396548760	0.000009988695072	0.000023812387749	2.383933794841197	0.490886588009236	1	2	4	3	5	6	6	7	9	9	11	12	12	11	10	12	15	12	12	14	13	12	13	12	14	13	14	14	15	13	15	14	16	17	16	16	15	16	17	17	15	16	18	19	19	19	18	17	19	18	20	19	20	21	21	19	22	18	22	23	22	24	25	25	26	25	27	26	27	27	27	29	30	32	32	35	35	33	35	36	0	1	1	2	3	1	4	4	8	0	10	10	15	15	9	10	11	14	10	15	9	15	15	9	12	10	12	18	16	10	18	30	23	28	21	21	16	28	22	41	26	22	36	48	21	26	38	19	33	41	47	48	44	45	46	47	52	48	56	46	52	58	59	15	59	58	58	49	64	63	58	68	14	73	72	78	72	73	75	64	1	1	1	1	1	3	2	2	1	1	1	2	1	1	1	2	2	1	2	2	2	1	1	1	1	2	1	1	2	2	1	1	1	2	1	2	2	1	3	1	2	2	1	1	3	2	1	3	2	1	1	1	1	2	2	1	2	1	2	2	2	3	2	8	2	5	5	3	1	1	5	3	11	1	1	1	5	2	2	7
2500	-559.457600615202409	-557.582104160028166	-1.875496455174190	0.000010049886062	0.000020353630395	2.025259815924863	0.576844025249155	1	2	4	4	5	5	7	7	9	9	10	12	12	11	11	11	14	12	12	14	13	12	12	13	15	14	13	14	14	15	16	13	16	17	16	17	16	15	16	18	15	17	17	19	20	18	17	16	19	19	18	18	20	21	20	19	21	17	22	22	22	23	24	24	26	25	25	25	26	26	27	29	30	32	31	34	34	33	35	37	0	1	1	2	3	2	4	6	8	0	10	10	15	9	9	10	11	14	10	22	9	9	14	15	27	10	16	18	16	26	18	16	15	28	21	21	27	28	23	41	12	14	21	48	21	30	38	12	33	41	47	48	48	45	46	47	52	48	56	46	57	58	59	23	59	62	58	49	68	63	58	64	68	73	72	72	75	72	75	77	1	1	2	1	1	2	1	1	2	1	1	3	1	1	2	1	2	1	2	1	2	2	1	1	1	2	1	1	2	1	2	1	3	2	2	2	2	1	3	2	2	2	2	2	3	2	1	3	2	2	1	1	2	1	1	1	2	1	2	2	1	3	1	5	2	2	5	3	1	1	5	2	3	1	1	2	3	1	1	2
3000	-536.934094351670637	-534.758846058792528	-2.175248292878060	0.000010131045690	0.000028457906436	2.808980169109558	0.506338995254876	0	1	3	3	4	6	5	7	9	9	10	12	12	11	11	12	13	13	12	14	13	12	13	13	15	13	14	15	12	14	16	14	15	17	15	16	16	16	17	17	16	17	18	19	19	19	17	17	20	18	19	19	20	20	20	19	22	21	22	21	21	23	24	26	26	23	25	26	27	26	27	29	29	32	31	33	34	34	35	37	0	1	2	2	3	2	4	4	4	0	10	10	9	9	9	10	11	9	10	14	15	9	15	9	29	16	16	18	10	10	18	26	14	28	21	21	30	28	14	41	19	33	36	48	36	27	38	10	23	41	47	48	48	45	46	47	52	48	56	48	52	58	56	14	59	58	62	49	68	63	66	68	68	73	72	72	75	76	75	77	1	1	1	1	1	2	1	2	3	1	1	2	2	1	1	2	2	2	2	1	1	2	1	2	2	1	1	1	2	2	1	1	2	1	1	2	1	1	3	1	2	1	2	1	2	2	1	4	3	1	2	2	2	1	1	2	1	2	2	2	1	1	2	7	2	1	1	3	1	1	3	2	2	1	1	1	2	1	2	1
3500	-539.118316727679144	-537.271482137479325	-1.846834590199823	0.000010360127959	0.000020243697676	1.954000737938779	0.669150304700953	0	2	2	4	5	6	6	7	8	9	10	12	12	11	10	11	14	12	12	14	13	12	12	12	14	13	15	14	13	14	16	14	14	16	14	16	15	15	18	18	15	17	18	18	19	18	18	17	20	18	20	18	21	21	21	20	22	20	22	22	22	24	24	26	26	24	26	28	27	27	27	29	30	31	32	35	34	32	35	36	0	1	1	2	3	1	4	4	8	0	10	10	15	9	9	10	11	14	10	15	15	14	9	15	12	10	19	18	10	10	18	26	23	28	21	21	12	28	33	41	26	23	36	48	36	26	38	19	39	41	47	48	48	45	46	47	52	44	56	46	52	58	59	49	59	58	62	39	64	63	66	68	68	68	72	78	75	72	75	77	1	1	1	1	2	2	1	1	1	1	1	2	1	1	1	1	2	1	2	3	1	1	1	1	1	2	2	1	3	2	2	1	1	2	1	2	2	1	1	1	1	2	1	1	2	3	2	2	1	2	1	1	1	1	1	2	2	1	1	2	2	2	1	2	2	2	1	5	1	2	2	1	1	2	1	2	2	1	2	1
4000	-549.943263599124407	-548.249567279317944	-1.693696319806469	0.000010943118021	0.000017289736923	1.579964402205090	0.597389337107311	-1	2	4	3	3	6	6	7	8	8	11	12	12	11	11	12	14	12	13	13	13	12	13	14	14	12	14	14	14	14	15	15	15	17	16	16	17	16	17	18	14	17	17	18	19	18	18	16	20	18	20	19	20	20	19	20	22	19	23	23	23	22	24	26	25	24	27	29	27	26	27	29	30	31	31	33	34	34	35	36	0	1	1	1	1	2	4	7	8	0	10	10	9	9	9	10	11	15	16	15	15	15	9	14	19	10	10	18	16	19	18	27	23	28	21	21	27	28	15	41	12	23	36	48	36	30	38	16	33	41	47	46	48	45	46	47	52	48	56	55	52	58	59	49	63	58	62	69	64	56	66	64	68	64	72	72	75	76	77	77	1	1	3	2	2	1	2	1	1	1	2	2	2	2	2	2	2	1	1	1	1	1	2	2	1	2	4	1	1	1	2	1	1	1	2	2	2	1	3	3	1	1	1	2	2	2	1	1	2	2	1	1	2	1	1	2	2	2	2	2	2	2	1	4	1	2	2	1	1	3	2	1	1	2	1	2	1	1	1	1
4500	-517.461742093728503	-515.553239865632463	-1.908502228096044	0.000012611523763	0.000026584871276	2.107982490869186	0.622527601115353	0	2	4	3	2	5	6	7	9	9	11	13	11	12	11	11	14	12	12	15	12	12	13	13	15	14	15	13	14	14	14	15	13	17	16	16	16	15	17	18	16	17	17	19	18	17	17	17	16	17	20	20	21	21	19	20	22	20	22	22	22	23	24	25	27	25	27	29	26	27	27	29	29	31	31	33	34	33	36	36	0	1	5	1	1	2	4	7	8	0	10	10	9	9	9	10	11	15	10	23	9	9	15	13	16	16	26	18	16	10	18	19	15	28	21	21	30	28	23	41	26	22	36	48	36	29	38	12	23	41	47	48	44	45	26	47	52	44	56	46	52	58	59	49	59	62	62	69	64	63	66	64	64	73	72	72	75	72	75	77	1	1	1	1	1	2	2	1	1	1	1	2	2	2	1	1	2	1	2	1	1	1	1	1	2	2	1	1	2	3	1	2	1	2	2	3	1	1	2	2	2	2	1	1	1	1	2	3	2	1	2	2	1	1	2	2	1	1	1	3	1	2	1	4	2	1	2	2	1	2	1	1	2	1	1	2	1	2	2	1
