step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100
1	-2650.892459722250351	-2657.747947673209637	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.517247799019675	0	2	2	1	2	2	1	2	5	3	2	3	2	3	3	4	3	6	5	5	5	5	5	5	6	6	6	9	7	10	8	8	8	9	9	8	9	10	11	10	10	10	9	11	11	10	13	11	10	11	10	12	12	12	12	11	11	12	13	14	13	13	14	15	15	14	17	15	16	16	17	17	18	18	20	18	22	22	21	23	22	25	26	26	24	25	25	26	26	26	25	26	28	27	26	27	29	28	28	30	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	1	2	1	2	2	2	2	3	3	3	3	3	3	3	3	3	3	5	4	5	4	4	4	5	5	4	5	5	6	5	5	5	5	6	6	5	7	6	5	6	5	6	6	6	6	6	6	6	7	7	7	7	7	8	8	7	9	8	8	8	9	9	9	9	10	9	11	11	11	12	11	13	13	13	12	13	13	13	13	13	13	13	14	14	13	14	15	14	14	15
500	-865.369937589948336	-872.225425540907736	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.320367875268112	0	1	1	2	2	3	2	3	4	2	3	4	2	4	3	4	4	7	5	6	6	5	4	5	6	5	6	10	7	10	7	8	8	8	7	9	9	9	10	9	10	9	9	10	11	8	12	11	10	10	10	12	13	11	12	11	11	13	13	14	13	14	15	16	15	14	16	12	16	16	16	16	18	19	21	15	23	23	22	24	23	26	26	26	23	25	26	26	26	27	26	27	29	28	26	27	30	29	29	31	0	1	1	2	1	1	3	1	4	1	2	4	1	4	4	4	11	8	10	8	16	14	15	8	16	0	9	12	4	21	24	26	26	19	19	31	19	12	12	6	33	19	4	29	33	26	10	35	36	15	34	57	37	20	40	29	29	19	44	45	47	47	52	46	54	38	49	18	36	0	76	46	43	68	67	68	76	70	43	71	71	0	43	72	76	73	68	74	0	43	76	0	69	68	47	31	76	86	68	47	1	1	1	1	1	3	1	1	1	1	1	2	2	1	1	1	1	2	2	2	2	1	1	1	1	1	1	4	1	1	2	2	1	2	1	1	3	3	3	4	1	3	5	2	2	1	6	4	1	4	1	1	3	3	2	3	2	5	2	1	1	1	2	7	2	4	2	3	4	1	1	4	4	5	2	2	7	4	8	7	4	1	7	8	4	3	9	3	1	7	8	1	10	12	9	7	10	3	15	11
1000	-780.959431033546139	-787.814918984505539	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.406916558608844	-1	1	3	1	2	2	2	2	5	3	3	4	1	3	4	5	4	5	5	5	6	6	5	6	7	6	7	9	4	8	9	8	8	9	8	8	8	8	11	10	9	9	10	10	12	10	13	12	11	11	11	13	12	11	13	10	12	12	13	14	13	12	15	14	15	14	16	12	14	16	16	16	18	17	21	18	21	19	21	23	22	25	25	27	24	25	25	27	26	27	25	26	27	28	25	27	29	29	29	30	0	1	13	1	1	13	13	4	5	2	2	4	1	13	13	13	2	8	10	13	16	14	15	29	18	0	9	20	4	20	29	26	26	35	10	18	10	4	5	24	32	19	36	24	33	26	34	19	36	15	37	36	37	38	18	24	36	51	40	45	48	35	57	46	28	38	36	6	49	0	68	46	69	68	63	71	76	71	43	68	77	0	67	64	74	75	76	91	0	67	81	0	36	68	68	79	74	86	68	74	1	1	2	1	2	1	1	1	2	1	1	1	2	1	1	2	2	2	1	2	1	2	1	1	1	1	1	2	2	2	2	1	1	1	2	2	3	3	3	2	1	2	2	2	2	2	2	3	2	4	2	3	2	2	3	2	2	1	1	1	1	2	1	2	4	3	5	5	1	1	3	2	2	3	3	1	2	2	5	4	1	1	4	9	4	2	4	1	1	7	2	1	9	10	7	3	7	3	15	10
1500	-714.772268948418969	-721.627756899378369	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.460524214063970	-1	1	1	1	2	1	2	2	5	3	2	3	2	3	3	4	4	6	5	5	5	5	5	5	6	6	6	9	5	10	8	8	8	7	9	8	8	10	9	9	9	10	9	11	12	9	12	11	10	11	10	13	12	13	13	12	11	12	13	13	13	13	13	15	15	14	17	12	17	16	17	17	16	19	21	19	22	21	20	24	22	25	26	26	25	25	26	26	27	26	25	26	28	27	26	27	30	27	29	29	0	1	1	1	6	1	3	4	5	2	2	8	1	13	13	8	11	8	10	12	5	14	15	16	16	0	5	20	13	5	24	26	26	10	34	24	19	20	24	24	32	34	36	40	33	32	34	35	43	23	37	49	37	20	39	31	36	51	44	33	48	48	43	46	30	54	36	30	57	0	70	64	49	68	79	71	76	74	69	81	76	0	79	64	76	79	70	85	0	67	74	0	67	76	30	86	78	79	68	56	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	2	1	1	2	1	1	1	1	1	2	2	2	4	2	2	1	3	1	2	2	3	2	2	1	1	1	1	2	1	2	1	1	2	2	2	2	4	2	3	2	1	2	2	1	1	2	4	3	1	4	2	3	1	1	1	4	3	1	1	2	1	1	1	1	1	2	6	3	3	6	1	1	5	3	1	7	6	8	1	5	4	14	7
2000	-730.570596736626044	-737.426084687585444	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.438205474293501	-1	1	1	0	1	1	2	2	6	3	2	3	2	3	3	4	4	6	5	6	5	5	5	5	6	5	6	10	7	10	8	8	8	9	8	9	7	11	11	10	11	7	7	10	11	10	12	11	11	11	9	12	12	12	13	9	11	11	13	13	13	13	15	15	15	11	16	13	16	16	18	18	19	18	20	18	22	23	21	24	22	25	26	26	25	25	25	26	27	26	26	27	28	27	26	27	30	29	28	29	0	1	1	1	1	1	3	4	24	2	2	1	5	2	1	12	11	5	10	4	16	14	15	5	21	0	13	20	8	20	24	26	26	19	10	43	19	18	8	24	32	20	24	24	33	26	35	35	43	23	37	36	51	39	20	24	36	51	40	33	39	48	52	46	12	20	49	39	57	0	70	64	67	68	67	68	70	76	69	78	76	0	79	64	81	67	76	81	0	69	78	0	83	77	39	83	81	69	68	68	1	1	1	1	2	1	1	1	1	1	1	3	1	1	1	1	2	3	1	3	1	1	2	2	1	1	2	2	2	2	2	2	2	2	2	2	1	3	5	2	2	1	1	3	2	2	2	1	2	2	1	1	1	1	2	2	2	1	2	2	2	2	2	3	4	4	2	1	2	1	1	1	1	3	3	2	4	2	2	1	2	1	2	5	2	4	3	2	1	4	2	1	1	3	8	1	4	8	12	8
2500	-674.839570052149384	-681.695058003108784	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.605653654700788	0	1	3	1	2	3	2	2	5	3	2	3	2	3	2	5	4	6	5	6	3	5	3	5	7	6	6	8	8	10	8	8	8	7	9	9	8	10	11	9	10	11	7	10	11	11	13	11	11	11	10	12	11	12	13	11	11	12	14	14	13	14	14	15	15	14	18	14	15	16	17	17	18	19	21	17	22	23	22	22	22	25	26	24	25	25	25	27	25	26	24	25	27	28	25	28	30	28	27	31	0	1	1	1	1	1	1	4	5	2	2	8	1	2	1	3	11	21	10	12	4	14	15	8	21	0	9	21	24	13	24	26	26	10	34	43	1	28	12	24	32	34	24	24	33	26	42	35	43	23	37	43	37	38	39	31	36	51	56	45	48	48	36	46	54	30	57	46	49	0	68	64	69	76	69	68	76	80	67	68	76	0	75	72	78	75	78	78	0	79	81	0	75	99	73	90	77	90	71	92	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	3	1	1	2	2	3	2	1	1	2	1	1	4	1	3	1	1	2	1	3	1	3	1	1	2	3	1	3	1	1	1	2	1	2	1	1	1	2	2	3	2	2	3	2	2	1	2	1	2	2	3	1	2	1	2	4	2	1	3	3	1	3	1	2	1	1	1	1	2	1	3	1	3	1	5	3
3000	-650.553981951792593	-657.409469902751994	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.563181728210677	0	1	1	1	2	3	2	2	6	3	2	3	3	4	3	3	4	6	6	5	6	5	5	5	6	6	5	9	7	10	8	8	9	7	9	9	8	10	11	11	11	11	8	11	11	10	13	12	10	10	10	13	12	12	13	12	10	12	13	13	13	13	14	15	15	14	17	14	14	17	17	17	17	19	20	18	22	22	22	23	21	25	26	27	24	26	25	27	26	25	26	27	28	28	27	27	28	28	27	30	0	1	1	1	1	5	3	4	4	2	2	8	1	2	1	4	11	8	2	3	12	14	15	4	16	0	13	12	24	18	18	26	26	19	34	43	19	12	30	31	32	34	29	31	33	32	34	35	36	23	37	57	19	28	39	31	36	51	40	45	48	48	57	41	30	38	43	38	36	0	68	64	63	76	69	71	76	76	67	78	76	0	75	72	77	75	85	87	0	67	77	0	79	78	18	90	87	86	91	92	1	1	1	1	1	1	1	1	3	1	1	1	1	2	2	1	1	2	2	2	2	1	1	2	2	1	1	2	2	1	1	1	1	1	1	1	1	3	1	2	2	2	1	2	1	1	2	2	1	3	1	2	2	1	1	2	1	1	1	1	1	1	2	2	3	1	5	2	3	1	2	2	1	1	2	1	2	2	3	1	2	1	3	4	1	2	1	2	1	4	2	1	3	4	11	1	2	1	1	2
3500	-674.118916160746608	-680.974404111706008	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.497697700822615	-1	1	2	1	0	3	2	2	6	3	2	3	2	4	3	4	4	7	6	6	6	6	6	5	5	7	6	9	7	11	7	8	9	9	10	7	9	11	10	10	10	10	6	8	12	9	14	11	11	11	10	11	12	13	11	10	11	12	12	14	13	13	15	15	16	14	17	15	17	13	17	17	19	19	21	18	22	23	22	24	22	25	27	25	25	25	23	26	27	26	26	26	28	26	26	27	29	28	28	30	0	5	5	1	1	1	1	4	14	2	2	8	2	2	5	5	11	24	10	12	25	2	15	8	16	0	24	4	20	17	24	26	26	10	34	43	19	18	20	24	32	34	8	8	33	26	34	35	36	15	19	44	51	38	2	29	43	51	40	45	48	48	52	46	66	38	63	70	43	0	68	64	63	76	49	71	76	74	67	76	76	0	79	72	87	79	81	87	0	79	87	0	79	77	69	86	81	83	91	92	1	1	1	1	1	2	1	1	1	1	1	1	1	2	2	1	2	1	2	2	1	2	2	2	1	1	1	4	1	3	2	1	1	3	1	1	1	2	2	2	1	1	2	4	2	1	2	1	2	2	2	2	1	1	4	1	2	1	1	2	2	1	2	3	1	2	2	2	8	1	2	1	3	1	5	1	2	2	2	2	1	1	2	4	1	3	1	1	1	3	2	1	3	2	7	1	2	1	2	2
4000	-623.585443814936525	-630.440931765895925	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.655977009386983	-1	1	1	1	2	3	2	2	5	4	2	3	3	4	4	4	4	6	5	5	6	6	5	5	6	7	6	9	7	9	9	9	9	10	9	8	9	10	11	10	8	9	9	11	11	11	13	11	11	11	11	12	12	13	13	11	11	13	13	14	13	13	15	16	15	14	17	16	16	15	17	18	19	19	19	19	22	22	22	23	22	26	25	24	24	26	26	26	26	26	25	26	28	26	26	28	29	29	28	31	0	1	1	1	1	5	3	4	13	13	2	4	1	2	12	4	11	4	10	12	8	14	12	16	16	0	9	25	24	21	29	41	26	10	10	29	19	12	20	29	26	10	36	40	33	26	37	35	36	23	37	36	51	30	30	31	43	51	29	33	48	48	52	46	28	28	69	70	57	0	68	64	67	71	63	71	71	71	75	74	76	0	79	64	77	79	85	85	0	79	81	0	86	77	34	86	87	83	85	92	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	2	1	1	2	1	1	1	2	1	1	2	1	1	2	1	1	3	2	1	2	3	2	1	1	2	1	1	1	2	2	1	2	3	1	1	1	3	3	1	1	1	3	2	1	1	2	3	2	2	1	1	2	1	1	1	1	1	2	2	2	3	2	1	2	1	2	3	1	2	2	1	1	2	2	1	2	2	6	2	2	2	2	3
4500	-653.444100625181022	-660.299588576140422	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.558660165444905	-1	0	3	1	1	3	1	3	3	4	3	3	2	4	3	3	4	7	5	5	5	5	5	4	7	6	7	10	5	11	8	9	8	7	10	8	8	10	12	10	8	10	10	11	11	10	12	9	11	10	10	11	13	11	12	11	12	12	13	14	13	13	14	15	15	14	17	16	16	15	16	18	18	19	20	18	22	23	21	24	21	26	26	27	23	25	26	26	27	25	24	27	28	28	25	28	28	29	28	29	0	1	5	2	1	1	1	1	5	2	2	4	5	2	4	4	11	8	10	1	16	14	15	4	4	0	9	12	8	18	29	41	26	10	34	29	34	18	18	29	26	34	36	20	33	33	34	10	36	23	37	43	37	20	4	24	43	51	49	45	48	48	52	46	55	54	57	70	49	0	70	64	67	71	57	71	74	74	69	76	76	0	90	72	81	79	85	78	0	75	77	0	83	87	55	90	85	83	77	92	1	1	1	1	1	3	1	3	1	2	1	1	1	2	1	1	1	2	1	3	1	1	2	1	3	1	3	4	1	2	2	1	2	2	1	3	1	1	2	2	1	1	2	4	2	1	2	3	2	3	1	1	2	2	5	3	2	1	1	1	3	2	2	2	2	1	2	1	3	1	1	2	1	2	3	1	2	2	2	2	1	1	1	4	1	2	2	2	1	2	2	1	1	2	6	2	3	2	3	2
