step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88
1	-898.283897551652672	-896.821815467133774	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.498437797426675	-1	2	6	7	7	9	9	11	9	10	12	13	13	12	13	14	13	15	15	14	15	17	15	16	15	16	16	16	20	18	19	19	19	17	20	19	20	19	18	19	19	21	19	20	20	20	20	21	21	22	20	23	21	20	22	23	22	23	23	22	23	24	24	25	26	25	27	27	26	27	29	29	29	32	30	30	31	32	32	31	31	33	35	34	36	37	36	39	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	4	4	4	5	5	6	5	6	7	7	7	7	7	8	7	8	8	8	8	9	8	9	8	9	9	9	11	10	10	10	10	9	11	10	11	10	10	10	10	11	10	11	11	11	11	11	11	12	11	12	11	11	12	12	12	12	12	12	12	13	13	13	14	13	14	14	14	14	15	15	15	17	16	16	16	17	17	16	16	17	18	18	19	19	19	20
500	-547.252519027321796	-542.560877581464410	-4.691641445857345	0.000010006555035	0.000143596080187	14.350201411598464	0.185712947023978	-2	3	6	7	5	10	10	10	9	10	12	14	13	11	13	14	13	15	14	14	16	17	16	15	16	16	16	16	19	18	20	19	19	18	20	18	20	19	18	17	17	22	20	20	20	21	20	21	21	22	19	23	21	20	22	23	22	23	24	20	23	25	25	25	27	25	28	26	24	26	30	30	29	31	30	30	31	33	32	31	31	31	35	34	36	35	36	39	0	1	1	5	2	2	5	3	2	9	6	6	8	8	6	8	4	14	4	11	15	27	8	17	6	17	2	18	8	3	28	25	26	28	18	4	28	40	8	25	4	17	18	2	1	2	24	13	39	3	19	13	39	28	17	1	17	14	38	16	6	16	5	48	23	11	10	15	12	35	62	32	39	4	1	27	63	1	4	61	9	10	22	9	37	2	1	10	1	2	4	1	1	5	2	1	3	1	1	2	1	1	2	2	2	4	4	1	1	1	3	1	2	1	5	1	6	5	2	2	2	1	3	4	2	1	5	1	6	6	3	8	12	9	2	4	2	8	3	7	2	2	6	14	4	5	3	3	6	7	12	2	5	8	8	6	5	4	3	5	4	12	15	7	3	18	13	5	13	11	13	15	9	17	20	14
1000	-474.131313381729910	-469.950908133033636	-4.180405248696275	0.000009990104415	0.000110769990629	11.087971259165530	0.241420675080915	-1	3	6	7	7	10	9	11	9	10	11	14	12	12	13	14	13	14	15	13	16	17	15	17	15	16	15	16	20	17	18	19	17	16	20	19	20	20	19	18	20	22	18	19	19	19	20	21	21	22	20	23	22	20	22	24	22	22	23	22	22	24	24	25	26	25	27	27	24	28	29	27	27	32	29	31	31	33	32	32	31	33	36	35	36	36	35	38	0	1	2	2	2	9	5	2	5	7	6	13	8	4	8	9	5	8	20	7	13	12	6	5	16	12	6	17	23	20	33	17	4	4	1	13	43	40	19	10	15	19	26	31	33	7	24	23	39	20	19	29	31	30	14	1	33	33	58	9	40	47	12	7	48	61	48	49	61	56	45	34	60	56	68	42	37	1	19	57	45	20	5	39	79	4	1	49	1	2	2	2	2	1	1	4	1	1	1	1	1	3	1	3	4	2	1	2	3	2	3	5	1	1	3	2	1	1	1	2	5	5	10	3	1	1	2	5	3	2	1	1	1	5	2	2	1	5	3	2	2	3	5	14	2	3	1	7	2	2	4	7	3	1	3	2	1	2	5	7	3	4	1	3	5	21	9	5	5	9	13	9	2	15	21	7
1500	-473.559034369375013	-469.841081548570116	-3.717952820804876	0.000010016780954	0.000086125005097	8.598072124253383	0.211643568282287	-3	2	5	7	7	8	10	12	9	11	12	13	13	13	13	14	14	16	15	14	15	17	16	16	15	16	16	17	20	18	19	20	18	17	20	18	21	19	17	18	17	22	19	21	21	19	21	21	22	23	21	23	21	21	21	22	21	23	23	23	21	23	25	25	25	26	26	27	26	25	29	29	29	32	30	31	32	32	32	32	31	34	36	34	35	38	37	38	0	1	2	2	2	4	1	7	5	3	3	4	11	6	3	1	4	11	12	4	15	19	9	11	8	3	16	25	8	8	21	40	15	14	3	27	41	15	9	18	2	18	17	43	8	7	1	32	19	3	10	23	20	27	18	1	31	17	45	51	29	7	59	33	61	53	50	20	20	14	59	21	18	35	42	50	66	2	15	64	19	47	12	7	55	21	1	46	1	3	1	2	4	1	5	1	1	4	3	4	1	2	4	7	4	2	1	3	1	1	5	2	2	4	1	1	4	4	3	1	2	2	8	2	2	3	4	1	7	3	1	1	3	4	13	1	4	10	6	4	3	3	2	14	1	5	1	1	1	6	1	5	2	3	2	5	6	6	4	7	4	5	3	3	3	19	8	4	7	7	10	13	6	13	21	10
2000	-453.463097105337965	-450.016839762431232	-3.446257342906754	0.000010099752707	0.000073909655101	7.317966810196281	0.258048600158658	-1	2	6	8	7	9	10	11	8	11	12	13	13	12	14	13	13	14	16	14	15	17	16	16	14	17	16	16	19	18	18	19	17	16	20	20	19	18	19	20	20	21	19	19	21	19	19	22	21	23	20	21	21	20	22	23	21	23	23	23	23	24	24	26	27	26	28	28	26	28	29	30	30	32	30	30	30	33	32	31	29	33	33	35	36	36	37	40	0	1	1	3	1	5	5	2	5	9	7	7	7	7	17	10	5	13	12	5	6	3	10	20	14	9	9	8	27	27	34	30	20	15	29	18	34	8	8	22	4	38	12	23	7	10	6	35	39	2	20	13	22	24	17	1	23	39	44	3	32	61	2	49	25	19	66	27	10	55	51	32	56	64	70	38	65	2	56	65	63	23	10	81	75	60	1	77	1	1	3	1	4	1	1	4	1	1	1	1	1	2	1	1	3	1	2	3	3	5	3	1	1	2	4	3	2	1	1	1	1	1	1	3	2	4	4	2	6	3	4	1	5	5	6	1	2	12	3	3	2	2	6	11	3	3	1	9	1	1	10	2	7	6	1	5	7	3	4	6	4	3	2	5	2	16	5	1	2	9	12	5	3	5	20	4
2500	-691.549784367935104	-687.534467199769210	-4.015317168165853	0.000010239986554	0.000103954222096	10.151792831917136	0.311928398950062	-1	1	6	8	8	10	10	11	9	10	13	14	13	12	13	14	13	16	14	15	15	18	15	16	15	14	16	17	18	19	19	19	20	18	20	16	20	20	17	19	19	20	19	20	18	20	21	20	22	23	18	24	21	20	22	23	21	24	24	20	23	24	24	25	25	25	28	27	25	28	29	29	28	33	31	29	30	29	32	32	31	30	35	34	35	37	36	39	0	1	2	2	3	3	2	7	5	5	10	10	8	8	8	10	10	17	3	3	14	15	13	7	12	8	8	10	3	11	19	25	25	9	18	12	28	41	24	39	10	7	27	31	11	17	13	22	54	35	8	60	41	23	3	37	8	8	53	45	51	7	37	7	37	17	60	40	7	44	42	11	14	77	14	66	78	2	5	67	71	34	81	54	84	31	2	87	1	1	2	5	1	2	3	1	1	1	2	2	1	1	1	3	1	2	4	4	1	2	1	3	1	2	2	4	7	3	3	2	4	4	2	1	1	1	1	1	5	5	2	1	2	4	2	2	2	2	4	2	1	3	8	1	4	6	1	1	3	6	2	7	2	6	3	4	3	4	4	7	4	2	10	2	1	16	13	2	1	3	2	5	1	9	19	1
3000	-690.052199806437443	-687.537082312266989	-2.515117494170410	0.000010228686815	0.000038936959937	3.806643085551693	0.350600883164331	-1	1	6	7	6	9	10	11	9	10	12	14	13	13	12	14	13	15	15	14	16	18	16	16	14	15	15	16	20	18	19	18	19	18	20	18	20	17	18	19	20	22	19	20	20	20	19	21	21	23	20	22	21	20	21	23	20	23	22	22	23	23	24	25	26	25	26	28	25	27	28	29	28	33	28	30	31	32	31	31	31	33	36	35	37	37	36	40	0	1	2	5	2	3	6	4	5	1	7	7	8	6	4	17	4	16	10	8	16	14	6	10	11	5	14	15	17	9	10	23	19	38	26	27	31	7	24	16	27	40	6	30	10	22	36	25	28	22	19	28	36	32	22	48	22	49	45	18	49	32	48	27	63	47	6	70	8	60	69	66	52	42	67	44	64	18	2	52	72	81	17	14	36	17	1	79	1	1	2	1	2	1	1	2	1	6	1	2	1	3	3	1	3	1	3	1	1	2	3	3	2	5	1	3	4	2	4	1	2	1	4	3	1	3	1	2	4	1	4	1	4	1	1	3	2	3	3	3	2	1	1	1	2	2	1	3	1	3	2	4	1	4	7	1	3	2	1	2	3	4	1	4	2	8	7	4	1	1	12	11	11	11	20	5
3500	-694.047714876762825	-690.952528601669087	-3.095186275093713	0.000010197820310	0.000059604591070	5.844836372602621	0.303384605066735	-1	2	5	7	7	7	8	9	9	11	12	12	13	12	13	15	14	14	16	12	15	18	15	16	14	13	15	16	21	18	19	19	20	17	20	19	20	20	18	19	19	21	19	19	19	19	19	21	22	22	21	23	20	20	21	23	21	22	22	22	23	24	23	26	25	25	27	28	25	27	29	29	29	31	30	31	30	33	32	31	31	33	35	34	36	37	36	39	0	1	1	3	3	2	6	5	2	8	8	7	20	4	2	2	15	12	4	6	12	13	17	23	9	2	11	20	14	15	3	13	13	25	21	22	22	30	10	21	21	32	24	34	18	20	27	44	29	23	17	51	30	23	54	13	21	27	14	57	40	48	30	57	42	21	69	35	20	62	61	50	60	22	40	49	68	71	40	72	72	44	23	44	63	8	1	79	1	2	2	1	1	3	1	1	3	1	1	2	1	2	6	6	1	1	5	3	1	3	1	1	3	5	1	2	4	3	7	3	3	2	4	1	1	1	4	3	2	1	1	1	3	2	2	1	1	2	4	2	1	3	1	5	3	3	5	1	3	2	3	3	2	6	2	4	6	2	3	3	5	6	4	5	1	2	10	1	1	7	10	11	6	15	20	4
4000	-627.444516666700792	-624.340614528350898	-3.103902138349894	0.000010449363614	0.000061432688966	5.879084242201990	0.342586309825410	0	3	6	8	7	9	9	12	9	11	12	14	14	11	13	15	14	15	14	14	16	17	14	15	16	16	16	17	19	17	18	19	20	17	20	20	20	18	19	18	19	20	19	21	18	19	21	22	21	22	21	23	22	20	22	23	22	23	23	22	23	24	23	26	26	25	27	27	25	26	29	29	28	31	30	30	32	32	32	29	30	31	33	33	36	37	36	39	0	1	2	3	2	4	5	14	5	3	4	8	7	4	14	3	10	9	4	8	17	21	14	10	24	7	13	7	17	4	34	28	43	27	19	16	18	26	13	30	22	10	25	37	12	20	27	36	12	9	14	45	49	46	49	44	26	33	13	22	43	33	55	4	57	32	57	37	47	57	59	60	19	80	56	70	63	72	2	61	66	64	4	20	65	25	67	78	1	2	2	1	2	1	1	1	1	2	2	1	3	1	1	4	2	3	4	2	1	1	1	2	1	2	1	3	2	5	1	1	1	1	4	2	2	1	3	1	1	4	2	1	2	2	3	1	3	3	6	4	1	1	1	1	3	2	5	4	2	1	1	9	2	2	2	3	3	2	3	3	8	1	2	2	4	1	9	3	2	4	6	10	6	8	4	3
4500	-495.267786381623580	-490.582363398983944	-4.685422982639638	0.000011492934955	0.000164429749557	14.307028640386418	0.430041422571745	-1	2	7	8	6	9	10	10	9	9	11	13	14	13	13	15	14	15	15	14	15	17	14	15	16	15	16	17	20	18	20	19	20	18	20	20	21	16	19	19	18	20	19	21	19	21	21	21	22	22	20	23	22	20	22	23	22	23	23	22	23	25	25	24	24	25	28	26	26	27	28	29	30	32	30	29	29	31	33	31	31	32	33	35	35	35	36	37	0	1	2	2	1	3	4	9	4	2	8	11	4	11	11	23	14	15	14	2	23	24	7	15	17	12	16	4	15	17	27	6	16	6	14	22	36	20	34	20	8	25	30	30	25	43	29	32	37	38	23	36	26	45	20	43	23	18	48	48	28	36	51	33	43	44	69	53	40	52	70	40	15	62	17	69	29	72	12	71	32	4	12	3	79	39	71	76	1	2	2	3	3	1	1	1	1	3	1	1	2	1	1	1	1	1	1	5	1	1	2	1	1	1	1	6	4	2	2	3	3	5	4	1	1	1	1	2	2	2	1	2	2	2	1	1	1	4	2	1	3	1	3	3	4	4	1	1	2	3	3	2	3	3	1	2	3	1	1	5	7	4	8	1	5	1	8	2	5	8	6	15	1	5	5	4
