step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22
1	-276.376755492572272	-283.232243443531672	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.255226108610173	4	8	11	9	11	13	14	14	15	16	18	17	17	19	20	21	21	21	24	22	23	31	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	4	3	4	5	5	5	6	6	7	7	7	8	8	9	9	9	10	9	10	14
500	-177.268261401530083	-184.123749352489455	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.251345407276794	5	8	11	9	11	14	14	14	14	16	19	16	17	18	20	22	21	21	23	22	24	31	0	1	1	2	4	3	3	2	2	5	3	5	5	3	5	1	13	15	5	3	16	20	1	2	3	1	2	2	2	2	3	2	4	2	2	3	5	9	2	1	5	6	2	6
1000	-162.232676966009990	-169.088164916969362	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.379577365209850	5	8	12	9	12	13	14	13	14	16	18	16	18	20	20	22	21	22	25	23	23	31	0	1	1	1	1	5	5	2	2	3	8	3	3	8	13	8	15	15	20	3	11	14	1	2	4	2	3	1	1	3	2	3	2	3	5	3	2	4	1	1	1	4	3	6
1500	-154.198532861277585	-161.054020812236956	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.587391749447034	5	8	10	9	11	13	12	14	16	14	18	17	17	19	20	21	21	21	25	21	23	31	0	1	1	2	2	3	3	3	2	3	8	10	3	11	13	14	13	15	5	14	14	8	1	1	2	1	2	2	1	2	3	1	2	2	4	1	1	1	2	1	6	1	2	7
2000	-156.983640770248854	-163.839128721208226	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.444660267014252	5	8	12	9	10	14	14	14	16	15	19	16	16	19	20	22	22	22	25	21	23	30	0	1	5	2	2	3	5	5	7	3	8	10	3	8	13	14	13	15	14	14	14	11	1	2	2	1	1	1	2	2	2	2	2	1	2	2	2	2	4	2	3	1	2	6
2500	-171.715960694678216	-178.571448645637588	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.500028400491512	5	8	10	10	10	14	14	14	14	17	17	15	17	19	20	22	21	22	24	23	24	31	0	1	2	2	2	2	3	4	3	2	3	2	7	8	11	11	13	15	16	16	16	11	1	1	1	1	1	2	2	1	2	4	3	2	1	3	1	2	2	1	1	1	1	7
3000	-159.440526039661108	-166.296013990620480	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.408283425279341	5	9	12	9	11	13	13	15	15	14	17	16	17	20	19	21	22	21	25	22	23	32	0	1	5	1	2	2	2	1	7	5	3	10	8	2	8	2	13	15	16	11	14	14	1	3	1	2	1	2	2	4	1	1	3	1	1	4	1	4	3	1	2	2	1	5
3500	-166.714629629437582	-173.570117580396953	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.498688139957614	4	8	11	10	11	13	12	14	15	17	18	16	17	18	20	19	22	21	24	22	22	29	0	1	4	2	4	2	5	7	6	12	3	2	2	8	12	8	13	15	11	11	14	11	1	2	1	1	1	3	1	1	2	1	4	4	2	2	1	3	2	1	3	3	2	6
4000	-148.038217893331023	-154.893705844290395	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.475971530135893	4	8	11	10	10	14	15	14	15	17	19	16	17	18	20	21	22	21	25	23	23	31	0	1	5	2	2	5	3	2	8	12	2	8	8	7	13	8	13	15	11	16	16	16	1	2	1	1	1	3	3	3	1	1	4	1	2	2	1	3	2	1	2	1	1	5
4500	-151.878314078860427	-158.733802029819799	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.514024536526552	3	8	10	9	10	12	14	14	15	16	19	18	18	20	20	21	21	21	25	21	22	32	0	1	1	2	2	2	3	3	7	3	8	2	3	8	13	14	13	15	14	11	11	14	1	4	4	1	1	2	2	2	1	2	3	4	4	3	1	1	2	1	2	1	1	6
5000	-149.331667077289666	-156.187155028249038	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.556577222196266	4	7	12	9	11	14	14	14	15	16	18	17	18	18	20	20	21	21	24	22	24	31	0	1	2	2	4	5	5	3	2	3	8	3	3	8	13	11	13	15	3	14	16	3	1	1	3	1	1	1	2	1	4	2	2	2	2	2	1	1	2	1	5	3	2	7
5500	-164.514118452877398	-171.369606403836769	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.467991402038414	5	8	11	9	11	13	14	14	15	16	18	17	16	19	18	21	21	21	23	22	24	30	0	1	2	1	1	2	6	3	6	3	3	10	3	8	8	14	13	15	11	14	11	11	1	3	1	2	2	2	1	2	1	2	3	1	2	2	2	1	3	1	2	1	3	7
6000	-151.894729686073475	-158.750217637032847	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.321758451394911	5	8	12	9	11	13	15	14	15	15	18	17	17	16	20	21	22	21	23	22	20	30	0	1	1	2	4	2	3	3	6	3	14	10	3	8	3	8	3	15	3	11	8	16	1	2	3	1	1	3	2	1	1	1	1	1	3	1	3	4	5	1	6	2	4	3
6500	-169.103833157148699	-175.959321108108071	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.434756107960896	4	6	11	10	10	14	12	13	15	15	16	17	17	19	19	21	21	21	23	22	24	31	0	1	1	2	2	4	5	5	7	2	8	11	3	11	10	14	10	15	11	11	3	21	1	1	3	2	2	2	1	1	2	5	2	1	3	2	2	2	2	1	3	4	6	3
7000	-165.511908210827954	-172.367396161787326	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.456127233054145	4	9	10	10	11	13	15	15	13	16	19	18	17	18	19	21	21	21	24	22	23	32	0	1	1	2	2	3	5	6	5	3	7	10	2	2	14	8	13	13	14	14	16	16	1	2	2	1	1	1	1	1	1	3	2	2	5	5	1	3	2	2	3	3	2	5
7500	-159.449847134817986	-166.305335085777358	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.500540138977062	5	6	11	8	11	14	15	15	15	15	17	17	17	18	20	22	19	21	24	22	23	31	0	1	4	2	2	5	3	2	5	2	8	10	10	11	8	14	13	15	8	14	16	16	1	1	1	1	1	1	2	4	2	5	1	1	1	1	2	2	1	1	2	2	1	5
8000	-167.597888065844614	-174.453376016803986	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.348147668548148	5	9	11	9	10	13	14	14	16	17	17	16	16	20	20	21	20	22	24	22	22	31	0	1	4	1	4	5	5	2	8	12	7	7	2	3	11	8	13	15	2	16	11	16	1	2	1	2	1	2	2	3	1	1	1	1	3	5	1	3	2	1	8	1	2	5
8500	-160.150567226900193	-167.006055177859565	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.406318224369566	4	9	10	9	12	13	14	14	14	16	17	17	18	18	20	21	21	21	24	22	21	31	0	1	2	1	2	2	5	3	3	2	7	10	2	11	13	14	13	15	8	16	11	8	1	2	1	2	1	2	1	2	2	2	1	1	3	1	1	1	1	1	6	1	2	8
9000	-167.672394352155862	-174.527882303115234	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.425677091546811	5	7	11	9	11	14	14	14	14	16	17	17	16	18	20	21	21	21	23	23	22	29	0	1	2	2	4	4	2	5	3	7	9	10	7	8	7	14	13	15	4	16	7	21	1	1	2	1	1	3	3	1	2	1	2	1	1	2	4	1	2	1	6	1	3	3
