step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89
1	-814.130849064885410	-823.181692445336807	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.852731865794593	1	6	5	6	7	6	8	6	11	8	10	10	10	8	9	8	15	9	10	16	10	9	9	12	11	12	12	13	18	10	12	11	13	14	11	13	12	12	13	13	11	13	19	12	15	13	15	13	13	12	12	15	13	17	14	15	15	14	14	13	14	16	15	14	15	20	14	15	14	15	19	17	16	20	17	18	18	16	16	17	27	19	19	19	20	19	22	20	21	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
500	-267.373904033462054	-276.424747413913394	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.994493086353237	2	5	5	6	4	7	9	6	11	9	10	9	11	8	9	7	15	9	11	15	10	7	9	12	10	13	13	13	14	10	12	11	13	10	11	13	12	13	7	8	11	13	18	13	15	14	15	11	7	13	11	16	12	17	15	15	15	13	12	13	14	14	16	15	14	21	12	12	14	15	17	14	16	20	18	14	12	16	16	15	25	20	18	20	19	19	21	18	20	0	5	1	2	1	3	49	2	18	40	49	40	12	39	8	8	60	16	49	29	23	4	39	32	49	32	9	40	26	23	13	8	67	14	14	13	32	19	8	8	11	34	79	35	76	36	36	34	4	10	21	45	9	47	27	26	38	32	48	31	36	13	57	36	19	86	9	11	21	11	56	13	33	75	71	42	25	55	46	61	74	88	73	83	78	71	86	80	24	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1000	-265.177888004191800	-274.228731384643140	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.994965262762033	2	5	5	4	7	6	8	6	10	9	9	7	10	9	10	8	16	10	7	16	11	9	10	12	10	12	13	14	16	9	9	11	13	14	9	12	13	13	14	13	12	14	19	12	15	13	16	14	12	13	13	15	14	13	15	11	11	11	13	13	14	17	16	8	15	18	15	11	14	15	20	17	15	20	17	17	19	16	17	17	24	18	18	18	18	15	21	20	20	0	4	1	1	3	4	19	4	22	5	19	3	7	7	64	5	55	35	3	48	5	12	16	18	64	23	56	64	42	5	12	23	44	68	12	9	68	36	60	57	18	54	47	9	40	18	42	41	30	30	41	61	44	44	60	10	5	10	58	23	27	17	53	19	9	62	40	35	37	25	48	55	27	62	45	29	63	42	17	29	88	27	55	29	65	61	82	40	86	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1500	-265.666976837687912	-274.717820218139252	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.984095610722892	1	6	5	6	7	7	9	6	12	8	11	9	11	9	7	8	15	10	10	17	10	10	10	12	11	10	13	14	15	11	13	12	14	14	12	13	12	11	13	14	12	13	19	12	16	12	16	14	14	12	11	16	13	16	12	16	14	12	15	13	13	15	15	14	15	19	14	15	10	13	18	14	16	20	17	15	18	15	16	17	21	19	16	20	15	18	21	18	18	0	3	1	3	8	3	10	3	25	3	19	15	26	6	2	6	11	7	2	34	15	16	14	12	22	15	51	41	44	12	58	38	16	55	51	13	38	19	55	46	38	22	89	5	60	22	55	24	37	30	2	33	51	17	19	62	13	19	35	18	13	60	19	70	36	62	44	48	6	9	65	58	85	89	78	48	41	46	57	59	42	88	65	71	28	17	86	85	62	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-272.796660759214774	-281.847504139666114	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.977768928795880	2	6	4	6	6	5	8	7	12	9	10	10	10	9	9	9	15	8	9	13	10	8	10	13	11	13	12	12	14	7	11	9	13	14	11	12	12	12	14	11	12	13	19	12	14	13	16	13	8	12	10	16	11	14	14	15	11	14	15	13	14	17	15	10	15	17	14	15	13	12	20	17	15	18	15	16	18	16	13	17	15	18	17	20	20	18	21	20	19	0	3	1	3	3	3	5	5	35	18	7	14	7	2	18	18	37	4	5	40	30	8	16	25	14	51	11	13	38	2	11	49	11	20	23	51	25	32	31	22	25	50	36	31	48	31	27	37	6	64	2	45	4	27	14	42	32	35	33	53	53	61	37	16	36	63	53	34	28	21	74	29	20	75	48	65	63	58	28	60	69	76	59	83	89	47	84	83	79	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-269.602725265016545	-278.653568645467885	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.999057786212034	2	7	5	7	8	5	9	6	11	8	10	10	11	8	8	7	14	8	10	16	10	9	9	12	12	11	12	8	17	9	11	11	12	11	8	11	11	13	13	14	10	12	15	12	15	12	14	14	13	13	12	15	12	18	14	15	15	14	10	10	13	15	14	14	15	21	10	16	15	16	19	18	16	18	17	18	17	10	17	18	27	20	18	12	20	17	19	19	21	0	3	1	3	8	1	5	1	11	2	28	28	12	2	2	3	46	8	22	56	5	16	4	67	31	59	37	6	56	4	78	15	31	67	8	41	59	22	36	31	30	59	37	22	49	60	46	49	26	31	30	33	34	43	46	58	39	32	30	6	53	27	38	33	38	76	18	48	39	22	75	79	69	79	11	20	47	15	25	63	85	80	45	13	87	61	70	56	85	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-276.845586068426655	-285.896429448877996	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.992930828049151	2	6	6	7	7	4	9	6	11	8	9	10	9	8	9	9	15	10	11	16	9	9	10	13	12	11	12	13	17	11	13	8	13	14	10	13	7	12	9	14	11	14	18	10	14	14	13	13	12	13	9	12	14	16	15	15	15	13	15	14	13	16	16	14	12	19	14	13	13	14	18	16	16	19	18	17	14	16	16	12	19	13	20	18	18	17	18	20	21	0	6	1	6	3	1	2	6	14	37	32	51	14	37	37	4	47	7	44	56	37	5	22	12	37	15	18	35	17	44	52	4	26	47	7	38	3	35	4	61	18	49	48	7	47	12	9	25	15	23	8	7	38	64	33	69	67	8	33	65	35	57	42	7	11	78	61	65	80	65	73	46	56	62	59	80	82	56	47	41	86	12	75	53	77	47	53	71	71	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-267.065931732207559	-276.116775112658900	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.993532312547962	2	7	4	7	8	5	8	6	11	7	11	10	10	8	9	9	16	8	9	10	11	9	10	10	10	11	12	14	17	10	11	10	13	13	11	13	12	9	13	8	10	12	19	8	14	13	15	11	14	13	13	12	12	12	14	15	12	14	15	13	14	16	15	12	16	19	15	14	15	16	14	17	17	20	18	17	13	13	14	16	26	19	15	20	19	18	22	21	20	0	8	1	8	8	1	8	3	25	6	12	15	19	8	40	5	69	8	4	7	13	18	15	4	14	30	20	51	69	5	41	44	9	57	16	23	44	14	22	8	38	31	86	8	24	11	71	19	37	10	41	24	22	30	46	49	32	52	50	54	42	67	77	7	55	17	79	78	78	58	53	55	70	75	76	59	48	37	14	35	66	72	53	43	72	58	89	74	85	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-263.654149078969397	-272.704992459420737	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.997683584240554	1	6	3	6	6	4	8	6	12	9	8	11	10	9	9	7	16	9	10	16	10	10	10	13	11	12	13	14	18	10	11	11	13	15	11	13	11	13	13	13	11	7	19	10	15	13	15	13	9	9	12	16	12	16	14	15	15	15	15	12	14	15	15	14	15	20	14	14	14	16	20	16	15	21	16	18	17	15	15	17	25	17	18	20	21	10	20	16	16	0	3	1	6	6	3	5	6	86	8	4	10	15	6	42	8	78	16	11	34	16	10	18	22	50	22	44	27	68	10	11	11	25	36	18	86	50	23	12	51	49	1	80	50	67	35	9	53	16	5	30	69	21	33	7	26	24	12	11	22	53	24	33	22	36	59	36	9	53	27	89	69	61	84	27	88	75	33	67	57	74	63	34	65	80	7	77	33	45	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-267.029356244934718	-276.080199625386058	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.992204702615745	2	6	4	6	7	6	8	7	11	9	10	10	11	8	7	9	13	9	11	15	10	8	8	13	10	10	12	12	18	8	10	10	14	14	11	13	8	12	13	11	11	10	17	13	15	13	13	13	12	13	13	13	10	18	14	15	15	14	12	11	14	15	14	13	16	19	14	16	14	16	15	16	17	21	14	18	18	15	16	16	26	19	15	17	21	19	21	19	20	0	3	1	3	2	3	6	2	26	23	10	22	22	15	2	4	28	7	32	59	2	3	2	21	4	30	16	41	46	4	30	18	17	25	25	13	6	31	37	25	16	15	48	42	24	49	26	11	12	38	18	12	14	80	52	63	17	39	9	11	21	55	17	38	20	76	47	13	24	34	36	57	67	76	41	47	84	47	9	57	87	77	40	71	66	84	89	84	43	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
