step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87
1	-1915.377771760035330	-1922.233259710994616	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.084609835851603	-1	3	1	3	2	5	3	3	5	7	9	7	8	9	9	7	8	11	10	11	12	9	12	12	11	11	12	12	12	11	12	14	13	13	15	13	13	13	15	14	14	14	14	13	13	15	15	16	16	17	18	17	18	17	17	18	18	17	18	19	20	20	20	19	19	21	22	20	20	20	21	23	21	21	21	22	23	23	22	22	24	25	24	23	23	27	27	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	3	2	2	3	4	5	4	5	5	5	4	5	6	6	6	7	5	7	7	6	6	7	7	7	6	7	8	7	7	8	7	7	7	8	8	8	8	8	7	7	8	8	9	9	9	10	9	10	9	9	10	10	9	10	10	11	11	11	10	10	11	12	11	11	11	11	12	11	11	11	12	12	12	12	12	13	13	13	12	12	14	14
500	-759.896905177751933	-766.752393128711333	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.171331374457227	-1	2	0	3	3	5	3	4	6	8	8	7	8	6	10	7	8	12	9	11	12	6	13	13	10	11	10	12	12	11	12	14	14	10	15	12	10	14	15	14	14	14	13	10	13	16	14	16	13	16	19	18	18	18	16	18	17	17	17	20	20	20	20	20	18	21	20	19	20	20	21	24	22	22	21	22	24	23	23	23	25	24	24	21	23	27	27	0	1	1	1	1	1	1	1	7	9	3	6	7	4	10	4	6	10	7	25	27	8	26	36	19	22	22	15	25	16	27	19	21	12	34	44	11	22	0	22	22	6	44	17	26	35	43	22	36	28	17	49	36	55	47	42	49	36	49	21	53	58	35	53	49	44	17	43	53	52	65	74	28	36	6	11	44	52	49	65	49	65	27	51	19	53	10	1	1	1	2	2	3	2	4	2	1	4	2	3	1	1	1	2	2	3	1	1	1	2	1	1	2	2	1	1	3	1	2	1	2	2	2	1	4	1	4	4	4	2	1	1	1	1	5	1	3	8	3	3	1	1	2	2	4	2	5	1	1	2	1	4	8	8	4	1	1	2	1	5	8	9	11	9	4	6	4	8	2	11	1	5	5	12
1000	-607.715941801537724	-614.571429752497124	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.436812173635717	-1	3	2	2	2	6	4	4	6	7	10	6	8	10	8	8	9	10	11	10	11	9	13	12	11	10	12	12	13	12	13	15	14	12	15	13	13	13	14	14	15	13	14	11	13	16	15	16	16	16	19	17	18	17	17	18	17	18	15	19	19	21	21	19	20	21	22	21	20	19	20	20	21	21	22	23	20	22	23	21	23	24	25	24	21	27	27	0	1	1	1	1	2	4	5	7	4	10	2	9	16	10	5	6	15	4	15	22	12	21	6	20	22	17	4	20	10	26	15	21	12	23	44	21	26	0	26	42	34	44	17	12	30	36	31	24	24	24	49	52	40	17	59	27	49	16	42	33	56	19	57	57	17	47	51	70	49	59	52	56	60	60	59	55	1	69	70	80	81	79	85	59	74	83	1	3	2	2	2	2	1	1	1	3	2	2	1	1	1	3	2	1	4	1	1	3	1	4	1	1	1	4	2	2	1	3	2	3	1	1	1	2	1	2	2	1	1	1	4	2	2	2	3	2	3	1	1	2	4	1	1	1	4	3	3	2	4	1	1	7	5	1	1	1	2	1	2	1	1	7	2	12	1	1	1	1	1	2	3	4	1
1500	-546.591227679430062	-553.446715630389463	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.643543821962250	-1	2	1	3	2	5	3	4	5	7	9	8	8	10	8	6	8	12	11	10	13	9	12	12	12	11	13	12	13	12	12	12	12	14	16	12	14	13	16	13	15	15	14	13	12	16	15	17	17	17	18	15	18	16	17	18	17	18	17	19	20	19	21	19	20	21	23	20	19	19	20	22	21	21	21	22	20	22	22	23	24	25	25	22	23	27	28	0	1	1	5	1	2	1	1	7	4	13	6	9	10	16	5	16	10	17	15	23	6	12	17	20	22	36	15	20	14	26	26	12	23	38	19	21	45	0	26	31	31	44	17	26	28	36	31	36	14	47	16	59	41	36	49	52	44	52	52	35	59	50	49	47	58	61	44	27	49	49	69	28	70	62	49	35	54	74	79	70	81	79	65	76	82	72	1	1	2	1	2	2	2	2	2	3	1	2	2	2	1	3	1	2	1	1	1	2	1	2	2	1	1	3	2	1	1	1	2	1	1	1	1	1	1	1	2	2	1	2	1	2	2	2	3	4	1	3	1	1	2	1	1	3	1	1	2	1	2	1	2	1	2	4	3	1	1	2	4	1	1	3	2	2	1	1	2	1	1	1	1	1	3
2000	-424.975472894105906	-431.830960845065306	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.752386859770081	-1	3	1	2	1	6	4	3	5	6	10	8	8	9	9	8	8	11	9	11	11	10	12	12	10	11	12	10	13	12	12	15	13	13	16	14	13	14	15	15	14	14	15	13	14	16	15	16	17	18	19	16	18	17	17	18	17	18	18	18	20	20	20	19	19	21	23	19	19	20	22	22	22	21	21	21	24	22	23	22	25	25	23	23	24	27	27	0	1	1	1	1	2	4	5	7	4	13	6	9	10	10	6	6	10	17	25	12	12	21	17	10	22	13	15	25	11	22	45	23	16	29	24	21	37	0	45	31	31	36	16	31	18	27	41	52	35	55	36	57	32	47	57	52	52	52	38	42	53	50	49	59	68	66	55	56	69	76	69	63	69	59	56	66	68	75	74	80	84	74	44	76	81	72	1	2	1	1	1	2	1	1	1	2	1	1	2	2	2	1	1	2	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	3	2	1	1	1	1	1	1	1	1	1	1	1	1	2	3	1	1	1	1	2	1	1	1	1	1	2	1	1	2	1	2	1	1	1	2	1	1	3	1	1	2
2500	-555.889044696802671	-562.744532647762071	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.647921402199623	-1	3	1	1	1	5	3	3	6	6	8	8	9	8	9	8	8	11	10	12	13	9	12	10	10	12	10	12	11	11	13	15	12	12	16	13	13	13	15	15	14	14	14	13	11	16	15	15	16	17	19	17	18	18	17	18	18	18	18	19	20	20	18	18	20	21	23	20	19	20	21	23	21	21	21	19	23	22	23	23	24	25	21	23	23	28	28	0	4	1	1	1	2	4	5	7	4	6	6	9	10	10	6	6	14	10	25	33	12	11	16	10	45	17	15	25	11	22	26	22	11	47	27	28	45	0	45	23	37	36	17	22	28	36	42	33	28	44	44	52	32	35	42	49	49	52	54	26	50	50	49	59	51	35	55	49	69	76	49	63	70	60	49	44	68	78	74	78	81	69	27	71	79	40	1	1	1	1	1	1	1	1	2	2	1	2	1	1	2	1	2	1	2	1	1	1	2	1	1	1	1	1	1	1	2	1	2	2	1	2	1	1	1	2	2	1	1	3	1	2	1	1	1	3	3	2	1	2	1	2	1	1	1	1	4	1	1	1	1	1	3	2	3	1	2	3	2	1	1	1	6	1	1	1	1	1	1	8	1	2	6
3000	-509.012619060484781	-515.868107011444181	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.726187549532972	-1	3	1	1	2	6	4	4	5	7	8	8	8	10	10	7	9	11	10	10	12	9	13	13	11	11	10	12	13	12	13	14	10	13	14	12	14	12	15	15	14	13	15	14	13	15	16	17	14	17	19	17	17	17	18	19	19	18	18	19	21	21	20	19	20	22	22	20	19	20	22	24	21	22	20	21	21	24	22	22	23	23	25	22	23	27	26	0	1	1	1	1	2	4	5	7	4	5	6	7	10	10	8	6	15	10	10	33	12	33	17	20	12	22	15	30	15	27	21	12	21	36	17	28	26	0	42	45	22	36	17	12	20	36	35	17	28	55	49	47	43	44	54	52	49	52	40	64	64	50	52	59	77	51	44	53	69	59	81	46	59	59	75	55	79	69	62	70	52	79	56	71	79	72	1	2	1	1	2	2	2	1	1	3	2	1	2	2	2	2	2	1	2	2	1	1	2	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	3	1	4	2	1	2	1	1	2	1	1	1	1	2	1	1	1	1	2	1	2	2	1	1	2	1	3	1	1	1	1	1	2	1	2	2	2	1	1	2	1
3500	-484.775809951892370	-491.631297902851770	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.644126595744683	-1	2	2	3	1	5	4	2	6	6	7	8	8	8	9	8	8	10	10	12	13	9	12	11	10	11	12	12	12	9	12	15	12	12	13	13	14	13	15	14	13	15	15	13	12	16	15	17	14	17	19	18	18	16	17	19	15	15	17	20	19	20	20	19	18	22	23	20	19	21	20	24	22	21	20	22	23	23	21	22	24	25	24	23	24	25	27	0	1	1	1	1	2	4	5	4	4	7	4	9	10	14	10	6	14	12	25	31	12	12	17	10	22	10	15	25	12	22	40	12	12	22	17	27	19	0	45	19	41	44	24	26	28	44	42	36	28	55	58	57	43	44	45	36	49	49	53	35	55	46	59	57	17	68	55	52	69	59	78	63	69	53	71	68	74	75	69	70	74	74	71	76	75	85	1	1	2	4	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	2	2	2	1	2	2	1	1	2	1	2	2	3	3	1	1	1	1	1	1	1	1	1	2	1	1	1	4	1	2	1	1	2	3	1	1	2	1	3	2	2	1	2	8	2	2	1	1	2	1	1	1	1	2	2	1	1	1	2	2	1	2	1	3	1
4000	-497.832504104302984	-504.687992055262384	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.680182513411844	0	2	2	3	2	6	4	3	5	7	9	8	8	9	9	8	8	12	10	11	12	10	12	11	12	11	11	12	13	10	12	14	13	14	15	13	14	13	13	15	15	14	14	14	12	15	13	16	16	17	17	16	17	17	18	18	18	18	18	18	21	20	20	19	17	20	22	21	19	20	21	22	22	21	21	21	23	23	23	22	22	25	24	23	22	26	27	0	1	1	1	1	2	4	5	7	4	16	6	9	10	7	6	6	14	17	15	16	11	16	6	20	22	15	15	25	11	22	19	12	30	34	17	39	45	0	45	42	31	11	17	26	28	24	31	36	46	47	47	49	47	51	48	49	47	49	35	60	56	46	65	49	51	58	66	49	53	47	52	63	70	52	53	68	62	81	74	74	69	70	76	71	70	79	1	1	2	1	1	2	1	1	1	2	1	1	1	1	2	1	1	1	1	1	2	1	2	2	1	1	1	2	1	1	2	2	2	2	1	2	1	1	1	1	1	1	1	2	1	1	1	2	1	1	2	3	1	2	1	1	1	2	1	2	1	1	3	1	1	1	2	1	2	1	5	3	1	1	3	2	1	1	1	1	1	2	3	1	1	3	2
4500	-486.584481006415899	-493.439968957375299	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.694742530435428	0	2	1	3	3	6	4	2	6	6	8	7	8	9	9	8	8	11	10	11	12	9	11	10	12	12	12	11	13	10	12	15	14	14	16	14	12	12	15	15	14	15	14	13	14	15	15	16	17	17	19	16	18	17	17	18	16	18	18	19	19	20	20	19	20	21	21	19	20	20	21	24	21	21	21	22	22	22	22	21	24	26	24	23	24	27	24	0	1	1	1	8	2	4	1	7	4	10	6	9	10	10	1	6	14	14	15	11	12	12	17	20	30	19	15	25	16	22	29	12	16	36	24	24	16	0	30	26	31	44	17	26	15	43	42	52	46	55	36	52	32	36	32	36	52	30	48	59	58	32	49	59	68	44	44	52	59	59	79	63	69	61	71	66	71	70	69	70	72	74	71	76	81	84	1	1	1	2	1	2	1	1	1	1	1	1	1	2	2	2	1	1	1	1	2	1	2	1	1	1	1	1	1	1	2	1	2	2	1	3	1	2	1	3	1	2	1	3	2	2	1	1	1	1	1	1	1	1	2	2	1	1	3	1	1	1	3	1	1	1	2	2	2	1	2	1	1	1	1	1	1	1	2	1	2	1	2	1	1	3	1
