step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102
1	-559.026636871958658	-557.564554787439761	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.061652083476446	1	1	2	1	2	2	4	4	5	4	7	6	5	5	5	5	7	7	7	7	8	8	10	10	10	9	9	10	9	9	9	9	9	12	12	10	10	10	10	9	11	10	11	11	11	11	11	13	12	13	11	11	14	14	14	13	14	13	15	14	15	14	14	14	14	13	15	14	15	14	14	15	16	14	15	15	16	15	15	17	15	17	16	15	15	16	16	16	17	16	17	17	17	17	17	18	19	18	20	20	22	22	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	3	2	2	2	2	3	3	3	3	4	4	5	5	5	4	4	5	4	4	4	4	4	6	6	5	5	5	5	4	5	5	5	5	5	5	5	6	6	6	5	5	7	7	7	6	7	6	7	7	7	7	7	7	7	6	7	7	7	7	7	7	8	7	7	7	8	7	7	8	7	8	8	7	7	8	8	8	8	8	8	8	8	8	8	9	9	9	10	10	11	11
500	-505.486898109545621	-503.735883401049932	-1.751014708495692	0.000010016488416	0.000001891753208	0.188863914152645	0.186043183448033	1	1	2	-1	3	1	3	4	4	3	6	6	3	3	6	5	8	6	8	7	8	7	10	10	10	8	9	11	9	9	9	9	9	12	12	10	10	10	9	9	10	11	11	11	11	11	10	14	12	13	10	11	15	14	15	12	14	13	16	12	16	13	15	14	15	13	15	14	16	14	12	16	13	14	14	15	16	16	16	15	15	16	16	16	15	15	15	16	16	15	16	17	17	16	18	18	18	19	20	20	22	21	4	4	1	0	6	4	6	5	3	4	13	10	6	1	16	2	12	3	5	4	22	7	39	18	1	18	12	10	21	22	9	3	11	5	29	21	13	21	26	5	26	31	40	39	17	21	26	49	43	9	26	21	47	23	66	5	44	43	29	43	9	5	34	41	20	29	35	22	42	24	2	74	8	46	60	32	49	70	75	21	56	47	76	44	45	51	5	17	35	41	33	32	2	43	23	62	49	84	63	98	42	58	1	1	1	1	1	1	1	1	1	3	2	2	1	1	1	3	1	3	3	2	1	2	1	1	4	1	1	5	1	1	3	5	1	4	1	1	4	1	1	3	1	1	1	1	2	1	2	1	1	4	1	2	3	3	1	5	3	2	5	1	7	5	2	2	5	2	2	3	3	2	7	2	6	1	1	3	1	1	1	3	1	2	1	2	2	3	7	3	2	3	3	3	10	3	3	2	3	1	2	1	6	3
1000	-345.817374396833259	-342.153937385555423	-3.663437011277829	0.000010059397242	0.000000392012387	0.038969769058995	0.663568018492295	1	1	3	0	2	2	4	5	6	3	7	7	6	4	5	5	6	7	6	8	9	7	10	9	10	9	8	9	10	8	8	8	10	12	11	10	11	11	10	9	11	10	12	11	11	11	11	12	11	12	12	12	13	13	13	13	15	13	16	14	15	15	15	15	11	13	15	14	13	14	14	14	15	13	15	15	15	14	15	18	16	18	15	14	15	16	16	14	17	16	17	18	15	17	16	17	20	19	19	20	22	22	4	4	2	0	4	1	3	2	7	2	19	17	8	5	14	3	14	8	14	22	7	19	40	12	11	7	19	30	24	12	17	16	15	23	30	24	12	18	30	22	28	27	44	40	24	36	15	10	40	36	27	42	35	24	41	37	68	29	68	65	56	69	74	34	30	65	69	48	46	41	35	36	46	26	69	72	65	48	56	71	78	67	54	52	43	71	72	74	77	73	71	68	69	34	35	76	43	80	93	87	97	90	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	3	1	1	1	1	1	1	2	1	2	1	1	2	1	1	1	1	1	1	1	1	2	3	1	2	2	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	2	2	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	2	1	1	2	2	2	2	1	4	1	1	3	1	3
1500	-300.155842057015093	-298.640571552350991	-1.515270504664090	0.000010170674607	0.000002893017062	0.284446919560682	0.850166072482334	2	1	3	0	2	3	4	5	6	5	8	5	6	6	6	5	5	7	7	7	9	9	11	10	11	9	9	11	9	9	9	8	9	12	12	11	10	11	10	9	9	10	11	11	12	10	11	13	13	13	11	11	11	15	14	13	12	13	15	13	16	13	15	14	14	14	15	13	14	13	14	15	16	14	16	15	16	15	16	17	13	18	15	15	14	16	17	16	17	15	15	16	18	18	17	18	16	17	20	20	20	22	4	4	2	0	4	2	2	3	12	3	15	6	6	3	16	6	1	9	10	15	11	8	27	41	13	32	19	42	11	9	10	10	18	43	23	22	11	26	14	20	18	41	32	27	24	41	29	43	51	30	21	19	26	60	23	47	42	36	35	52	71	43	66	81	45	44	56	38	51	36	58	58	65	34	59	27	45	58	84	86	21	79	64	58	62	72	83	69	92	43	85	72	69	97	66	74	64	78	93	93	85	93	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	2	2	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	3	2
2000	-286.825429291554087	-284.908402050034681	-1.917027241519421	0.000010122200388	0.000001543198364	0.152456808261014	0.934945897505002	2	1	3	0	3	2	5	4	5	4	6	6	5	4	5	6	8	7	7	7	8	9	9	11	10	10	9	9	8	9	8	9	10	12	13	11	10	11	10	9	11	8	9	12	12	10	10	13	12	14	10	11	14	13	15	13	15	13	15	14	16	13	12	12	13	13	16	14	15	14	13	16	16	15	15	15	16	15	14	17	13	18	17	14	15	16	17	16	17	16	18	18	16	18	18	19	19	18	20	18	21	21	2	4	6	0	1	4	2	1	6	6	10	14	8	5	6	3	12	15	12	10	20	21	19	37	27	40	12	31	12	19	12	31	30	47	24	37	29	32	30	29	25	12	42	39	33	19	21	39	36	45	23	47	35	34	35	44	84	39	35	45	53	52	28	52	26	26	84	56	62	40	25	63	54	44	60	34	35	62	62	76	24	73	84	38	54	78	58	79	86	79	57	74	84	93	59	91	92	77	94	61	97	83	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-238.886511676114310	-237.327446552659268	-1.559065123455030	0.000010257695184	0.000002660352864	0.259351912508032	0.996801564187253	2	2	1	0	3	3	5	4	6	5	7	7	4	6	6	4	6	6	7	6	8	8	11	9	10	9	9	11	9	10	9	9	9	12	11	10	9	10	9	10	12	10	12	12	12	12	11	13	12	12	11	12	14	12	14	14	14	13	14	15	16	14	13	13	14	14	16	14	15	14	13	13	16	14	15	16	17	14	15	16	15	18	17	15	15	17	17	16	17	16	18	18	16	18	18	18	20	17	20	20	23	21	4	4	4	0	2	3	5	1	8	5	14	7	3	13	10	6	16	16	7	6	19	18	24	11	21	11	10	31	11	27	11	11	11	27	27	22	20	21	17	27	31	21	36	40	40	42	31	28	42	31	37	51	54	38	52	45	52	25	34	56	60	43	42	30	45	34	74	44	72	46	30	35	53	41	49	79	61	28	62	53	71	73	69	58	65	60	90	85	79	65	69	90	74	84	89	88	87	85	92	86	102	96	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-291.186740316098110	-289.157237602875455	-2.029502713222650	0.000010485196685	0.000001407649124	0.134251093856085	0.935717931633493	1	1	2	-1	3	2	4	4	5	4	7	7	5	5	4	6	6	8	6	7	7	5	9	11	10	9	9	11	9	10	10	9	9	10	13	11	9	10	10	8	11	11	9	12	11	12	10	13	12	12	11	12	14	13	13	12	14	13	14	14	15	12	13	14	13	13	15	14	15	14	15	15	16	13	16	14	16	15	15	16	15	17	16	14	14	17	14	17	15	16	17	18	17	17	15	17	20	19	21	19	23	22	4	4	1	0	1	4	3	4	5	3	17	22	3	5	3	7	7	7	14	16	9	5	40	33	40	20	21	31	13	32	32	19	19	40	47	27	12	26	11	16	32	38	18	24	23	23	43	42	27	39	39	27	58	52	24	25	25	62	28	66	60	27	28	49	30	50	54	54	63	55	44	85	35	28	87	26	79	58	50	84	45	81	64	58	62	72	49	59	76	67	53	89	90	76	44	67	96	88	98	94	102	97	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-271.579513130185433	-269.811978364701588	-1.767534765483847	0.000010535456468	0.000001944265014	0.184544924050057	0.936468170653120	1	2	3	0	2	2	3	5	6	4	7	7	6	5	6	6	8	7	8	8	8	7	10	9	11	9	9	9	9	8	10	9	9	11	12	10	10	11	9	8	10	10	10	11	10	12	12	13	11	12	12	11	14	15	14	13	13	12	15	14	15	15	15	15	14	13	15	15	14	15	13	14	16	13	16	12	16	16	15	16	15	17	16	16	15	16	16	17	18	16	16	16	17	17	17	18	19	19	21	20	22	22	4	1	2	0	1	4	1	6	2	3	14	13	3	3	8	10	8	13	13	13	15	10	11	22	37	40	40	20	13	15	9	18	11	39	52	19	32	39	12	14	16	17	20	21	17	31	28	58	33	37	38	43	46	57	44	45	52	37	74	74	57	48	72	53	44	47	66	65	47	45	49	57	56	42	48	41	60	35	46	46	71	85	70	69	48	53	69	79	61	85	72	55	81	61	68	94	96	75	88	89	99	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1
4000	-285.958539907846159	-283.879931187351872	-2.078608720494308	0.000010849968643	0.000001382619634	0.127430749249142	0.915034973714090	1	2	3	0	3	3	4	4	6	4	8	7	5	6	6	6	7	7	7	7	8	9	8	11	10	9	9	10	9	9	8	10	10	12	13	11	10	10	8	10	12	10	11	12	11	12	11	13	12	12	12	12	14	14	15	13	14	11	14	13	15	12	13	15	14	13	16	13	15	14	15	13	17	15	15	14	15	15	13	16	14	16	16	16	16	17	16	17	14	16	16	18	17	17	17	18	19	19	20	20	21	22	4	4	2	0	1	4	4	6	10	5	18	13	5	3	8	5	14	13	7	14	14	39	9	26	31	10	18	16	18	21	15	11	21	37	33	38	21	30	14	11	30	27	29	47	18	42	27	24	32	45	58	42	63	37	48	51	79	37	62	29	35	40	32	48	66	40	76	36	57	51	48	49	77	36	49	50	56	62	58	70	52	52	54	70	53	69	81	72	58	81	54	85	57	89	75	67	83	85	92	97	97	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1
4500	-250.454554937890777	-247.566067601159943	-2.888487336730830	0.000010600775227	0.000000679428224	0.064092314920847	0.982212325877528	1	1	3	0	3	3	4	5	5	5	7	7	5	6	5	5	7	7	7	7	7	8	10	8	10	9	8	10	8	10	8	10	8	12	13	11	9	9	10	9	10	11	12	12	11	12	12	12	11	13	12	10	15	14	12	13	15	14	16	15	14	13	14	15	13	13	14	14	15	14	14	15	16	14	15	15	16	14	15	16	15	17	17	14	16	16	17	17	16	15	16	16	16	18	17	18	19	17	20	20	22	22	4	4	1	0	4	2	6	5	6	3	16	16	2	9	3	6	16	15	16	16	16	19	24	15	24	24	18	40	7	33	14	38	14	39	49	38	31	15	24	21	40	30	26	38	30	39	30	39	32	45	52	40	67	44	28	44	65	44	79	51	51	52	43	78	43	42	46	43	61	42	44	65	60	51	48	62	78	41	35	35	36	92	69	51	76	74	59	91	62	61	68	78	54	88	90	95	95	61	97	87	99	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
