step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42
5000	-233.298817100383701	-231.869096899127385	-1.429720201256313	0.000010866270620	0.000009846748669	0.906175542004916	0.703624575871558	0	2	2	6	4	5	5	8	6	6	6	6	6	6	8	8	9	7	7	8	9	9	9	11	10	11	11	10	12	13	14	15	12	13	15	12	15	14	13	14	15	15	0	1	1	2	2	3	3	3	5	2	5	6	3	2	10	10	11	11	12	13	9	18	20	18	23	15	18	18	23	23	25	24	27	22	30	23	24	29	33	36	38	36	1	1	1	3	1	1	1	3	1	1	1	1	2	2	1	2	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	2	1	2	1	1	2	1	1	2	1	2
5500	-243.100568000480791	-241.125807851311578	-1.974760149169219	0.000012895930159	0.000029356680695	2.276429876120903	0.687068495445207	0	2	2	5	4	4	7	6	6	6	5	6	7	8	7	7	9	6	7	9	10	9	8	10	10	11	12	11	12	12	13	15	12	13	16	13	14	15	14	15	17	16	0	1	1	2	2	3	3	3	11	2	5	6	3	2	10	10	9	5	12	23	11	18	8	18	23	15	24	22	23	23	23	24	22	28	30	30	27	29	33	36	38	36	1	1	1	1	1	1	2	2	1	2	1	1	2	3	1	1	2	1	1	1	3	2	1	2	2	2	1	1	2	2	4	1	2	1	2	1	2	2	1	1	2	2
6000	-214.300622670696640	-212.937716762517056	-1.362905908179585	0.000024610458924	0.000015198158976	0.617548783733468	0.698911855586919	0	3	2	5	4	4	4	7	6	6	6	6	6	8	7	8	9	7	8	7	10	8	8	10	10	11	10	11	11	12	13	14	12	13	15	12	14	14	14	14	17	15	0	1	1	2	2	3	3	7	5	2	5	6	3	2	4	10	9	11	12	6	5	18	13	22	23	15	18	22	23	23	20	34	27	11	30	29	27	30	33	36	38	40	1	1	1	2	1	1	1	1	1	2	1	1	2	2	1	1	1	1	1	2	2	1	1	1	1	2	1	2	2	2	2	1	1	4	2	1	2	2	1	1	2	1
6500	-207.777422042785503	-206.379737794254680	-1.397684248530833	0.000047276067696	0.000019185359002	0.405815456678131	0.700804791882701	0	2	2	4	4	7	6	7	6	5	7	5	6	7	9	7	8	8	6	8	10	9	9	10	10	10	11	11	11	11	12	15	12	13	12	11	14	14	13	13	16	15	0	1	1	2	2	3	3	13	5	4	5	3	3	9	10	10	9	11	12	7	11	9	20	18	6	15	22	22	20	23	25	18	27	27	29	23	27	29	33	36	38	40	1	1	1	1	1	3	2	1	1	1	2	2	2	1	2	1	1	1	1	1	2	2	1	1	1	1	1	1	2	1	1	2	1	2	1	1	2	2	1	1	1	1
7000	-212.821465454021165	-211.439887809742402	-1.381577644278757	0.000070348266611	0.000031073054559	0.441703201164315	0.737729442031930	0	2	3	5	4	7	5	8	6	6	6	6	6	7	9	7	10	8	8	7	9	8	9	10	9	11	11	10	13	11	13	12	11	13	15	14	15	13	14	15	16	16	0	1	1	2	2	7	3	7	5	5	5	3	7	4	16	4	11	4	12	7	14	11	20	22	20	15	22	22	23	23	25	17	28	22	29	31	28	23	27	36	38	40	1	1	2	1	1	1	1	2	2	1	2	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	2	1	2	2	3	1	1	2	2	1	2	2	1	1	1	1
7500	-210.958698562423592	-209.393947821220081	-1.564750741203504	0.000085415165501	0.000021905700431	0.256461487873471	0.776833369989407	0	2	3	5	4	5	5	8	6	6	6	7	6	8	8	7	9	9	6	8	9	8	9	10	9	11	11	11	10	13	13	14	12	12	16	14	15	14	13	11	17	14	0	1	1	2	2	3	3	7	5	4	5	19	7	9	10	10	11	22	6	10	11	11	20	14	20	15	18	18	23	29	25	34	28	22	36	40	27	31	27	23	30	40	1	1	1	2	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	2	1	2	1	1	2	1	1	2	1	2	2	1	1	1	2	1
8000	-201.474829328939109	-199.698471707353974	-1.776357621585124	0.000087188764723	0.000015895728790	0.182313958005924	0.728926321006810	1	3	3	5	4	7	5	6	6	6	5	6	6	8	7	8	9	6	7	8	9	8	8	11	10	9	11	11	12	11	14	13	12	12	12	13	13	14	12	15	17	16	0	1	1	2	2	7	3	7	11	4	5	7	3	11	10	10	5	5	12	3	5	18	13	21	23	15	22	18	30	25	25	24	27	18	23	30	27	30	27	38	38	36	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	3	1	1	1	1	1	1	2	1	1	2	1	1	2	2	1	1	2	1	1	1	1
8500	-209.645847042280877	-208.171099884483823	-1.474747157797062	0.000061014302017	0.000019143511677	0.313754497623008	0.619880857273451	1	3	3	6	5	7	7	6	6	7	7	5	5	9	8	8	10	8	7	9	9	9	8	10	9	11	10	11	11	11	13	15	12	13	15	13	12	14	13	14	17	14	0	1	1	2	2	3	8	13	2	2	5	3	3	10	4	10	5	5	12	3	9	18	8	18	23	15	18	22	23	23	30	24	27	22	40	29	27	23	33	29	38	36	1	1	1	2	1	2	1	1	1	2	1	1	1	1	1	1	2	1	1	4	1	1	1	1	1	2	1	1	1	2	1	2	1	4	1	1	1	2	1	2	2	1
9000	-209.146197596001798	-207.230256566318701	-1.915941029683085	0.000098292098637	0.000015004612793	0.152653295645297	0.864685496656534	0	2	2	5	4	7	6	5	5	4	6	7	4	7	8	6	7	8	8	7	9	9	9	11	9	10	11	12	12	13	12	14	12	14	14	14	15	15	13	14	17	16	0	1	1	2	2	8	3	3	5	2	9	8	3	4	10	10	10	11	12	8	9	18	7	22	20	15	18	22	25	25	23	29	27	28	29	30	34	29	27	29	38	40	1	1	1	1	1	2	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1
9500	-201.414549498055464	-199.658154025537669	-1.756395472517792	0.000091481763969	0.000017147001273	0.187436277228142	0.719629043937320	1	2	3	6	3	5	7	6	5	6	6	6	6	8	8	7	10	9	7	9	9	8	9	10	10	10	11	12	12	11	13	14	10	14	15	12	15	14	13	14	17	16	0	1	1	5	2	3	3	3	5	2	5	6	3	4	4	10	11	22	12	7	9	11	13	22	23	15	18	22	23	23	30	24	22	39	30	20	22	23	33	36	38	40	1	1	1	1	1	1	2	1	1	2	1	1	2	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	2	2	1	2	1	1	2	1	3	2	2	1	2	1
