step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	Tinf_107	Tinf_108	Tinf_109	Tinf_110	Tinf_111	Tinf_112	Tinf_113	Tinf_114	Tinf_115	Tinf_116	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	alpha_107	alpha_108	alpha_109	alpha_110	alpha_111	alpha_112	alpha_113	alpha_114	alpha_115	alpha_116	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106	kappa_107	kappa_108	kappa_109	kappa_110	kappa_111	kappa_112	kappa_113	kappa_114	kappa_115	kappa_116
1	-1183.223902272722853	-1190.079390223682140	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.000441225020984	0	3	6	8	9	10	11	13	11	14	14	13	14	14	15	15	16	17	16	16	17	16	15	16	16	18	17	18	18	19	18	18	18	17	17	18	17	19	19	19	19	20	19	21	21	19	22	20	22	20	22	21	23	21	22	22	21	21	22	21	23	22	23	25	24	23	26	26	24	24	26	26	27	27	27	29	27	28	28	29	29	27	28	28	29	30	28	31	30	29	30	30	31	31	32	33	34	32	32	33	32	32	34	34	34	35	34	35	36	35	35	36	37	37	40	40	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	4	5	5	6	7	6	7	7	7	7	7	8	8	8	9	8	8	9	8	8	8	8	9	9	9	9	10	9	9	9	9	9	9	9	10	10	10	10	10	10	11	11	10	11	10	11	10	11	11	12	11	11	11	11	11	11	11	12	11	12	13	12	12	13	13	12	12	13	13	14	14	14	15	14	14	14	15	15	14	14	14	15	15	14	16	15	15	15	15	16	16	16	17	17	16	16	17	16	16	17	17	17	18	17	18	18	18	18	18	19	19	20	20
500	-1116.279537316160713	-1123.135025267120000	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.001609300948653	-1	1	7	5	8	8	11	11	12	14	12	13	15	14	16	14	15	16	17	14	17	15	16	16	15	19	17	19	19	19	18	19	19	18	17	19	17	20	17	19	19	19	18	20	20	19	23	21	23	20	21	21	23	21	22	21	21	22	21	20	23	22	23	26	24	23	24	26	24	24	26	27	27	28	28	30	27	29	28	29	29	27	27	29	27	31	29	32	29	27	30	29	31	30	33	33	34	33	32	31	31	33	35	35	35	35	33	35	36	36	34	36	37	38	39	40	0	1	4	2	2	2	1	4	7	1	3	7	6	11	12	2	3	2	22	4	2	6	12	9	11	31	20	1	1	15	2	1	9	2	20	10	11	4	1	1	4	13	1	2	4	2	4	41	12	14	4	13	2	37	36	2	4	36	2	7	14	46	2	22	4	5	62	1	2	1	1	1	5	23	1	2	5	1	1	0	4	2	2	5	1	2	13	6	1	1	0	5	4	75	3	1	0	2	2	94	1	0	20	7	14	0	0	17	6	2	1	1	1	9	1	1	1	1	1	2	4	4	5	3	1	7	3	1	3	1	2	6	6	8	1	5	8	4	3	2	2	1	2	9	10	2	7	11	5	9	3	3	3	8	10	8	8	2	10	10	7	10	9	1	6	2	9	2	12	2	2	13	8	3	12	5	4	3	12	7	11	9	1	13	14	16	13	15	13	7	13	16	9	15	14	1	14	12	15	11	13	16	9	12	14	14	1	12	17	1	12	18	1	15	16	1	18	1	9	13	12	1	1	9	15	18	20	19	20	12	17	19
1000	-901.342216639228582	-908.197704590187982	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.012721627506698	-1	2	5	9	9	11	11	13	11	15	13	14	15	14	16	14	17	17	16	14	18	15	16	16	17	19	17	18	18	20	18	18	19	17	16	18	17	19	19	19	20	20	19	21	20	19	23	20	23	21	23	21	23	20	23	22	19	20	23	21	24	23	22	25	23	24	26	23	24	25	25	27	27	27	27	29	27	28	28	29	30	27	28	29	30	29	29	31	31	30	31	31	31	31	32	34	34	32	32	33	32	32	33	34	35	36	33	35	36	36	35	33	38	38	41	40	0	1	1	3	2	4	4	1	3	9	5	9	3	5	6	6	7	1	6	3	3	3	9	2	3	2	12	1	1	3	2	2	27	6	7	1	12	1	1	6	7	24	2	2	1	31	40	31	16	13	35	54	24	9	45	1	4	34	1	38	49	23	1	15	1	32	57	1	3	1	8	1	1	69	3	3	35	56	65	0	24	31	49	7	28	2	72	10	15	20	0	24	50	46	91	2	0	27	66	66	1	0	47	26	53	0	0	77	6	2	1	1	1	101	65	1	1	2	3	1	3	1	1	7	4	2	2	2	6	3	3	2	3	8	2	6	7	5	2	8	5	9	2	11	9	6	8	9	1	3	2	10	2	9	10	4	5	2	8	10	12	1	2	2	5	3	4	1	3	4	3	12	4	1	12	1	1	3	12	5	13	3	3	12	12	14	6	12	13	1	13	12	5	3	2	1	9	4	4	7	6	15	1	7	7	8	1	5	5	7	1	19	1	6	4	5	16	1	5	8	5	1	1	4	14	18	22	18	21	4	15	21
1500	-667.838754548975089	-674.694242499934489	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.211609230515335	0	2	6	8	8	10	10	12	11	12	15	13	14	13	14	16	16	16	16	16	18	17	15	17	17	19	18	19	18	20	18	18	18	17	17	18	18	19	19	19	20	19	19	21	21	19	23	21	22	20	23	22	23	21	23	21	22	20	23	21	23	21	23	25	23	24	27	26	25	24	26	26	27	27	28	29	26	29	29	28	29	27	28	28	29	30	28	31	30	30	31	30	32	31	33	33	34	30	32	34	32	33	34	34	34	36	34	35	36	36	36	36	37	36	40	40	0	1	2	3	3	3	4	1	4	9	14	8	6	4	10	10	8	1	2	6	20	8	15	11	23	17	24	2	1	42	22	1	10	4	16	6	15	17	23	8	13	22	14	2	16	13	21	20	30	6	31	50	42	42	16	11	38	9	1	2	50	28	49	50	2	35	54	9	2	2	2	1	9	56	5	63	25	67	71	0	36	28	69	52	50	51	39	14	2	67	0	4	46	72	23	1	0	62	4	68	3	0	88	71	17	0	0	95	104	39	2	2	2	97	89	1	1	1	2	1	1	3	1	7	1	1	1	1	3	2	1	2	2	9	8	2	1	3	1	1	1	2	1	8	11	1	1	9	3	4	1	6	2	2	2	3	4	1	2	11	2	3	3	4	1	5	3	1	2	1	3	3	2	4	11	8	2	1	1	3	9	3	3	8	12	14	12	14	7	4	12	3	3	1	2	1	7	5	1	3	4	3	3	8	15	2	1	10	5	3	8	19	1	6	13	3	15	1	2	7	10	1	1	1	1	9	21	19	21	2	6	20
2000	-715.351535283113208	-722.207023234072608	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.287951758120987	-1	1	6	9	8	10	11	12	12	14	15	14	14	14	15	16	16	17	15	16	16	16	16	16	15	19	18	18	19	19	18	19	18	17	17	19	16	19	20	19	20	21	18	21	21	19	21	21	22	20	21	20	24	22	22	23	21	22	23	22	24	21	24	26	24	22	26	27	25	24	26	26	27	28	27	30	27	29	26	29	26	27	28	27	29	30	28	31	31	30	31	30	32	31	32	33	33	31	32	33	31	32	35	33	34	36	33	34	36	32	35	35	37	37	38	40	0	1	2	3	2	4	5	6	7	6	9	9	2	8	8	10	7	1	1	9	9	5	8	11	7	19	14	17	2	28	12	28	20	20	11	22	6	6	34	13	43	20	4	40	23	28	34	22	33	29	19	7	21	13	44	66	16	21	7	24	48	13	58	28	1	11	59	58	5	1	56	2	35	38	25	24	55	70	15	0	61	15	63	22	58	37	41	83	63	77	0	65	70	67	32	1	0	26	94	80	16	0	75	13	88	0	0	92	110	91	1	3	2	111	82	2	1	1	3	2	3	1	2	1	1	1	1	1	8	1	1	1	2	7	9	2	2	5	2	1	2	2	2	1	8	1	2	1	1	1	1	1	2	3	1	3	2	3	6	1	1	1	3	2	2	1	3	5	4	4	1	1	3	2	7	3	2	4	1	5	12	3	2	2	9	16	2	11	5	5	7	5	3	2	6	1	1	5	1	4	3	8	5	1	4	2	1	2	3	2	5	17	1	7	1	2	7	1	6	9	1	1	1	2	2	1	19	17	22	1	5	19
2500	-622.815989335229119	-629.671477286188519	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.260019069496089	-3	4	6	8	10	10	12	13	11	14	15	13	14	14	16	15	17	16	14	16	18	16	14	15	17	18	17	18	17	20	17	18	19	18	18	17	16	18	17	18	19	19	19	22	21	17	21	18	22	21	22	22	22	20	22	21	21	20	22	19	23	23	23	24	24	23	26	25	25	24	24	26	24	27	27	29	26	28	28	29	29	27	27	28	30	31	28	31	29	30	30	30	31	31	31	34	34	33	33	33	33	31	34	33	33	36	33	35	37	35	35	36	38	36	41	40	0	1	2	1	4	2	6	5	3	7	23	7	3	8	11	6	3	9	2	24	5	23	7	4	10	17	14	27	24	41	22	24	29	20	20	16	24	15	10	37	2	19	14	38	4	37	33	22	18	42	42	54	31	2	14	34	21	29	4	4	8	48	57	22	48	32	29	31	61	1	57	60	42	44	38	79	36	83	46	0	4	60	70	46	77	78	77	69	66	33	0	21	21	70	55	1	0	91	95	59	57	0	38	90	91	0	0	6	99	100	1	1	1	90	94	4	1	4	2	5	1	2	1	3	2	1	1	1	4	1	1	2	5	2	4	1	3	1	1	4	1	1	1	1	2	1	1	3	1	1	1	1	1	1	1	1	6	3	2	2	7	1	1	1	4	1	2	1	3	6	4	3	1	1	9	3	6	2	1	4	4	3	4	3	1	17	1	3	2	2	4	1	4	1	5	1	10	3	1	6	2	2	1	2	2	7	1	8	6	5	5	19	1	2	1	6	5	1	8	1	2	1	1	14	1	1	19	19	21	3	5	18
3000	-706.042110280876045	-712.897598231835445	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.275256477855177	0	4	6	8	9	10	12	14	12	13	15	13	15	15	15	14	16	17	17	17	17	15	15	16	15	18	18	18	19	18	18	18	19	17	17	19	16	19	19	20	18	17	20	22	20	19	21	20	22	21	22	21	23	21	22	23	21	21	22	19	24	22	23	26	24	24	26	26	25	25	26	25	27	27	28	29	27	28	28	30	28	27	28	29	29	30	26	31	30	29	31	31	30	30	32	33	34	31	31	32	32	33	35	35	35	36	34	35	37	36	36	37	38	37	39	40	0	1	2	2	2	3	6	4	6	9	9	1	8	16	4	10	5	14	5	8	14	12	6	10	5	17	11	15	23	23	11	37	42	1	1	24	22	24	12	27	14	5	15	27	28	41	43	16	60	25	12	28	30	2	25	12	28	31	6	37	21	22	58	57	50	39	65	70	34	2	69	24	65	70	39	59	68	71	7	0	12	70	87	70	47	36	13	83	49	5	0	76	64	90	15	1	0	48	32	70	51	0	43	75	81	0	0	64	95	88	1	2	2	88	30	25	1	2	1	2	2	2	1	3	2	1	2	7	1	1	3	1	3	1	4	1	1	1	3	2	2	2	1	2	3	2	1	1	1	8	7	2	1	2	2	2	3	5	2	2	1	1	1	3	1	3	6	1	2	6	4	6	1	1	7	1	3	4	1	3	2	3	1	1	4	13	1	8	1	1	5	4	1	1	7	1	7	1	2	2	4	7	4	2	3	9	1	1	1	1	9	16	1	7	6	3	4	1	8	4	3	1	1	6	3	3	18	18	18	2	9	11
3500	-660.969977182016578	-667.825465132975978	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.343070800183844	0	2	6	9	10	11	9	13	11	14	13	10	15	14	16	15	15	18	17	15	16	16	15	16	16	18	18	19	17	19	17	19	19	18	17	19	17	19	16	18	18	20	19	21	18	20	22	20	21	20	21	22	24	22	22	22	22	21	22	22	23	23	23	26	24	23	25	26	24	25	26	26	28	27	27	29	27	29	29	28	30	26	28	28	29	30	28	31	31	30	30	30	31	31	33	32	32	33	31	34	33	31	35	33	34	35	35	33	36	35	34	35	37	38	39	40	0	1	1	1	1	7	3	4	4	6	3	3	6	11	6	8	5	9	24	4	3	20	8	14	8	39	8	37	9	15	11	35	29	16	5	41	21	12	14	20	13	9	8	14	15	26	22	41	24	17	35	39	54	30	45	38	43	45	44	5	11	56	49	69	66	54	23	6	15	62	49	15	72	70	60	59	57	74	44	0	79	14	44	21	66	84	77	83	79	72	0	36	48	56	16	12	0	102	71	79	42	0	5	83	81	0	0	76	84	67	1	2	4	105	5	114	1	1	3	5	5	1	1	1	1	1	3	1	2	1	2	1	3	5	1	3	5	1	1	1	1	1	2	1	4	2	2	1	1	1	4	1	1	4	1	1	2	4	3	3	1	1	3	1	2	3	2	3	1	1	2	2	1	2	1	7	5	1	2	1	1	1	4	9	3	1	3	6	1	1	1	4	3	1	2	1	1	7	3	7	3	1	1	2	1	2	1	4	4	4	10	13	1	1	4	2	7	1	13	3	1	1	1	2	4	6	18	17	16	2	15	1
4000	-588.060118814202497	-594.915606765161897	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.344577736556071	0	3	5	8	9	10	12	14	11	14	13	13	14	15	16	13	15	18	17	17	17	17	16	17	14	19	18	18	17	17	17	16	19	18	15	17	18	18	19	20	18	20	19	22	21	20	21	20	23	20	20	21	22	21	23	23	21	22	23	20	22	21	23	24	24	23	25	26	24	25	25	25	27	27	27	29	28	28	29	29	29	27	27	27	28	31	28	32	30	29	29	30	32	32	31	33	34	31	32	33	32	33	33	34	34	33	34	35	34	35	36	36	37	38	41	40	0	1	1	3	1	1	4	11	3	7	6	5	7	11	12	5	12	11	35	9	11	25	16	13	11	19	14	20	11	5	11	6	18	32	6	23	8	6	38	33	31	27	23	45	15	43	9	18	48	37	34	51	28	31	40	37	43	22	12	2	40	21	23	46	37	34	37	27	66	58	9	57	29	58	11	72	66	23	58	0	15	2	47	70	28	53	20	35	68	87	0	60	30	90	80	90	0	52	90	85	26	0	2	83	86	0	0	83	93	95	1	82	92	86	70	102	1	1	3	1	3	5	2	1	3	1	2	2	1	1	2	2	1	3	1	3	2	1	1	1	1	1	1	1	3	4	4	3	1	1	3	1	3	5	1	1	1	1	2	1	2	1	6	1	2	1	1	1	2	3	1	3	1	2	4	9	1	1	3	2	3	2	4	4	1	2	6	2	5	2	7	2	3	5	3	1	6	10	4	1	5	5	5	7	3	1	1	5	6	1	1	2	1	5	2	2	8	1	14	5	1	1	1	4	1	2	18	4	3	4	8	3
4500	-684.928729927677523	-691.784217878636923	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.348477697958205	0	3	4	8	10	10	11	14	12	15	14	14	13	15	15	16	15	17	17	15	16	17	15	16	16	19	17	19	19	19	19	18	18	17	17	18	16	19	20	19	19	20	19	21	21	20	22	21	22	19	21	21	23	20	22	22	21	21	21	21	24	21	22	24	25	23	27	24	25	22	27	25	27	27	27	29	28	27	28	29	28	27	27	28	29	31	27	31	29	28	30	31	31	32	32	33	35	32	32	33	31	32	33	33	34	34	34	35	36	34	36	36	35	37	40	39	0	1	2	3	3	3	4	9	6	11	4	9	5	13	12	20	6	20	17	11	10	11	13	9	5	14	7	21	34	34	27	10	23	17	25	37	15	15	11	20	6	19	16	35	13	24	41	27	46	23	17	34	17	12	50	31	28	31	21	1	57	15	28	60	43	51	61	55	60	31	66	26	60	29	49	18	66	55	33	0	1	1	23	22	71	72	69	52	72	23	0	83	74	89	80	35	0	79	89	93	26	0	1	79	100	0	0	100	95	68	10	93	87	104	83	49	1	2	1	2	3	3	1	1	1	1	3	2	1	1	1	1	2	1	1	1	1	1	1	2	2	2	3	2	2	1	2	2	2	1	1	1	1	2	3	2	4	2	2	2	5	2	2	2	2	1	4	1	4	3	1	2	1	1	2	11	1	3	2	2	3	1	1	1	2	3	1	2	3	3	2	6	2	2	4	1	14	12	3	7	1	3	1	5	2	7	1	2	2	1	1	7	1	2	1	1	5	1	18	3	1	1	1	1	2	6	12	2	2	1	6	12
