step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49
5000	-303.673902982393088	-302.185337578876670	-1.488565403516422	0.000014925466819	0.000015996425351	1.071753771227943	0.608828082928379	0	3	2	2	5	3	4	3	5	4	7	5	6	8	9	8	8	7	8	7	8	11	10	9	10	10	11	12	12	12	12	12	13	12	13	13	14	14	11	14	15	15	16	18	17	20	19	22	22	0	1	1	1	2	3	2	1	3	6	7	1	12	5	8	2	11	10	7	13	4	8	16	18	18	15	11	16	24	25	20	24	39	27	29	31	26	32	15	39	31	39	41	41	42	43	44	44	47	1	2	1	1	1	1	1	2	2	1	2	2	1	2	3	2	1	2	2	1	2	5	1	1	1	1	2	2	1	1	2	2	1	1	1	1	2	1	1	2	2	2	1	1	1	3	1	2	1
5500	-299.723060333285446	-298.255539245272757	-1.467521088012687	0.000018628520568	0.000018908366329	1.015022436156297	0.678170149873176	0	2	3	3	4	4	4	3	5	5	7	5	6	8	8	8	9	7	9	7	10	10	10	9	9	10	11	10	10	12	11	13	13	13	12	13	15	14	11	16	14	14	16	17	17	20	19	21	24	0	1	1	1	1	2	2	2	2	8	7	1	12	12	12	12	15	10	11	13	9	15	16	18	18	11	21	16	24	25	11	24	39	27	29	21	26	32	19	33	36	39	41	41	42	43	43	44	48	1	1	2	2	2	2	1	1	1	1	2	3	1	2	1	2	1	1	1	1	2	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	2	1	2	1	2	2	2	1	2	2
6000	-309.931166774596079	-308.544051910462940	-1.387114864133153	0.000035271412186	0.000015089256947	0.427804162400930	0.652647155398425	-1	2	4	3	3	4	4	4	5	5	8	6	6	8	8	9	7	7	8	8	6	9	8	8	10	9	10	12	11	12	12	11	13	11	11	12	15	14	12	16	14	15	16	16	18	20	19	22	24	0	1	2	2	1	2	1	2	8	2	7	9	3	5	8	23	6	10	21	13	3	12	12	3	18	15	20	23	24	25	9	24	39	5	24	15	11	32	26	33	36	33	41	41	42	44	44	44	48	1	2	2	1	3	2	2	1	1	2	2	1	1	2	1	1	2	1	1	1	2	2	1	1	1	1	1	2	1	1	2	1	1	2	2	2	4	1	1	2	1	1	1	1	1	1	2	3	1
6500	-262.017030687961267	-260.564804874903871	-1.452225813057382	0.000069240529856	0.000023119253618	0.333897699302855	0.756716935696779	0	2	4	3	4	4	4	4	3	5	8	5	6	6	8	8	9	8	8	8	10	10	10	9	9	9	10	12	13	11	14	11	12	12	11	12	14	14	10	15	15	14	17	18	18	19	19	22	24	0	1	2	2	1	9	1	2	2	6	3	9	8	8	2	3	3	10	8	13	17	17	16	18	18	19	19	23	32	25	17	24	39	27	18	21	11	32	15	33	36	39	41	41	40	41	44	47	48	1	1	1	1	1	1	2	2	1	1	2	1	1	1	3	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	3	2	1	1	1	1	2	1	1	1	2	2	1	2	1	2	1	2	1
7000	-288.146509534737277	-286.492383966845807	-1.654125567891452	0.000089447981507	0.000019566035351	0.218742055681779	0.593437144811379	-1	2	3	3	5	4	4	5	4	5	6	6	7	7	8	7	9	7	8	6	9	11	10	10	10	7	10	12	13	13	13	11	13	12	13	13	13	15	12	14	15	14	17	17	17	19	19	22	23	0	1	1	1	4	2	2	1	1	3	7	4	20	8	4	8	15	10	7	9	13	21	16	10	18	3	20	16	24	25	15	18	39	27	32	3	26	29	19	19	28	39	41	36	42	36	43	43	48	1	2	2	2	1	1	1	4	2	1	1	1	1	1	3	2	1	1	2	1	1	1	2	2	2	3	2	3	2	2	3	2	1	1	1	4	2	1	2	2	1	1	1	2	2	4	1	3	1
7500	-291.617976979584171	-289.970911422019128	-1.647065557565027	0.000078775724737	0.000017432487612	0.221292633867545	0.581070971297849	0	2	4	4	4	2	4	5	5	5	7	3	5	7	7	8	8	9	8	7	9	10	9	9	10	9	11	13	12	13	13	10	12	13	12	11	12	14	13	15	14	16	16	16	18	18	19	22	23	0	1	1	12	12	1	1	12	1	3	9	2	12	3	9	10	12	10	7	13	4	17	16	10	18	11	13	16	32	25	36	18	17	27	32	9	11	24	36	39	21	39	41	41	42	41	44	44	46	1	1	2	1	1	1	2	1	2	1	1	1	1	2	1	1	2	2	2	1	2	1	1	2	1	2	3	2	1	2	1	1	3	2	1	4	2	3	1	1	3	2	2	1	1	2	2	2	3
8000	-307.412571099356796	-305.854457048967902	-1.558114050388901	0.000119381402644	0.000031020379146	0.259842642647405	0.591608322646942	-1	2	2	1	5	4	2	3	4	5	6	4	6	8	9	6	8	8	9	7	9	10	9	8	9	10	11	13	11	13	14	11	13	12	12	13	15	12	15	16	14	15	17	17	17	19	19	22	23	0	1	1	1	3	3	1	2	1	3	7	8	9	5	12	12	12	11	11	13	20	5	16	11	18	19	17	16	21	25	19	24	11	11	29	15	19	24	12	33	15	33	41	41	42	43	44	44	43	1	2	2	1	1	1	1	1	3	2	2	1	1	2	3	1	2	1	1	1	2	2	2	1	1	1	1	3	1	2	2	2	3	3	1	2	3	2	4	1	2	1	2	1	2	2	1	2	2
8500	-288.297183620524436	-286.301512746338403	-1.995670874186039	0.000102357281815	0.000014260162668	0.139317520116954	0.596942129528233	0	2	3	1	3	2	4	4	4	5	6	5	5	7	7	8	8	9	7	7	7	11	10	9	10	9	10	12	12	12	12	12	12	12	12	13	14	15	13	15	14	16	16	18	17	19	18	22	23	0	1	2	1	1	1	1	2	1	3	7	3	9	9	8	20	3	15	11	13	8	17	16	10	10	19	9	23	24	25	15	24	15	14	25	31	26	29	33	33	15	39	41	43	40	43	41	44	48	1	1	1	1	1	1	2	1	2	1	1	1	1	2	2	1	3	1	1	1	1	1	1	2	3	1	3	1	2	1	2	2	2	4	2	1	2	2	1	2	2	2	1	2	1	2	3	2	1
9000	-278.900389690222937	-277.353228940079248	-1.547160750143671	0.000087499220172	0.000023244279495	0.265651276088239	0.773004863233312	0	2	4	3	5	3	4	4	5	5	8	6	6	7	9	9	7	8	7	7	8	11	10	10	9	10	11	13	11	12	13	12	12	12	12	12	14	14	13	16	13	15	16	17	15	20	19	23	22	0	1	1	2	7	2	2	2	4	6	12	3	9	8	17	11	9	20	7	13	8	12	16	10	18	11	20	23	18	25	8	18	26	11	29	21	22	32	33	33	36	39	41	41	39	43	44	43	47	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	2	1	1	3	1	2	1	2	2	1	1	1	4	2	1	2	1	2	1	1	1	1	1	1	1	2	1	2	1	2	2
9500	-273.886927247272070	-272.052945658202873	-1.833981589069173	0.000104109943357	0.000017583724353	0.168895724907449	0.548509946964351	0	2	2	4	5	4	4	5	4	5	7	4	6	7	8	9	7	7	8	7	9	10	9	9	11	7	11	13	11	13	12	13	12	13	13	13	13	14	13	14	14	16	16	18	16	20	19	22	24	0	1	1	2	12	1	3	6	3	9	7	3	4	5	13	17	9	10	7	8	12	15	13	10	24	9	20	16	24	25	2	24	11	27	29	27	26	29	33	33	31	39	41	36	33	31	44	43	48	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	2	1	2	1	2	1	2	2	1	1	2	1	1	2	5	2	2	1	1	1	2	2	1	1	1	2	2	3	2	6	1	4	1
