step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49
15000	-272.087105820099282	-270.586537452283267	-1.500568367816012	0.000093381080141	0.000027477684284	0.294253228198518	0.659146913678749	0	2	2	4	4	4	3	5	4	5	7	5	5	7	6	8	7	9	8	7	9	8	10	8	10	9	10	13	11	11	12	12	12	12	12	12	13	13	14	16	15	16	17	16	17	18	19	22	25	0	1	1	3	3	2	2	9	1	6	7	9	9	5	8	12	12	10	7	13	22	12	16	10	24	11	13	23	24	25	19	29	19	27	29	19	9	31	33	33	31	39	41	31	33	44	43	43	47	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	2	2	1	1	2	2	2	1	1	2	2	1	1	2	1	2	1	1	2	4	1	1	2	1	1	2	3	2	1	2	2	3
15500	-278.635717763058437	-276.447413668326533	-2.188304094731892	0.000104684412241	0.000011945950873	0.114113941294075	0.540852715975580	0	2	3	4	3	3	4	4	4	5	8	5	7	7	9	8	9	6	7	5	9	10	10	9	10	9	11	12	13	12	14	10	11	13	12	11	13	14	13	15	14	15	16	16	17	19	19	21	24	0	1	1	1	2	1	2	2	2	6	7	8	20	5	8	9	1	3	7	6	13	9	16	18	18	7	8	23	24	10	22	18	26	27	24	22	26	32	33	26	36	33	41	41	33	43	44	44	44	1	1	2	2	1	2	1	1	1	1	2	1	1	2	2	2	5	1	1	1	1	3	1	2	2	3	4	1	2	3	1	2	1	1	1	1	2	2	1	3	1	3	1	1	4	1	2	3	4
16000	-273.325148138574093	-271.402041151152616	-1.923106987421450	0.000129435419921	0.000019592016468	0.151365186434998	0.623101043135506	0	2	2	3	4	4	3	4	5	5	7	5	6	8	8	8	9	7	7	7	9	10	10	7	10	9	11	13	13	12	13	11	12	13	13	13	15	15	14	14	15	16	16	15	17	17	20	22	24	0	1	1	2	2	2	1	4	3	6	7	4	9	5	4	20	8	10	13	13	20	8	16	10	24	7	17	23	32	25	20	24	26	27	11	21	22	31	33	33	36	39	36	36	39	43	41	43	41	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	1	2	1	1	1	1	3	1	1	2	3	1	2	1	2	3	2	2	1	5	2	3	1	1	1	1	1	2	1	1	1	3	3	3
16500	-268.601663773797952	-266.837863103184418	-1.763800670613542	0.000094535483451	0.000017536776766	0.185504702849684	0.647688703045553	0	2	2	4	4	5	3	5	4	5	7	6	6	8	8	9	9	8	8	7	9	10	10	9	9	9	11	13	12	12	14	12	11	12	13	13	13	14	14	15	14	16	17	18	18	20	19	21	23	0	1	1	2	2	3	2	9	3	2	7	8	9	2	8	9	4	10	7	6	20	21	16	10	10	2	11	23	18	25	36	24	11	27	29	15	26	24	33	39	36	39	41	41	42	44	43	44	48	1	1	1	1	1	2	1	1	1	2	2	1	1	3	1	2	2	2	2	1	1	1	1	2	2	2	2	2	2	2	1	2	2	1	1	2	2	2	1	1	1	1	2	3	1	2	1	3	2
17000	-305.700113589296677	-304.005491601571237	-1.694621987725442	0.000090803908760	0.000018632043527	0.205189884237703	0.519433640034971	0	2	1	3	5	5	3	3	4	5	5	6	7	7	8	7	8	8	8	7	7	10	9	9	10	6	10	13	11	12	13	13	10	11	12	13	13	13	14	15	14	15	16	18	17	19	19	23	25	0	3	1	3	9	8	2	3	3	2	7	2	9	5	2	9	20	10	9	3	2	9	13	19	18	10	13	21	10	25	22	24	16	27	18	16	19	24	33	39	36	37	41	41	39	44	41	43	47	1	1	1	1	1	1	1	1	1	2	1	2	2	2	3	2	1	2	2	2	2	3	2	1	1	1	1	4	3	2	2	2	2	1	2	2	2	2	2	1	1	2	1	2	2	1	2	3	4
17500	-309.095299904206342	-307.396185634202368	-1.699114270003964	0.000100443026074	0.000020469203700	0.203789197718747	0.662080494278624	-1	3	2	3	4	4	4	3	5	5	6	6	6	7	8	8	9	8	8	4	9	10	9	9	10	10	9	10	11	12	10	12	12	11	13	13	13	14	15	13	13	13	16	17	15	19	18	22	25	0	3	1	1	3	8	8	3	8	6	7	5	1	13	8	14	12	6	11	3	5	15	16	13	18	21	12	16	24	25	8	18	11	13	24	15	26	29	42	33	31	33	41	16	42	31	43	47	43	1	1	1	2	1	1	1	1	1	1	1	1	4	1	2	1	1	2	1	1	3	1	1	2	1	1	1	1	1	2	3	2	4	2	2	2	1	1	2	1	1	1	2	5	1	5	2	2	3
18000	-263.688422094462169	-262.095675222712998	-1.592746871749185	0.000067717515068	0.000016469858113	0.243214153623514	0.585849419590886	-1	1	3	2	4	5	4	3	5	3	7	5	6	7	7	8	9	7	7	8	9	10	10	8	10	9	11	12	12	11	11	12	12	13	11	13	14	13	15	14	14	14	16	15	18	19	19	22	24	0	1	4	1	4	8	4	2	3	2	7	3	9	5	6	14	12	10	7	13	1	12	16	18	18	19	21	23	35	25	15	24	21	21	18	15	19	24	42	33	36	33	41	36	42	31	44	44	48	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	5	2	1	1	2	1	1	1	1	1	2	2	2	3	2	3	4	3	1	1	1	1	2	1	2	3	2	3	1
18500	-286.518446998545983	-284.707876139598284	-1.810570858947715	0.000091638895073	0.000015956175334	0.174120119204761	0.514002035798582	-1	1	2	3	3	4	4	2	4	5	8	4	5	6	8	7	8	9	8	7	10	11	8	9	10	9	11	13	13	12	13	12	13	12	11	12	13	13	15	15	15	14	17	17	17	19	19	21	25	0	1	2	2	3	3	3	2	8	6	7	8	8	8	2	14	12	10	7	3	15	15	16	10	24	11	20	27	32	25	21	10	26	11	24	21	26	18	42	42	31	33	41	31	33	43	43	43	43	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	1	2	2	2	3	1	1	1	2	1	1	3	1	1	1	2	5	3	2	1	2	2	2	1	1	2	1	2	2	2	1	1	2	4
19000	-302.013375431501458	-299.824436324597571	-2.188939106903895	0.000130295667234	0.000014859382491	0.114043565733761	0.683221547443682	0	2	4	3	5	3	2	4	5	4	7	6	6	8	8	8	8	7	9	7	8	9	9	9	9	8	11	12	11	10	13	12	12	12	13	14	14	15	14	16	14	15	16	18	17	19	18	22	22	0	1	2	1	2	1	1	6	3	6	7	3	8	20	6	9	12	10	15	13	12	6	16	10	18	11	11	23	24	18	19	6	9	22	29	22	33	32	15	37	15	37	41	43	37	36	31	44	44	1	1	1	1	2	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	2	1	3	1	1	2	2	1	1	2	3	2	2	1	2	2	2	3	2	1	1	2	1	1	2	2	2	2
19500	-283.868209412646877	-282.034805575818439	-1.833403836828422	0.000084562898405	0.000014292922381	0.169021197832481	0.641782332661621	0	2	3	4	4	3	4	5	3	4	7	5	5	7	6	8	9	7	8	7	9	10	10	9	9	9	11	10	13	13	13	11	13	12	11	13	13	15	13	15	13	15	15	17	16	17	19	23	24	0	1	1	3	2	1	2	3	1	6	7	2	2	12	5	4	5	10	3	13	12	14	16	11	18	19	21	16	32	25	19	24	19	27	24	21	26	24	19	33	19	33	41	43	33	41	43	44	48	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	2	1	3	1	1	1	2	1	1	1	1	1	1	2	2	1	3	1	1	2	2	2	2	1	3	2	2	1	2	2	2	3	1
20000	-281.945018576372036	-280.282462798164033	-1.662555778207997	0.000120582639179	0.000026018605259	0.215774056995697	0.635210947967138	0	2	4	4	3	4	3	4	4	5	7	5	6	8	7	8	8	8	6	7	9	10	9	9	10	9	11	11	12	12	12	11	12	12	12	12	14	13	14	16	14	16	17	18	17	18	19	23	23	0	1	2	2	2	2	2	2	1	6	7	8	2	9	8	5	19	10	7	3	15	17	16	9	18	11	2	23	32	25	26	20	27	20	32	22	36	25	33	37	36	39	41	41	33	41	46	43	47	1	1	1	1	1	1	1	1	3	1	2	1	2	2	1	3	1	2	1	2	1	1	1	2	1	1	6	2	1	2	2	2	1	2	1	1	1	2	2	1	1	1	2	2	2	2	1	2	1
20500	-297.929332311697465	-296.190423602647627	-1.738908709049843	0.000084740853130	0.000016283208186	0.192152988601419	0.554688357639213	0	1	3	2	5	4	4	3	4	5	6	6	6	7	5	7	9	8	8	8	7	9	9	9	10	8	12	11	13	12	12	12	12	10	13	10	14	14	14	16	14	15	17	17	17	20	20	21	24	0	1	1	1	9	8	2	1	1	8	7	1	9	12	3	3	19	12	21	4	15	15	16	18	18	7	20	16	24	10	15	24	26	13	30	19	19	32	33	39	36	39	41	12	39	44	43	41	43	1	1	1	1	1	1	1	1	2	1	1	3	1	1	1	2	1	1	1	3	1	2	1	1	2	2	3	2	2	3	3	2	3	2	1	1	3	1	1	1	2	1	2	4	2	2	1	3	4
21000	-283.776666263715811	-281.854736830786806	-1.921929432929002	0.000102723023467	0.000015570298099	0.151575543373793	0.523934608167256	-1	1	4	3	5	2	4	5	4	4	7	5	6	7	8	9	9	7	7	7	10	11	9	9	10	9	11	13	13	11	13	12	12	12	13	13	14	12	13	15	15	13	16	17	17	20	19	22	25	0	1	2	6	2	1	6	4	6	6	7	1	9	12	5	3	12	10	7	13	8	3	5	18	18	19	2	23	38	25	27	24	27	27	24	21	21	24	5	33	36	33	41	41	22	41	44	47	48	1	1	1	1	2	2	1	1	1	1	2	2	1	1	1	3	2	1	2	1	3	3	3	1	2	1	6	2	1	1	1	2	1	1	2	1	2	2	4	1	1	1	1	1	3	3	1	2	1
21500	-320.957345770903714	-319.368170672388942	-1.589175098514790	0.000131150897432	0.000032108368177	0.244820041692780	0.581747773602717	0	1	2	4	4	5	4	5	4	4	8	5	6	7	8	9	7	8	9	7	9	10	9	10	10	9	10	12	13	12	13	13	12	12	12	12	14	14	14	13	13	15	16	18	18	19	19	23	21	0	1	1	1	3	5	1	3	1	3	10	2	8	5	17	15	8	3	4	13	13	8	5	23	18	7	8	22	18	25	8	24	7	27	18	15	23	18	26	19	26	39	41	31	42	43	41	36	46	1	1	1	1	2	1	1	1	3	1	1	2	1	1	1	1	1	3	3	1	1	2	4	1	1	2	2	1	2	1	4	1	4	1	2	2	2	3	3	2	2	1	2	3	2	2	3	7	1
22000	-279.064102000836726	-275.884900779695158	-3.179201221141561	0.000125628114459	0.000006599849277	0.052534811221908	0.663839345657767	0	2	4	3	5	3	4	4	4	5	7	6	6	7	9	6	6	8	9	7	9	10	9	9	10	9	11	12	12	12	13	13	12	13	13	12	14	14	14	16	15	16	17	17	17	19	20	21	23	0	1	2	1	2	1	2	2	2	6	7	2	8	3	20	5	3	5	7	13	10	19	16	10	10	5	19	23	15	24	17	29	19	27	24	15	22	29	33	26	31	39	41	41	39	31	44	43	48	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	1	1	2	2	2	1	2	1	2	1	2	1	1	2	1	1	1	1	1	3	2	2	1
22500	-278.432502967605615	-276.713874311283007	-1.718628656322598	0.000112126856942	0.000022191773302	0.197916662490243	0.735236728466190	-1	1	3	4	5	5	3	3	4	5	6	5	6	8	7	7	8	7	8	8	9	10	9	10	11	9	9	12	13	13	14	13	9	12	13	12	13	14	14	15	14	15	16	18	18	18	18	22	25	0	1	2	3	9	8	2	2	8	3	7	8	8	13	12	12	9	10	7	13	12	27	16	18	21	11	13	23	24	25	36	24	19	21	24	11	28	32	33	37	21	37	41	43	39	41	41	47	44	1	1	2	1	1	1	1	1	1	1	2	1	2	1	1	1	2	1	2	1	3	1	1	1	1	1	2	2	2	1	1	1	1	1	2	2	1	1	3	1	2	1	1	1	2	1	1	2	4
23000	-281.051780371967993	-279.559432886533273	-1.492347485434703	0.000088259697308	0.000026488269285	0.300117381915396	0.520445204774424	0	2	1	3	5	2	4	5	5	4	7	3	6	6	8	8	7	8	8	7	7	10	10	9	10	10	10	13	11	13	12	12	12	12	13	13	14	15	14	15	15	13	16	17	17	20	19	23	24	0	3	1	3	1	1	12	2	6	6	7	2	8	5	13	10	12	10	7	13	8	19	16	10	18	15	2	16	24	25	15	24	11	27	29	26	26	24	42	42	36	33	36	41	42	41	41	47	47	1	1	1	1	2	1	1	2	1	2	1	1	1	1	1	1	2	2	2	1	1	1	1	3	1	2	5	2	1	2	2	2	3	1	1	2	2	3	1	1	1	1	1	2	2	3	2	2	3
23500	-295.919514382525563	-294.170838424594024	-1.748675957931516	0.000115809633571	0.000021944873092	0.189490912072026	0.549046122929970	0	3	4	2	4	4	4	3	5	4	8	6	5	7	8	8	8	8	8	6	9	9	9	9	10	8	9	12	11	13	13	13	12	11	12	14	13	15	15	15	14	14	16	18	16	17	18	22	23	0	4	8	1	2	4	2	1	8	2	7	6	1	5	3	14	12	10	13	13	12	12	16	2	18	7	2	23	24	25	15	24	26	27	29	22	26	32	42	26	15	33	37	41	39	43	26	43	44	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	1	2	2	1	1	1	2	1	2	1	2	2	2	1	2	2	2	2	1	1	3	2	1	1	3	4	1	2	3	1	1	6	2	2
24000	-281.409207915449144	-279.964759092608062	-1.444448822841073	0.000071685845839	0.000024498599348	0.341749463385018	0.739528794788353	-1	2	3	3	3	3	4	4	4	5	7	6	7	7	7	6	7	7	8	8	9	11	9	9	10	10	10	12	12	12	14	13	12	13	13	13	12	15	14	16	14	16	16	16	17	20	20	21	24	0	1	1	1	1	1	2	1	2	6	5	9	9	5	12	8	12	10	7	13	15	26	16	18	18	19	20	23	24	18	21	24	7	27	29	22	19	18	33	33	36	39	41	41	39	44	44	44	43	1	1	2	1	2	2	1	2	1	1	2	1	2	1	1	1	1	2	2	1	1	1	1	1	2	1	2	2	1	3	1	2	3	1	1	1	2	3	1	2	1	2	2	1	1	2	2	2	4
24500	-312.103216734229136	-309.389826642461344	-2.713390091767782	0.000109435786114	0.000007979959508	0.072919104359217	0.575193639491410	-1	1	4	1	5	5	3	4	5	5	7	3	7	7	8	9	7	9	6	8	9	9	9	7	10	8	12	11	10	12	13	13	12	12	13	14	14	12	14	16	14	16	16	17	18	18	20	22	23	0	1	1	1	8	12	4	1	2	1	19	2	12	9	9	9	9	24	7	13	13	15	15	10	8	19	20	16	24	18	15	38	19	3	29	31	11	24	33	37	11	33	36	41	42	41	36	43	44	1	1	3	1	1	1	1	3	2	2	1	1	2	1	1	2	1	1	1	1	1	1	1	1	2	1	1	2	2	1	3	1	3	5	2	1	3	3	1	1	2	2	1	1	1	3	4	2	3
25000	-268.361402031659964	-266.765480470402053	-1.595921561257924	0.000090347307836	0.000021846511804	0.241805896904233	0.637695273832681	0	2	2	4	5	4	4	3	5	4	6	5	7	7	9	6	8	8	7	6	9	10	9	10	11	8	11	13	12	13	12	12	11	12	13	14	14	14	15	16	13	16	16	17	17	19	19	21	22	0	1	1	2	8	2	3	3	3	2	7	8	9	5	9	2	11	10	11	6	5	26	16	18	18	7	21	23	24	25	15	24	5	27	32	15	21	32	33	39	8	33	36	36	42	44	43	44	44	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	2	1	2	1	2	2	1	2	1	1	1	1	3	1	1	3	2	1	2	1	5	2	1	2	1	1	1	2	2
25500	-285.126633463839482	-282.792539071766782	-2.334094392072711	0.000150429521252	0.000014984567672	0.099611881680176	0.797771942773718	0	1	3	2	3	4	4	2	4	4	7	5	7	7	8	8	7	8	8	6	9	10	9	9	10	10	11	12	11	12	14	12	12	12	13	13	15	13	15	15	15	14	17	18	18	19	20	22	24	0	1	2	2	1	8	5	2	8	2	7	5	3	5	12	20	12	10	7	5	15	21	17	17	10	19	5	23	24	18	27	29	19	11	24	20	36	24	42	42	27	33	31	41	42	41	44	44	47	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	1	2	2	2	1	1	1	1	2	2	1	4	2	1	1	1	1	2	1	2	3	1	3	1	1	2	1	2	1	2	2	1	2	2
26000	-328.619732040269923	-327.129980433995911	-1.489751606274003	0.000124094308771	0.000037480419832	0.302031738631281	0.621630005190229	-1	2	4	4	5	4	4	3	2	4	8	6	6	6	9	9	9	7	8	7	8	10	7	9	9	10	12	12	12	12	13	11	12	11	13	13	13	13	15	16	15	13	17	15	18	20	20	23	22	0	1	9	9	2	8	2	2	1	9	7	4	3	5	3	1	20	10	7	3	3	21	9	11	18	11	16	16	24	16	21	6	15	23	29	32	26	18	42	33	31	33	36	22	39	41	44	43	47	1	2	1	1	1	1	1	1	2	1	2	1	1	1	2	5	1	1	2	2	2	1	2	1	1	1	2	1	2	2	4	2	2	2	1	1	1	3	1	3	1	1	2	4	1	2	2	3	1
26500	-315.118859717722671	-313.417190904377435	-1.701668813345217	0.000120702615000	0.000024502761187	0.203001079859490	0.572353525347589	0	2	4	3	5	2	4	4	5	4	7	6	6	8	8	6	8	8	7	7	9	10	9	9	10	9	11	13	13	13	13	10	12	13	12	13	13	14	14	15	14	14	17	15	18	19	20	22	24	0	1	2	1	1	1	6	1	8	6	7	1	2	13	11	2	13	19	7	7	12	8	16	10	18	11	15	6	24	25	12	12	22	27	24	21	19	22	37	39	23	33	3	22	39	28	46	43	46	1	2	1	1	3	1	1	2	1	1	1	2	2	1	1	2	1	1	2	1	1	2	2	2	1	1	1	5	2	2	3	2	1	1	1	2	3	2	1	1	2	1	6	2	2	3	1	2	2
27000	-297.758336491235241	-295.903179234955644	-1.855157256279617	0.000144910580581	0.000023824885513	0.164410945128614	0.527448982916524	-1	1	3	3	5	4	3	5	4	5	8	5	6	8	8	8	7	8	7	7	10	11	10	9	10	9	10	12	11	12	13	12	11	12	13	13	14	14	15	15	15	14	16	18	17	19	19	22	24	0	1	2	2	4	1	2	4	2	6	4	2	9	6	20	2	8	7	13	13	15	14	18	10	11	11	12	23	24	25	20	24	18	27	24	22	19	29	33	37	37	11	18	36	39	41	41	44	43	1	1	1	1	1	2	1	1	2	1	3	1	1	2	1	4	1	3	1	1	1	1	1	2	1	1	3	2	2	2	4	2	2	1	2	1	4	2	2	1	1	3	2	2	1	3	2	2	4
27500	-301.580867790056118	-299.838301520087271	-1.742566269968866	0.000089684650454	0.000017143021294	0.191147773979497	0.520454427596784	0	2	3	4	4	4	4	2	4	5	8	5	6	6	7	8	8	7	8	6	10	11	10	9	11	9	11	12	11	13	14	12	12	13	12	14	14	15	15	16	15	14	16	17	17	19	20	23	23	0	1	1	1	1	8	3	1	2	7	6	9	1	9	9	4	20	10	7	3	15	12	16	18	18	20	13	16	24	20	8	24	26	20	24	21	11	24	42	42	7	33	36	43	31	31	44	47	47	1	1	2	2	2	1	1	1	1	1	2	1	4	1	1	2	1	1	2	3	1	2	1	1	3	1	2	3	1	2	6	2	2	3	2	2	3	2	1	1	7	1	1	1	1	3	2	2	2
28000	-342.385825193522862	-340.536281302856878	-1.849543890665965	0.000141475882034	0.000023425380032	0.165578610961618	0.468369494201782	-1	2	3	3	4	4	2	4	2	4	8	5	5	8	9	8	8	8	9	7	9	10	10	8	11	9	12	13	9	13	14	13	12	12	12	13	14	13	15	13	14	15	16	17	18	19	19	22	23	0	1	1	2	2	9	1	2	1	9	2	2	6	5	4	9	8	3	17	13	2	24	20	6	15	12	15	23	11	26	20	24	8	21	29	27	2	24	37	26	28	3	41	43	37	42	18	41	43	1	2	2	1	1	1	1	1	2	1	3	1	1	2	4	2	2	2	1	1	4	1	1	2	1	3	2	2	1	2	3	2	4	2	2	1	6	3	1	1	1	5	1	1	2	2	4	4	3
28500	-319.956931045266856	-317.641049870446295	-2.315881174820558	0.000149667266353	0.000015155080703	0.101258485390141	0.518585706867027	0	2	4	3	5	5	3	5	4	4	8	6	6	7	7	6	9	9	8	7	9	10	9	9	10	9	12	12	11	12	13	11	13	11	13	13	14	14	14	15	15	14	14	17	16	19	19	22	24	0	1	2	1	4	2	1	2	2	2	14	5	5	2	9	6	8	10	7	13	14	12	16	10	18	7	22	16	24	24	21	26	11	11	29	24	8	30	19	33	22	8	19	41	39	28	44	46	44	1	1	1	1	1	2	2	2	1	1	1	1	1	3	2	1	2	2	3	1	1	2	2	2	1	3	1	4	1	2	2	2	4	2	1	2	6	2	2	1	2	5	3	2	1	4	1	2	3
29000	-262.207819434905957	-260.316484974152388	-1.891334460753594	0.000091248526746	0.000014346747841	0.157227172350366	0.741073811894494	0	2	2	1	3	3	4	5	4	4	6	5	5	7	8	7	8	7	8	7	10	11	9	9	10	8	11	12	11	13	12	11	11	13	12	13	12	15	13	16	15	15	17	17	17	19	19	21	24	0	1	1	1	1	1	2	3	1	6	9	2	2	5	20	3	20	10	7	13	17	21	16	18	18	11	13	16	24	32	21	24	26	27	29	15	15	32	33	33	36	39	41	41	42	43	44	44	48	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	2	1	2	2	1	1	1	1	2	1	1	4	2	1	1	2	1	1	1	1	3	3	2	1	2	1	2	2	1	1	1	1	2	1
29500	-285.368717438402882	-283.303275101487316	-2.065442336915595	0.000087540017425	0.000011310297682	0.129201455683957	0.566261747155342	0	1	3	4	4	3	4	3	4	5	6	6	5	8	6	9	8	9	8	7	9	11	7	10	10	9	12	12	12	11	13	12	13	13	13	14	15	14	14	15	14	16	17	17	18	18	19	21	23	0	1	2	1	1	2	2	2	8	6	7	9	9	4	4	23	9	10	11	3	15	21	4	5	18	14	13	16	18	25	2	24	11	27	24	15	7	32	33	33	17	39	41	41	39	31	43	47	36	1	1	1	2	2	1	1	1	1	1	1	1	1	2	1	1	2	4	1	2	1	1	1	3	1	1	2	2	1	1	5	1	3	1	1	4	3	1	1	1	2	1	2	2	2	2	1	1	4
30000	-296.882102436722562	-294.873523153378017	-2.008579283344520	0.000105852772054	0.000014538522413	0.137346638460073	0.520907818482740	0	2	3	3	3	4	4	4	4	5	7	6	7	7	6	8	8	8	8	6	9	10	10	10	10	10	12	12	12	13	14	12	12	10	12	13	14	12	15	15	13	15	15	17	17	18	20	22	22	0	1	1	1	1	5	1	2	5	6	2	3	20	5	4	14	2	10	11	8	12	12	16	18	18	11	34	23	24	25	9	18	26	1	24	21	17	24	26	33	19	37	41	22	42	43	36	47	47	1	1	2	2	1	1	3	2	1	1	2	1	1	2	1	1	3	2	1	1	2	2	1	1	1	2	1	1	1	2	5	2	1	4	1	2	2	1	3	2	2	1	1	4	1	1	3	1	1
30500	-277.817275417223698	-276.136481801655748	-1.680793615567957	0.000098947987574	0.000020741871678	0.209623987174348	0.721655624713985	-2	2	3	2	3	5	4	5	4	4	7	6	5	7	8	8	9	8	6	7	9	10	9	10	11	8	11	13	12	12	13	12	12	12	13	12	14	15	14	16	14	15	15	17	18	20	19	21	23	0	1	1	1	1	3	5	2	3	2	19	8	9	3	8	20	15	19	7	13	12	15	16	6	18	7	21	23	24	25	22	18	21	27	29	19	31	29	33	42	15	39	36	41	33	47	43	44	47	1	2	2	2	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	3	2	2	1	2	1	1	2	2	1	1	1	2	1	3	1	1	1	1	2	1	3	1	2	2	1
31000	-297.706789471629804	-296.081296172624207	-1.625493299005620	0.000083819267394	0.000019234990633	0.229481731717104	0.734419564897679	-1	1	3	3	4	4	4	3	4	4	6	5	6	7	8	7	8	9	7	8	10	11	10	9	10	9	11	10	11	12	12	13	12	13	13	13	13	15	14	16	14	16	17	18	16	19	19	22	23	0	1	1	2	3	2	3	1	4	2	7	8	1	5	9	9	9	19	7	12	20	20	16	8	24	19	20	8	24	25	17	18	2	27	29	15	11	32	33	37	36	37	37	41	33	44	41	47	47	1	1	2	1	1	1	1	2	1	1	2	1	3	2	1	1	2	1	2	1	1	2	1	2	1	1	1	2	1	1	1	1	4	1	2	2	4	1	2	1	1	2	2	2	2	1	2	2	3
31500	-286.031090370769391	-283.905792764232501	-2.125297606536912	0.000128006458467	0.000015548378070	0.121465574908504	0.622567861699402	0	2	3	2	4	4	4	4	5	4	6	5	7	7	8	8	7	8	8	6	8	11	10	8	9	9	11	11	11	12	12	12	11	13	12	14	14	14	14	14	15	15	16	17	18	18	19	22	23	0	1	1	1	2	1	1	2	8	2	7	2	20	5	9	3	6	12	11	8	20	19	16	10	24	12	15	23	12	25	1	24	26	27	29	26	26	31	33	33	37	33	41	41	39	43	36	44	48	1	2	2	1	1	2	1	1	1	1	1	2	1	2	2	2	1	1	1	1	1	1	2	2	1	2	2	1	3	2	4	3	1	1	1	4	2	1	1	2	1	2	1	1	2	1	3	2	1
32000	-279.815493622929921	-278.275321174424448	-1.540172448505462	0.000092508391486	0.000024932567041	0.269516815078751	0.642736098372251	-1	2	4	2	3	3	3	1	4	3	6	5	4	8	7	8	9	8	9	6	9	7	10	10	10	10	10	11	12	13	11	12	11	12	12	12	15	14	13	15	15	15	17	17	17	18	19	22	24	0	8	5	1	8	1	8	1	2	1	2	8	2	12	9	12	15	6	20	13	9	10	16	21	18	11	21	16	24	25	1	24	26	27	24	21	31	24	33	39	28	39	41	41	39	43	44	47	43	1	1	1	1	1	2	1	1	1	2	2	2	1	1	1	1	1	2	2	1	2	2	1	1	1	2	1	2	1	2	6	1	1	1	1	2	2	3	2	1	1	1	1	1	2	1	1	2	4
32500	-288.578333578704701	-286.694647993420062	-1.883685585284656	0.000123569759469	0.000019610362936	0.158698722244716	0.587023380903766	0	2	1	4	4	5	3	4	3	5	7	6	7	7	8	9	8	8	9	7	9	11	10	9	10	9	11	12	12	12	13	12	11	12	13	12	14	14	13	15	14	15	16	17	17	19	19	23	24	0	3	1	3	9	9	3	2	2	8	5	9	12	5	10	14	9	10	1	1	18	17	16	10	16	7	20	23	24	18	36	24	26	27	32	15	19	29	33	33	21	33	41	36	39	44	43	47	48	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	1	3	2	3	3	1	3	1	2	1	3	2	1	1	2	1	2	2	1	1	2	4	1	1	2	2	2	2	2	2	1	2	2	1
