step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80
1	-1697.890216406630543	-1704.745704357589830	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.395488917403733	0	2	3	1	8	6	8	7	7	9	9	11	10	12	11	13	11	12	14	13	13	14	15	13	14	14	13	14	14	15	15	14	15	16	16	17	17	17	18	17	17	18	17	18	16	18	18	17	17	19	19	18	17	21	20	20	19	20	20	20	20	21	20	21	22	20	23	23	21	23	21	22	22	21	24	23	23	23	24	26	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	4	3	4	4	4	5	5	6	5	6	6	7	6	6	7	7	7	7	8	7	7	7	7	7	7	8	8	7	8	8	8	9	9	9	9	9	9	9	9	9	8	9	9	9	9	10	10	9	9	11	10	10	10	10	10	10	10	11	10	11	11	10	12	12	11	12	11	11	11	11	12	12	12	12	12	13
500	-664.778062962947160	-671.633550913906561	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.213751028470794	0	2	4	1	8	6	9	7	6	7	8	11	9	10	10	13	11	12	15	12	12	14	15	13	14	12	13	14	12	15	16	13	14	16	16	18	18	17	18	18	17	18	16	17	15	18	19	17	18	19	20	17	17	21	20	20	20	20	20	19	19	21	19	22	20	21	24	23	22	24	22	22	21	21	25	24	24	24	25	24	0	1	1	1	6	3	10	3	3	3	6	7	9	3	9	29	10	9	26	10	14	8	20	17	29	15	15	5	12	27	12	7	26	7	22	19	44	18	17	33	10	7	33	13	15	7	20	8	27	9	18	13	33	24	18	10	42	41	26	17	7	14	44	3	41	14	45	15	60	3	14	3	65	9	33	18	48	51	8	45	1	2	3	1	1	1	2	2	2	2	1	2	2	3	2	1	2	4	2	2	2	4	1	1	1	1	2	4	1	1	3	2	2	3	1	1	1	2	5	3	4	4	1	5	3	5	5	5	3	7	5	5	1	4	3	8	1	2	3	4	5	6	1	8	1	7	5	9	2	13	7	10	1	5	6	7	4	2	11	5
1000	-553.139429647961947	-559.994917598921347	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.425956845970262	0	1	3	2	8	7	8	7	7	10	9	11	11	13	11	13	12	11	14	13	11	14	15	14	14	14	13	14	15	15	15	15	15	16	17	17	18	16	19	18	17	16	18	18	16	19	17	17	17	18	20	17	17	22	21	20	18	20	20	19	20	21	20	20	22	21	23	23	21	24	20	22	22	22	24	22	21	24	24	25	0	1	2	2	3	3	3	3	3	9	8	7	9	8	10	13	13	7	20	7	11	11	20	12	7	9	12	10	28	27	17	28	18	18	21	19	15	29	23	33	29	20	33	10	12	45	33	8	9	12	29	20	33	44	40	44	26	10	33	31	45	48	52	53	52	14	29	30	24	45	35	14	63	58	40	50	71	74	66	10	1	1	1	1	2	2	2	2	2	3	1	2	2	4	1	1	1	2	1	3	1	2	1	2	3	3	2	1	1	1	1	1	2	3	5	3	3	1	2	2	1	1	2	3	3	2	1	5	4	3	3	2	1	2	2	1	2	4	2	2	2	4	2	2	3	5	4	4	3	4	2	6	2	1	2	2	1	2	2	6
1500	-464.414416921926488	-471.269904872885888	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.672575597062775	-1	1	3	2	7	7	9	8	7	9	10	12	11	12	11	13	12	11	14	13	13	14	15	14	14	14	14	14	12	15	16	14	16	15	16	18	17	17	18	18	17	18	17	17	16	19	15	16	17	18	20	18	18	21	21	18	19	21	18	20	20	20	20	21	22	20	23	24	20	24	21	22	23	21	24	22	22	23	24	26	0	1	2	2	3	3	9	5	3	5	6	7	10	8	10	17	13	7	10	7	14	14	18	13	29	29	12	29	7	29	17	12	19	18	14	26	27	28	23	19	28	29	33	12	27	37	5	21	28	38	50	38	19	31	40	31	19	38	33	31	18	48	52	53	50	35	37	46	56	61	48	62	58	63	59	51	71	74	77	68	1	1	1	1	2	2	1	1	2	1	2	1	1	2	1	1	1	1	3	2	1	1	2	1	1	1	1	1	2	1	2	1	1	2	2	1	2	2	2	2	1	2	1	3	1	1	3	2	2	1	1	1	2	1	2	1	2	2	1	1	3	2	1	2	2	2	4	4	2	2	2	1	1	1	3	1	1	1	2	1
2000	-494.188462070804803	-501.043950021764203	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.565744122245314	-3	0	4	1	9	6	8	7	6	9	10	12	10	12	10	13	12	12	14	11	14	15	15	13	14	14	14	15	14	14	15	13	15	15	15	17	17	17	19	17	17	18	14	19	16	19	19	18	16	19	20	18	18	22	20	20	19	20	20	20	19	21	20	21	22	20	22	24	20	24	21	21	22	22	24	23	23	23	25	26	0	1	1	2	8	3	9	9	3	9	8	15	10	11	9	13	13	9	32	7	11	21	18	13	18	18	12	29	18	16	24	5	19	29	21	26	27	29	23	33	28	15	20	16	27	37	32	35	27	38	50	38	43	24	40	17	43	38	40	31	18	14	52	53	50	48	37	46	12	47	66	48	58	58	59	58	62	52	77	68	1	1	5	1	1	1	1	1	2	2	2	1	1	2	2	2	2	4	1	1	2	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	2	1	2	1	2	4	2	2	1	1	3	2	1	1	1	1	2	5	2	5	2	2	1	3	2	5	2	2	2	1	4	2	4	3	1	2	1	1	3	2	1	3	2	1
2500	-502.316879978059546	-509.172367929018947	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.593870567430731	0	1	3	2	8	7	6	8	7	9	10	10	11	13	11	13	10	12	14	13	13	14	16	13	14	15	14	14	14	15	16	12	16	16	15	18	17	17	19	18	17	18	18	18	16	17	17	17	17	19	19	17	16	22	19	20	20	20	20	20	19	19	21	21	22	20	24	22	19	23	22	22	22	21	24	22	21	24	24	26	0	1	2	2	6	3	3	6	7	7	6	7	9	11	10	17	10	15	13	15	11	14	7	13	10	19	15	32	18	25	13	12	19	18	14	19	13	28	33	26	29	45	33	16	27	25	34	35	13	38	38	23	19	44	19	10	23	38	25	44	34	35	52	53	50	48	37	46	31	61	66	62	56	52	59	56	62	38	77	67	1	1	1	1	1	2	2	1	1	1	1	2	3	2	1	1	1	1	2	1	1	1	4	1	3	1	2	1	1	1	3	1	2	2	1	3	2	1	2	2	1	1	1	3	1	1	1	1	3	1	1	1	1	3	3	4	2	2	2	1	1	2	2	2	2	3	3	2	2	1	1	1	1	2	2	1	1	3	2	1
3000	-450.235143084359720	-457.090631035319120	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.684859745541621	0	1	4	2	9	6	9	8	7	9	9	10	11	11	11	13	12	12	14	13	13	14	14	13	15	13	12	14	14	14	16	14	15	15	15	16	17	17	18	18	17	18	17	18	15	18	19	17	17	19	18	18	17	21	20	20	19	21	20	20	21	21	20	21	22	19	23	22	22	23	21	22	21	21	23	23	22	23	24	26	0	1	4	2	3	3	9	6	3	9	8	9	10	8	9	10	13	7	26	7	14	21	18	17	20	7	9	7	20	12	16	18	16	23	21	26	45	20	23	19	29	34	19	24	27	45	53	35	18	51	38	38	19	44	40	44	33	50	40	31	47	66	52	40	58	48	46	44	56	47	66	62	63	50	40	63	71	74	77	68	1	1	1	1	2	1	1	1	1	1	1	1	1	2	2	2	1	1	1	2	1	1	1	1	1	2	2	2	1	2	1	1	1	1	1	1	1	2	2	3	1	1	1	2	2	1	1	1	2	1	1	1	2	2	2	1	3	1	1	2	1	1	2	2	1	1	3	2	2	3	1	1	1	1	2	1	1	1	1	2
3500	-466.584812545294938	-473.440300496254338	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.569758057528426	0	1	3	2	9	5	8	8	7	9	10	11	11	11	12	13	11	13	14	13	13	14	15	13	14	13	13	15	12	14	15	14	16	16	16	17	16	16	18	18	17	18	16	18	17	18	19	17	17	19	19	18	17	21	19	21	20	20	20	20	20	20	20	20	23	21	24	23	20	22	22	22	22	20	24	24	23	24	25	27	0	1	1	2	9	3	9	6	3	9	8	10	10	6	12	13	9	15	29	12	8	14	32	17	18	7	12	7	7	12	24	9	19	9	21	19	27	20	23	33	27	30	19	31	27	28	41	35	12	52	38	38	43	24	19	69	28	38	40	44	18	48	52	53	73	62	37	42	44	34	62	48	34	52	59	51	71	74	77	67	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	2	1	1	1	3	1	1	2	1	2	1	2	2	2	1	3	1	5	2	1	1	2	2	1	2	2	1	1	2	2	1	1	3	1	2	1	1	4	3	1	3	2	1	1	3	2	2	2	1	1	4	4	1	3	1	2	2	1	2	2	1	2	1	2
4000	-472.992097631604793	-479.847585582564193	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.611688449234846	-1	3	4	1	8	6	9	8	8	9	9	11	10	11	11	13	12	12	14	13	13	13	16	13	15	15	13	15	13	16	15	14	15	15	15	18	18	16	18	18	16	19	18	18	15	18	19	17	18	19	20	18	16	22	20	21	20	20	19	19	21	20	19	22	23	17	22	24	20	24	20	23	22	22	23	23	24	23	25	26	0	4	2	1	3	3	5	6	3	9	8	9	5	11	10	13	13	7	12	9	14	14	34	17	29	19	15	29	7	15	24	7	20	18	21	26	45	9	20	26	29	30	33	13	16	29	34	21	45	38	50	38	33	44	40	44	19	38	43	12	47	66	52	53	38	35	46	27	44	61	66	66	52	58	40	50	71	74	77	68	1	1	1	1	3	2	1	1	2	1	1	2	1	1	1	2	1	2	2	2	1	1	1	1	1	1	1	1	2	3	1	2	1	2	2	1	1	3	3	2	1	2	2	3	1	4	2	1	1	2	1	1	1	2	1	2	3	2	1	4	1	2	1	3	3	1	2	4	1	1	2	2	2	1	3	2	2	1	1	1
4500	-472.988767363599834	-479.844255314559234	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.563367094720611	-1	0	2	2	7	5	9	7	8	9	9	10	11	12	12	14	12	12	15	14	13	14	15	13	15	14	14	12	13	15	15	14	15	14	17	18	18	17	19	17	16	17	17	18	15	18	18	16	18	18	19	19	18	20	20	19	18	21	19	21	21	21	21	22	21	18	24	23	22	23	21	23	23	22	24	23	23	23	25	27	0	1	1	2	3	3	9	6	5	5	8	9	10	11	12	13	13	5	28	29	8	14	34	13	29	28	12	10	7	15	24	7	28	28	48	19	45	28	23	26	16	30	19	24	27	27	18	21	28	20	38	50	40	24	33	44	41	51	40	44	41	66	52	53	38	48	41	37	56	47	66	66	63	38	59	58	71	74	77	68	1	1	1	1	2	2	1	1	1	1	1	1	1	2	1	2	1	2	1	1	3	1	1	1	1	2	2	2	1	1	1	3	1	1	1	2	2	2	2	2	1	1	1	2	1	2	3	2	4	2	1	1	1	4	2	1	1	2	1	2	3	2	2	2	2	1	4	2	2	2	2	2	1	2	3	1	1	1	2	2
