step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28
5500	-151.095430830108029	-157.034628049193259	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.730141132791943	0	-1	2	2	5	4	6	6	5	7	6	7	7	7	6	9	9	11	7	8	9	10	13	12	10	11	14	14	0	0	1	1	2	3	4	6	6	6	6	9	11	8	9	12	7	25	0	11	12	14	21	0	11	21	24	25	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	2
6000	-168.339278408543095	-174.278475627628325	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.840969302765373	0	-1	1	3	4	3	5	7	6	7	5	7	5	6	5	10	9	11	8	8	10	11	12	12	9	13	14	14	0	0	1	1	2	3	4	6	15	14	6	9	6	6	6	9	7	21	0	11	12	14	21	0	20	21	24	20	1	1	1	2	2	1	2	1	1	1	1	1	1	2	1	2	2	1	1	1	1	3	1	1	1	1	1	2
6500	-154.649108871230311	-160.588306090315541	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.755254933247352	-1	0	1	3	5	4	5	6	5	7	6	6	6	7	6	9	10	11	7	8	9	9	12	10	12	12	13	14	0	0	1	1	2	3	4	6	6	6	6	9	6	8	9	12	7	16	0	11	12	14	21	0	9	21	24	25	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	2	2	1	1
7000	-167.194339999771017	-173.133537218856247	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.721447048143224	-1	0	1	2	3	3	5	6	4	7	7	6	7	6	6	8	9	12	9	9	8	10	12	9	11	12	14	14	0	0	1	1	2	3	4	6	6	6	14	9	14	6	9	9	7	12	0	11	12	14	21	0	20	21	24	25	1	1	1	1	1	1	1	2	1	2	1	1	1	2	2	2	2	2	1	2	1	2	2	1	1	2	3	1
7500	-163.263372990262241	-169.202570209347471	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.741154396435424	0	0	1	2	4	3	5	6	4	7	5	6	7	7	6	9	10	10	9	8	9	10	13	12	12	11	14	14	0	0	1	1	2	3	4	6	6	15	6	9	6	8	9	12	4	12	0	6	12	14	21	0	20	21	24	25	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	4	2	1	3	2	2	2	1	2	1	1	1
8000	-164.067164661132551	-170.006361880217781	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.706230686622487	0	0	1	1	4	4	5	7	5	7	6	7	7	6	5	9	9	9	8	9	10	11	13	11	12	12	14	14	0	0	1	1	2	3	4	14	6	11	6	15	11	6	6	12	7	12	0	11	18	14	21	0	13	21	24	11	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	2	1	1	3
8500	-155.827946421861100	-161.767143640946330	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.632282984189033	1	1	2	3	5	4	6	7	5	8	6	7	7	6	7	9	8	11	8	7	9	9	12	11	12	11	14	13	0	0	1	1	2	3	4	14	6	11	6	9	6	6	9	12	7	12	0	11	12	14	21	0	20	21	24	20	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	2	2	1	1	1	2	1	1	3	1	1	2
9000	-163.738935489846767	-169.678132708931997	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.702781964677648	0	0	1	3	3	3	5	6	5	8	6	6	8	7	7	8	9	11	9	9	10	10	13	10	12	12	13	11	0	0	1	3	2	1	4	6	6	6	6	9	8	8	9	12	7	12	0	11	12	14	21	0	11	18	24	20	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	2	1	2	2	2	2	1	4	1	2	1
9500	-176.131436002758704	-182.070633221843934	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.615100625517503	0	1	1	2	5	4	5	5	5	7	7	6	6	7	7	9	8	11	8	7	8	10	12	10	11	10	15	15	0	0	1	1	2	3	1	6	6	6	8	9	6	8	6	12	4	21	0	6	12	8	21	0	6	21	24	20	1	1	1	1	2	2	3	1	1	2	1	1	1	1	1	1	3	1	1	2	1	2	2	1	2	1	2	3
10000	-150.472372815897188	-156.411570034982418	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.647462645513679	-1	0	1	1	3	3	4	5	5	7	6	7	7	6	6	10	8	11	8	8	9	10	12	11	12	12	14	14	0	0	1	1	2	3	4	6	6	6	9	9	6	8	9	12	7	21	0	11	12	14	21	0	11	21	24	25	1	1	1	1	2	1	2	1	1	2	1	1	2	1	1	2	2	1	1	1	1	2	1	1	2	2	1	1
