step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103
1	-2266.556117751994407	-2273.411605702953693	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.796310430651373	0	4	7	8	10	11	11	10	12	12	15	15	14	16	17	16	17	18	19	20	19	20	22	21	21	21	23	24	23	22	22	22	23	23	24	26	24	24	24	24	24	25	25	24	26	26	26	26	26	26	26	27	28	27	27	26	26	27	27	28	27	27	28	29	29	28	28	29	29	30	30	29	29	30	30	31	31	31	31	34	31	33	33	31	32	33	33	34	34	34	37	34	35	35	36	36	35	37	39	42	42	43	45	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	4	4	5	6	6	5	6	6	8	8	7	8	9	8	9	9	10	10	10	10	11	11	11	11	12	12	12	11	11	11	12	12	12	13	12	12	12	12	12	13	13	12	13	13	13	13	13	13	13	14	14	14	14	13	13	14	14	14	14	14	14	15	15	14	14	15	15	15	15	15	15	15	15	16	16	16	16	17	16	17	17	16	16	17	17	17	17	17	19	17	18	18	18	18	18	19	20	21	21	22	23
500	-590.292088177893106	-597.147576128852506	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.197223684863439	0	4	8	8	10	10	11	10	11	13	15	15	14	16	17	16	14	18	20	20	19	21	21	21	21	21	23	24	22	23	20	22	22	22	24	25	24	24	24	24	24	26	26	25	27	27	27	24	26	26	25	26	28	27	27	25	26	27	27	27	27	27	27	29	30	28	29	30	27	30	31	30	29	30	30	31	31	31	32	35	30	33	34	30	33	34	33	34	35	34	37	35	35	34	36	36	36	37	40	41	41	43	45	0	1	2	2	4	4	6	1	4	4	9	4	3	8	4	7	10	7	15	10	13	17	5	16	5	4	9	15	23	26	11	3	15	5	22	35	16	31	2	13	19	33	48	15	2	4	41	24	29	13	2	16	1	8	52	3	7	48	25	33	27	48	56	6	21	52	44	15	5	12	5	11	41	28	11	5	34	3	28	6	12	16	29	10	2	72	77	5	13	31	4	15	4	9	1	1	44	4	56	6	3	10	2	1	3	2	2	1	1	1	4	2	2	2	3	3	3	4	3	1	4	1	4	2	4	7	1	4	5	5	3	1	1	3	7	4	5	1	1	4	2	10	4	3	2	1	3	11	10	1	1	2	5	9	6	14	7	1	8	8	2	3	3	2	2	1	11	6	1	3	6	9	9	12	7	3	3	8	12	5	14	4	9	7	8	5	9	16	2	1	11	13	8	13	8	18	14	16	18	7	14	7	17	16	15	18
1000	-567.215739639390222	-574.071227590349622	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.212805417775823	1	5	7	8	9	12	11	10	12	12	15	16	14	17	17	17	17	18	20	19	20	20	22	21	21	20	23	25	24	23	23	22	24	24	25	25	25	23	23	23	23	25	25	22	26	25	24	26	26	27	27	27	28	27	27	27	26	27	27	29	27	26	28	30	28	29	28	28	28	29	30	29	29	29	30	31	31	32	32	34	31	33	33	32	31	33	32	34	34	34	37	33	36	36	36	36	36	35	39	42	41	43	46	0	1	1	3	2	3	4	4	7	8	6	5	7	11	6	4	7	11	9	2	9	9	6	7	3	6	11	38	31	24	19	9	44	17	27	39	32	17	5	6	22	14	29	5	5	2	19	32	29	11	17	31	9	47	34	23	24	33	25	48	12	17	26	25	44	13	24	46	21	42	36	47	35	4	61	15	68	22	37	59	26	46	12	52	2	46	48	10	9	63	42	85	12	36	3	2	35	67	91	96	8	8	2	1	2	3	1	2	2	1	1	1	1	2	4	2	1	3	4	2	2	3	8	3	5	4	6	6	3	3	1	1	1	1	5	1	3	1	1	2	3	6	5	2	4	1	7	10	10	2	2	2	5	5	3	9	1	2	2	3	2	2	2	7	4	4	5	2	9	3	3	3	3	3	2	3	9	1	7	2	6	3	3	6	4	9	4	16	2	3	14	12	3	6	1	10	5	13	16	5	3	1	3	16	14	18
1500	-541.159196171729377	-548.014684122688777	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.295750004394356	-1	3	7	9	10	10	11	9	12	11	15	15	14	17	17	16	17	18	19	21	19	21	22	21	22	21	24	23	23	23	23	22	23	23	24	27	24	24	25	24	25	26	25	25	26	24	27	26	26	26	26	27	28	27	28	27	26	26	27	28	27	26	28	28	29	28	27	27	29	30	31	30	27	30	31	31	32	31	32	34	31	32	32	31	33	33	33	34	32	33	37	33	35	34	37	37	35	37	37	42	41	42	44	0	1	1	3	2	3	4	3	2	4	6	8	7	6	8	9	7	5	16	13	15	21	1	12	21	21	17	19	25	17	23	11	7	6	23	5	23	17	31	10	21	46	10	31	31	6	21	13	25	27	26	58	13	2	46	40	26	11	40	62	44	46	49	3	43	5	43	57	47	61	28	44	30	14	66	34	64	43	70	26	42	21	52	46	9	36	81	77	49	53	55	11	5	89	10	67	48	49	83	78	21	93	67	1	1	4	1	4	2	1	1	4	1	3	3	2	3	6	2	2	3	2	2	1	1	10	4	1	2	4	2	1	3	1	4	7	6	1	8	1	2	2	6	2	1	8	2	1	6	3	7	2	1	3	1	6	11	2	1	2	3	1	1	1	1	1	10	2	9	1	1	1	1	3	3	2	8	1	4	2	2	1	7	2	6	2	3	13	3	1	1	4	1	3	8	14	1	15	5	5	7	3	5	11	3	7
2000	-592.237755867882015	-599.093243818841415	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.291125859143259	1	4	7	8	11	11	12	10	13	13	15	15	15	16	18	17	17	17	18	20	19	19	22	22	22	22	22	24	23	21	23	21	23	23	25	26	24	24	24	24	24	25	25	24	26	26	26	25	27	25	26	27	29	27	28	27	26	27	26	27	26	27	28	29	29	28	28	30	29	29	31	28	29	31	30	31	31	31	31	35	31	32	34	28	33	32	33	34	34	34	38	34	34	36	34	37	36	38	38	42	42	42	44	0	1	1	1	1	3	6	4	5	8	6	10	8	6	12	14	10	6	10	15	18	13	9	32	22	10	21	14	24	10	20	13	13	4	23	16	30	8	26	7	34	44	13	23	44	4	22	16	40	22	11	50	56	12	33	27	15	13	29	27	25	26	19	9	33	25	23	18	13	34	55	26	29	61	18	53	61	52	57	54	67	6	71	25	13	5	67	54	25	70	97	7	73	69	5	57	85	79	77	89	75	6	91	1	2	2	3	6	2	1	1	2	2	2	1	3	3	2	1	2	3	3	1	1	3	4	1	2	6	1	4	1	4	2	2	3	7	1	5	1	6	1	7	1	1	4	1	1	10	3	4	2	3	5	1	1	7	2	3	4	6	1	4	2	2	6	7	3	3	4	9	8	3	1	2	3	2	6	1	2	2	3	4	1	9	2	2	11	8	3	2	7	2	1	10	3	4	11	5	2	4	2	6	7	11	4
2500	-526.166500142680320	-533.021988093639720	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.303468658173071	0	4	7	9	10	10	12	9	13	12	15	15	14	16	18	17	17	18	19	20	20	20	23	21	21	19	23	25	22	23	21	22	23	24	25	26	24	24	24	24	25	25	25	24	27	27	26	25	26	25	25	27	28	27	26	26	27	26	26	28	28	27	28	30	29	25	28	29	29	30	28	29	29	30	30	32	31	31	29	35	32	33	33	31	33	33	33	31	35	33	37	34	33	34	36	37	36	38	40	43	42	43	45	0	1	2	3	3	4	5	2	4	5	8	10	7	11	16	5	7	6	7	2	8	5	16	4	10	17	15	33	21	21	1	11	8	13	27	37	14	6	15	15	27	3	5	26	6	23	25	12	43	20	5	19	24	35	37	50	15	6	41	45	19	13	21	17	28	29	58	26	9	19	15	47	55	52	24	30	20	47	62	17	21	26	58	11	30	21	59	42	54	81	61	5	48	28	17	72	88	91	85	81	81	31	98	1	3	1	1	1	1	1	2	4	1	3	2	1	1	1	4	2	4	4	8	5	4	4	5	5	1	2	1	1	2	12	2	6	4	1	1	4	6	4	4	1	8	6	2	8	2	2	7	1	3	7	4	2	1	1	1	4	9	1	1	4	7	5	7	2	1	1	6	8	5	6	1	2	2	4	4	5	3	1	9	7	6	4	7	4	7	4	2	5	1	4	11	5	4	11	4	3	1	3	6	5	11	5
3000	-555.326589601221372	-562.182077552180772	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.371603652903789	0	4	7	8	10	11	12	9	11	12	15	15	14	17	18	16	16	18	18	20	19	20	23	21	21	22	24	25	23	22	23	23	23	23	25	26	22	24	24	24	21	23	24	24	26	26	27	25	26	26	27	28	27	27	27	26	27	26	27	28	27	25	29	29	28	28	29	29	30	31	31	30	28	28	30	30	30	31	30	35	31	33	33	31	33	34	34	34	34	34	35	34	36	34	36	37	36	37	39	42	42	42	45	0	1	1	2	4	4	6	2	3	8	9	6	9	16	16	10	8	17	13	17	14	19	11	7	10	24	17	17	18	17	1	25	16	41	31	62	41	41	25	11	11	9	25	37	13	39	40	39	29	18	44	33	28	56	37	18	43	20	37	34	48	11	26	41	46	44	23	47	31	48	39	54	33	49	55	34	14	77	23	48	58	74	69	17	70	41	59	25	79	67	51	13	72	35	7	93	87	88	29	28	7	80	101	1	2	3	2	1	2	1	3	2	2	2	2	2	1	1	2	3	1	2	2	1	1	3	4	4	1	4	6	3	3	11	1	4	1	1	1	1	1	2	5	4	5	3	1	6	1	1	1	2	2	2	3	1	1	3	4	1	3	2	3	1	6	2	5	1	3	3	1	3	2	4	2	2	1	2	4	7	1	4	6	3	2	2	10	1	7	4	6	3	3	4	10	4	4	14	1	1	2	7	9	13	2	2
3500	-550.954698053537413	-557.810186004496813	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.396458874998480	1	5	8	9	11	12	12	11	13	13	16	13	15	15	17	17	18	19	19	19	18	20	23	21	21	22	23	24	23	23	22	21	22	23	23	27	25	23	25	22	24	25	25	24	26	27	26	26	26	25	26	28	28	27	26	27	27	27	27	28	28	26	29	29	29	26	29	29	29	31	30	30	29	30	29	31	30	30	31	34	31	33	33	31	32	33	34	32	34	35	37	34	34	34	37	37	35	38	39	41	43	43	45	0	1	2	1	3	3	2	3	5	5	10	6	12	3	5	10	10	10	13	5	6	7	25	21	12	22	10	35	15	21	22	15	5	10	11	42	38	24	10	5	29	23	23	35	35	30	33	41	35	44	25	50	27	27	43	45	43	41	15	36	31	29	6	11	58	11	51	7	59	50	68	61	61	28	22	60	34	67	69	61	47	11	56	4	57	15	76	25	63	76	97	11	85	72	9	87	26	79	40	96	80	80	101	1	2	1	5	2	2	4	1	1	1	2	1	1	5	3	2	3	3	3	3	4	4	1	2	3	1	5	1	4	3	1	2	5	5	3	2	1	1	6	3	1	1	2	1	2	2	2	1	1	1	2	1	3	2	1	1	1	2	5	1	3	2	6	6	1	4	2	7	1	4	1	1	1	3	5	1	4	1	2	2	1	9	3	11	3	9	2	5	2	2	1	9	1	2	11	1	8	3	7	2	5	6	1
4000	-548.506084085484645	-555.361572036444045	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.347727541340752	0	5	6	8	8	11	11	9	12	12	15	14	13	16	18	17	17	19	18	19	18	20	22	21	22	21	24	25	23	22	23	22	23	20	25	23	23	24	24	23	24	25	25	25	26	26	27	26	26	24	26	27	27	26	28	26	27	27	27	29	28	28	28	27	28	27	28	30	28	29	29	30	29	30	30	32	31	31	31	34	31	34	33	31	29	33	33	33	34	35	37	33	36	36	35	35	36	37	39	43	42	43	45	0	1	2	1	2	8	8	4	3	4	6	4	6	8	8	4	6	6	5	13	14	9	15	17	17	21	11	31	24	13	24	15	15	9	36	24	24	11	9	16	24	39	37	18	25	14	30	27	32	15	15	43	4	41	36	23	36	23	16	59	28	35	36	13	39	37	45	1	23	65	33	15	43	58	49	73	68	74	66	85	58	7	68	17	53	9	41	68	68	65	81	60	80	23	56	89	27	77	75	101	80	83	102	1	3	1	3	2	1	1	1	3	2	1	4	1	4	5	5	2	4	6	3	1	4	1	3	3	2	4	1	1	4	1	3	3	4	1	1	1	5	5	3	2	1	2	3	4	6	3	1	2	3	4	2	8	1	3	3	4	3	5	1	2	2	3	5	2	1	1	14	4	1	3	7	2	1	2	2	1	1	3	3	2	12	2	5	1	9	7	2	3	3	2	2	1	6	3	1	6	3	4	1	3	3	1
4500	-545.943564401587082	-552.799052352546482	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.338648948047049	0	4	7	8	10	12	12	10	12	12	14	15	14	15	17	15	18	16	19	19	19	20	22	22	20	21	22	24	23	22	23	22	23	22	24	27	24	25	24	23	24	25	26	25	27	26	26	26	26	26	26	26	28	24	28	26	26	28	25	29	28	27	27	28	28	28	28	29	29	30	30	29	28	29	30	31	31	30	32	31	31	33	34	31	31	33	33	34	34	33	38	35	34	36	36	36	32	37	38	42	41	40	45	0	1	2	3	4	8	3	3	4	4	9	5	6	3	13	6	16	10	6	17	17	5	20	17	12	14	25	31	32	4	17	3	10	17	22	44	20	24	10	25	19	23	4	35	31	29	39	34	27	6	34	41	25	34	41	28	13	24	40	67	42	29	52	31	41	28	56	10	15	55	67	6	34	55	65	46	41	73	47	67	69	48	30	3	33	29	33	8	15	76	92	76	53	43	24	79	74	74	77	101	75	91	69	1	2	1	1	1	1	2	2	3	2	2	2	1	4	1	1	1	1	2	1	1	4	1	2	2	3	1	1	1	8	2	8	6	1	3	1	2	1	5	1	2	1	8	1	1	1	1	2	2	7	2	1	3	1	2	1	4	4	1	1	1	2	1	3	2	2	1	9	6	1	1	9	4	1	1	3	3	1	2	3	1	4	6	13	3	5	4	9	9	1	2	3	4	6	7	1	2	5	3	1	5	1	7
