step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55
5000	-194.162112739357724	-201.017600690317096	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.751051404336858	0	2	4	5	7	6	6	6	5	8	7	8	9	9	9	10	8	10	8	9	9	11	10	9	11	11	9	13	12	11	12	12	14	11	13	12	14	14	13	15	16	15	14	17	16	16	16	17	18	20	19	20	21	20	21	0	1	2	3	4	3	4	3	3	11	2	11	8	2	9	19	9	6	5	10	8	14	17	17	15	14	11	10	30	13	12	34	34	21	29	26	29	36	27	28	38	22	31	26	40	31	42	46	47	49	40	49	52	0	48	1	1	1	1	1	1	1	1	1	1	2	1	1	3	2	1	1	3	1	1	1	1	1	1	1	1	1	2	1	1	3	1	2	1	1	1	1	1	1	1	2	2	1	2	1	1	1	1	1	1	2	1	1	1	3
5500	-184.423262820196129	-191.278750771155501	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.864069860564981	1	2	4	5	7	6	7	7	5	5	8	7	9	9	8	10	9	10	10	10	9	10	11	10	10	10	9	12	12	12	11	13	14	11	13	12	13	13	14	14	15	15	15	16	17	15	16	17	17	19	19	21	17	19	19	0	1	2	3	4	10	6	9	3	2	4	3	12	5	10	11	11	13	13	5	8	8	12	8	15	15	8	18	25	18	24	23	38	13	22	20	18	18	32	20	40	30	28	21	46	23	33	40	39	47	46	50	40	0	45	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	1	1	2	1	2	1	1	1	2	1	1	1	1	1
6000	-205.914418245671527	-212.769906196630899	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.695501420399971	0	3	3	4	7	6	5	6	6	8	5	9	10	10	9	10	8	9	7	8	10	10	11	10	11	11	11	11	13	11	11	13	14	10	13	13	12	15	14	14	15	13	15	16	16	17	17	17	18	18	20	21	20	19	19	0	1	1	2	8	4	2	3	11	5	2	8	10	2	6	20	6	19	11	8	15	2	14	15	15	14	24	17	25	21	18	7	27	12	6	30	24	35	36	23	13	31	32	39	40	41	38	28	38	40	48	53	54	0	37	1	2	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	4	1	1	4	1	1	1	1	2	2	1	1	2	1	1	1	3	1	2	2	1	1	1	3
6500	-161.569900784871578	-168.425388735830950	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.764899425025962	1	2	4	4	8	7	7	7	6	8	8	8	9	9	9	10	9	9	10	10	9	8	9	11	12	10	10	12	12	10	11	14	15	12	13	10	13	13	13	14	15	15	14	16	14	16	17	17	17	19	20	19	20	21	21	0	1	2	2	9	4	9	9	4	8	9	7	8	4	5	5	10	6	13	10	7	7	7	13	21	22	21	16	31	11	13	17	37	26	31	22	34	34	30	35	29	38	13	29	35	40	43	38	40	46	49	49	47	0	28	1	1	1	1	1	2	1	1	1	1	1	1	1	3	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	2	1	1	2	2	1	3
7000	-188.711974261236605	-195.567462212195977	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.789916865524864	1	3	4	4	7	7	5	7	6	7	6	8	9	9	10	11	8	8	10	10	10	10	11	11	11	11	10	12	12	11	11	14	12	12	13	12	14	14	13	14	16	15	13	17	16	17	18	17	16	18	19	20	20	21	20	0	1	1	1	4	7	3	9	4	7	2	6	9	8	12	12	8	7	9	8	7	18	15	6	14	18	18	30	22	15	14	9	30	10	13	25	30	31	30	19	32	36	33	34	2	45	44	40	42	41	49	51	48	0	20	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	2	1	1	2	1	2	1	1	1	1	1	4	1	2	2	1	1	1	1	1	1	1	1	2	6	1	1	2	1	1	1	1	1	1	4
7500	-193.243866784690880	-200.099354735650252	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.694614839131411	0	2	4	5	7	6	6	6	7	8	5	8	10	8	9	10	9	8	10	9	8	10	11	12	11	9	10	12	12	10	12	13	13	13	13	11	13	12	14	14	15	15	15	17	15	15	15	17	18	17	19	20	21	21	18	0	1	2	2	6	4	3	4	11	7	2	3	17	4	10	9	9	6	10	14	6	4	27	16	27	18	4	15	10	14	22	36	36	18	30	27	36	25	33	6	38	39	21	42	4	33	34	35	48	42	50	49	49	0	46	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	3	2	1	1	1	3	1	1	1	1	1	3	1	1	2	1	4	1	1	1	1	1	1	1	2	1	1
8000	-204.418661954468860	-211.274149905428231	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.678508149100596	1	3	2	4	7	5	6	6	6	8	7	9	10	10	8	10	8	8	8	8	8	10	10	10	10	10	10	12	12	11	12	13	13	12	14	11	13	15	13	14	15	14	14	15	15	17	16	18	18	19	17	20	19	21	20	0	1	1	1	3	2	1	6	2	3	7	19	15	18	8	19	7	7	7	9	5	21	18	18	19	20	9	17	20	10	26	16	19	20	13	10	25	29	26	28	16	36	14	5	34	21	35	47	47	48	45	48	46	0	47	1	1	1	1	2	1	4	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2	2	2	2	1	1	1	1	2	1	2	4	1	5	1	1	2	1	1	1	1	1	3
8500	-195.297157755590518	-202.152645706549890	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.783915579497019	1	2	5	4	7	5	6	7	6	8	6	9	9	8	10	9	8	10	10	9	9	10	11	10	12	11	11	13	12	10	12	14	14	12	10	13	12	14	12	14	15	15	15	15	16	16	17	17	17	17	18	21	18	21	20	0	1	4	2	9	2	4	7	6	9	6	17	7	4	9	14	7	14	17	9	8	16	15	9	15	10	21	39	15	17	27	17	24	26	17	22	27	18	22	37	34	33	28	24	12	34	38	41	41	33	50	55	43	0	41	1	1	1	1	1	2	2	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	2	1	1	2	1	1	2	2	1	2	1	1	1	1	1	1	1	2
9000	-205.154725299242983	-212.010213250202355	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.800229303570922	0	2	4	6	7	6	7	6	7	8	6	9	8	9	10	10	8	8	9	7	10	11	10	11	12	8	9	12	13	11	11	13	14	13	13	11	13	13	15	14	15	13	15	16	17	15	16	17	17	19	19	20	21	20	21	0	1	1	3	11	2	4	3	8	20	1	20	8	4	9	26	6	6	5	6	13	13	5	10	19	5	3	12	30	8	5	15	24	36	24	9	24	31	38	25	38	15	29	25	46	13	39	35	40	48	47	32	43	0	45	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	3	2	1	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	1	2	1	1	1	3	2	1	2
9500	-172.065817059050801	-178.921305010010173	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.763200865364061	1	2	4	5	8	7	6	4	6	7	7	8	9	8	10	10	9	9	9	8	9	11	11	11	11	10	10	12	12	12	10	14	14	12	13	13	14	15	14	14	15	15	15	16	16	17	17	17	17	18	19	21	20	20	20	0	1	2	8	7	4	8	1	4	9	4	11	2	7	19	13	5	5	5	11	12	7	16	13	11	12	12	16	15	26	14	34	35	11	18	24	34	35	24	28	32	15	34	40	15	41	38	28	37	45	49	51	51	0	48	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1	1	1	1	3	1	1	2	1	1	2	1	1	1	2	1	2	2	1	1	1	2	1	1	2	1	1	3	1	1	2	2	1	1	1	1	1	1
10000	-177.498684590793545	-184.354172541752916	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.910251288442809	1	2	4	5	7	6	5	7	7	7	8	8	10	9	9	11	8	10	9	9	9	10	10	11	11	10	11	13	12	11	12	13	13	12	13	13	14	14	15	14	15	14	15	16	16	16	18	18	18	19	19	17	21	20	20	0	1	2	2	6	3	3	7	3	4	10	4	17	10	7	9	9	12	8	12	3	17	12	20	18	7	23	30	22	14	18	16	25	26	21	30	32	22	37	32	29	35	31	10	36	20	45	45	46	48	45	36	55	0	48	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	5	1	2	1	1	1	1	1	2	1	1	1
