step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21
1	-928.912782916704714	-935.768270867664114	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.451380440422746	2	7	8	14	14	14	15	14	17	16	17	17	19	20	22	21	23	25	26	30	33	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	6	6	6	7	6	8	7	8	8	9	9	10	10	11	12	12	14	16
500	-192.021166199722671	-198.876654150682043	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.290172256429216	3	8	9	15	14	14	14	15	18	16	17	18	18	20	23	21	22	22	27	30	33	0	1	1	3	2	3	3	2	2	6	8	0	7	12	13	12	14	13	18	7	18	1	2	2	2	3	2	2	4	4	2	1	1	3	1	3	2	1	3	4	13	6
1000	-159.688607760342109	-166.544095711301480	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.301544989733509	3	8	8	14	15	11	14	11	18	16	17	17	19	21	20	21	23	24	27	31	34	0	1	1	1	8	3	6	2	2	6	4	0	7	12	7	12	14	13	15	18	19	1	3	2	5	2	2	2	1	4	2	2	1	2	2	3	2	2	3	3	4	3
1500	-149.329237603625870	-156.184725554585242	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.465739662051623	2	6	9	15	13	15	16	14	14	17	17	18	19	19	23	21	23	26	26	30	33	0	1	1	3	2	3	6	5	2	6	4	0	7	12	7	12	14	15	13	19	20	1	2	4	3	2	4	1	1	4	1	1	1	1	1	3	2	2	1	3	2	1
2000	-161.816791691229753	-168.672279642189125	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.631926375193101	3	8	9	14	12	12	16	14	15	16	17	17	20	19	22	21	23	25	27	29	34	0	1	1	6	2	1	2	5	2	6	4	0	7	12	7	14	14	15	18	19	20	1	2	2	1	1	4	4	1	4	2	2	1	2	1	2	1	1	1	1	1	2
2500	-146.118770321743654	-152.974258272703025	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.420191153863704	3	6	8	15	14	13	15	13	17	16	17	18	19	20	21	21	23	25	27	30	33	0	1	1	3	8	3	3	2	4	6	4	0	3	12	7	12	14	13	18	19	20	1	2	4	3	1	2	3	3	1	1	1	1	6	1	2	2	2	3	1	2	2
3000	-148.502049508524578	-155.357537459483950	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.424409622446646	2	7	9	12	15	13	15	14	17	17	17	16	20	21	23	21	23	25	26	29	33	0	1	2	1	8	3	6	2	2	6	4	0	7	12	13	12	14	13	15	19	20	1	2	2	4	1	2	1	2	4	2	3	1	2	3	2	3	1	2	2	2	2
3500	-187.177118315488343	-194.032606266447715	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.504676998145032	2	7	8	14	15	15	15	14	18	16	18	18	17	21	22	22	23	24	27	29	34	0	1	2	3	8	3	3	2	3	6	4	0	7	12	7	14	14	15	18	18	20	1	2	1	3	1	3	4	2	5	1	2	1	1	2	4	1	1	1	1	2	2
4000	-134.042342546729429	-140.897830497688801	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.544097198235494	3	7	9	12	13	13	15	15	16	16	16	18	19	20	23	22	23	25	26	30	34	0	1	1	1	2	4	4	5	4	6	4	0	7	12	13	14	14	15	18	19	20	1	2	3	5	2	1	1	1	2	1	1	1	2	1	2	2	1	1	1	2	2
4500	-155.941936836517669	-162.797424787477041	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.755280091279059	2	7	8	14	13	13	16	15	17	16	18	15	19	18	22	21	23	25	27	29	33	0	1	1	6	2	3	6	2	8	6	4	0	6	12	13	14	14	15	18	19	20	1	2	3	1	2	2	2	4	1	2	3	1	3	1	1	1	2	1	1	1	2
