step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105
1	-3745.784836941304093	-3744.322754856785195	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.942937021984828	-1	1	3	5	8	9	8	7	8	8	11	9	11	11	12	13	14	14	16	15	16	15	16	16	16	17	18	17	17	19	18	18	20	19	19	21	18	19	20	20	21	19	20	20	20	21	22	20	20	21	21	21	22	22	21	23	22	23	23	23	22	24	24	25	25	24	26	25	28	28	28	28	30	30	29	29	31	31	31	35	32	33	33	33	33	33	33	35	33	35	35	36	36	39	39	38	40	41	43	43	44	46	46	48	49	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	5	5	5	4	5	5	6	5	6	6	7	7	8	8	9	8	9	8	9	9	9	9	10	9	9	10	10	10	11	10	10	11	10	10	11	11	11	10	11	11	11	11	12	11	11	11	11	11	12	12	11	12	12	12	12	12	12	13	13	13	13	13	14	13	15	15	15	15	16	16	15	15	16	16	16	18	17	17	17	17	17	17	17	18	17	18	18	19	19	20	20	20	21	21	22	22	23	24	24	25	25
500	-648.507482518970505	-646.092696645973774	-2.414785872996756	0.000010015537951	0.000035039186082	3.498482682934235	0.224461016480767	-1	0	4	5	8	10	9	7	8	8	10	9	11	12	12	14	13	14	16	16	17	15	13	16	17	18	17	18	17	19	15	18	19	19	19	22	18	18	20	19	22	18	19	20	21	19	22	20	20	21	20	21	22	22	21	23	21	23	24	21	22	23	24	25	25	22	23	26	28	27	28	28	27	29	29	29	29	30	32	35	32	33	33	30	33	30	33	36	33	36	36	35	37	37	37	39	39	39	43	43	45	46	44	49	49	0	1	2	1	1	5	5	2	4	3	4	8	6	9	1	23	10	5	7	23	31	23	11	18	14	7	22	5	15	1	6	10	3	26	19	2	20	12	22	11	5	16	38	43	34	21	25	37	42	22	10	33	52	46	6	33	28	26	47	8	26	1	39	60	21	48	8	27	42	36	31	66	20	50	18	32	72	29	60	4	86	51	6	49	56	8	16	69	77	12	9	53	56	60	53	79	7	7	28	81	43	92	39	57	25	1	1	2	3	5	1	1	3	2	2	2	1	1	2	7	1	2	5	3	1	1	1	2	1	2	7	1	5	2	8	3	5	10	1	1	12	1	4	3	5	6	2	1	1	1	1	3	1	1	4	6	1	1	2	5	1	1	3	1	7	1	12	2	2	3	1	10	4	6	3	9	3	7	4	7	5	1	6	6	15	1	7	11	4	4	12	9	4	2	15	13	7	9	8	8	3	17	14	13	4	14	6	11	12	19
1000	-665.734321718172737	-663.819052595770131	-1.915269122402601	0.000010073293963	0.000021406109768	2.125035747635053	0.296203395082825	-2	2	4	5	9	8	8	6	8	9	11	9	11	10	12	12	14	13	17	15	17	15	16	15	17	18	18	18	17	18	17	18	20	19	20	21	17	20	20	19	21	19	21	20	19	21	22	21	19	21	20	20	21	23	21	22	22	22	23	23	22	22	25	24	25	25	25	25	28	28	27	27	30	30	29	30	29	31	31	36	33	33	34	34	32	34	34	35	32	35	35	37	35	39	39	39	38	42	43	42	45	46	46	49	50	0	1	2	1	4	4	3	2	4	9	8	7	5	9	2	5	16	12	18	10	22	4	20	11	24	13	18	10	22	12	12	18	16	23	32	8	22	20	16	31	33	18	19	45	10	34	31	29	37	29	27	18	13	30	45	9	30	35	6	36	31	46	40	52	58	62	26	57	44	59	51	46	69	63	71	71	39	69	9	45	20	42	74	41	49	8	27	77	71	5	61	46	63	39	93	50	47	28	12	80	97	92	60	78	10	1	3	1	3	2	2	2	3	1	1	4	1	1	1	5	1	1	1	2	2	1	6	1	2	1	3	2	5	1	3	3	3	4	1	1	9	1	3	4	1	1	3	2	1	6	1	2	2	1	2	2	3	4	2	1	6	3	1	5	1	2	1	2	2	1	2	2	1	4	1	4	3	1	2	1	2	4	2	6	8	8	5	2	7	6	16	9	3	3	9	7	10	4	10	2	7	8	13	18	3	5	4	11	8	19
1500	-652.495299061127525	-650.676729682329210	-1.818569378798342	0.000010142789417	0.000019111084445	1.884204005423382	0.320439989503886	0	2	4	6	8	9	8	8	8	9	11	10	11	11	11	13	14	15	17	15	16	15	17	14	15	17	18	16	17	17	19	18	19	18	20	19	18	19	19	19	21	19	20	20	20	22	23	20	20	21	20	22	22	22	20	22	22	24	23	23	21	24	25	25	25	25	24	24	28	28	28	28	31	31	29	29	32	30	30	36	33	34	33	34	33	32	33	35	33	36	34	36	35	39	39	38	40	41	41	43	42	45	47	48	49	0	1	2	3	1	3	3	3	4	3	5	7	10	8	2	11	9	4	5	14	9	4	15	9	1	14	13	5	13	28	16	19	22	9	32	19	15	32	20	34	21	37	36	30	32	37	57	15	29	15	39	41	55	36	28	18	51	46	45	45	38	51	52	53	67	33	30	44	52	34	37	65	47	79	65	51	43	56	29	93	75	17	60	70	61	12	74	74	62	53	31	87	41	96	93	71	70	59	82	90	87	87	98	94	80	1	1	1	1	4	2	2	2	1	3	1	1	1	2	3	1	2	4	5	2	4	4	4	3	4	2	4	5	2	1	3	1	2	6	1	1	3	1	2	1	3	1	1	2	1	3	1	6	2	4	1	1	2	1	2	3	1	1	1	2	1	1	1	2	1	3	3	2	2	8	3	1	4	1	2	5	5	4	6	1	2	10	5	3	5	10	1	2	5	8	9	1	7	1	2	4	7	8	2	4	3	7	3	5	7
2000	-640.965245042173024	-639.398668471151382	-1.566576571021616	0.000010167968759	0.000012917526591	1.270413678160138	0.386407414771615	-1	1	3	6	8	9	9	6	9	7	11	9	11	11	10	13	14	15	15	14	17	14	16	15	15	17	18	18	17	20	18	19	20	19	19	22	18	18	19	20	21	19	21	20	21	19	22	20	21	20	21	21	23	22	21	24	22	23	24	23	21	24	24	25	25	25	26	25	28	28	27	28	28	31	29	28	31	31	32	33	33	32	34	33	33	32	33	35	33	34	35	36	35	40	39	39	41	42	43	43	44	45	46	47	48	0	1	2	3	4	10	10	3	2	4	9	5	8	12	2	11	9	16	22	13	23	10	9	15	7	12	23	12	22	26	14	31	42	25	27	55	17	22	23	25	19	21	35	8	17	4	45	20	18	38	32	27	28	32	39	36	37	52	57	41	39	57	13	32	34	57	62	44	64	67	54	26	59	76	68	62	69	54	9	17	62	77	77	78	67	12	67	78	77	21	83	79	39	59	85	23	88	81	93	92	72	65	53	102	78	1	1	1	2	1	1	1	2	5	1	1	1	3	2	4	1	3	1	1	2	1	2	3	4	2	5	1	7	1	2	3	1	1	1	1	1	2	1	1	3	4	2	1	5	5	6	1	3	2	1	1	1	2	1	1	1	2	1	1	1	1	1	5	2	3	1	1	2	1	1	5	5	2	1	2	2	2	4	9	7	5	1	2	1	3	11	3	2	1	7	1	2	8	7	2	11	3	3	5	3	11	9	8	1	8
2500	-632.283689017452730	-629.763708582561549	-2.519980434891194	0.000010230774941	0.000039100863761	3.821886805887943	0.318031587888368	-2	2	3	6	9	8	6	7	8	8	9	10	11	11	13	14	15	14	17	15	16	15	16	17	14	18	19	14	17	20	17	18	21	20	20	21	19	19	20	20	20	18	21	19	20	21	22	20	18	21	21	22	23	22	22	22	23	23	23	24	22	25	24	25	26	24	27	26	29	27	27	26	30	31	29	28	30	32	30	35	32	32	32	33	32	32	31	35	33	35	36	34	37	38	39	37	40	40	44	43	45	45	46	46	50	0	1	1	1	4	3	2	4	4	4	2	3	11	3	2	9	14	1	20	12	11	13	18	14	4	10	13	5	22	8	11	21	34	23	49	2	7	19	20	13	16	4	44	10	4	39	38	23	8	24	23	34	50	28	30	51	32	27	49	57	18	11	56	40	46	25	29	55	56	5	62	53	67	36	57	37	35	87	57	45	76	47	77	86	68	59	67	84	68	81	67	76	80	80	89	86	94	92	6	94	9	73	78	95	95	1	2	2	4	1	2	2	1	1	1	2	3	1	4	5	3	3	9	1	2	3	3	1	3	4	3	4	2	1	5	4	1	1	3	1	8	4	1	3	3	3	5	1	6	8	1	2	2	4	2	2	1	1	3	1	1	3	2	3	1	3	9	1	2	3	6	6	2	4	12	1	2	1	5	4	5	5	1	2	7	3	5	1	1	2	5	2	1	2	2	5	2	2	2	3	2	1	3	17	3	14	6	11	4	5
3000	-580.887974331621876	-578.977366677199370	-1.910607654422549	0.000010316310316	0.000021801302580	2.113284877297001	0.398955328703554	0	1	4	5	9	9	8	7	8	8	10	10	10	11	12	12	15	14	15	15	16	14	17	16	17	17	19	16	17	19	18	19	21	20	18	21	18	20	20	20	20	19	19	19	19	21	22	19	20	21	22	21	22	22	20	24	21	24	24	23	23	24	24	26	25	25	26	25	28	27	29	29	31	30	29	29	31	32	31	35	33	33	33	34	33	32	34	36	33	33	36	37	36	38	40	38	40	41	43	44	45	46	47	48	50	0	1	2	2	9	8	8	4	4	4	2	3	5	12	6	8	5	12	18	7	18	15	28	22	16	1	25	6	22	24	26	29	34	43	8	35	17	30	18	23	37	17	29	7	28	24	40	20	23	26	23	43	42	55	44	60	27	34	54	27	51	55	47	58	36	40	61	50	37	28	52	11	57	42	62	51	64	21	5	64	72	72	71	85	72	37	78	85	65	53	48	73	86	82	71	80	96	66	77	76	96	72	88	103	93	1	1	2	2	1	1	1	1	1	1	4	3	1	1	2	3	3	1	1	4	1	2	1	1	2	9	1	3	2	2	1	1	1	1	5	1	2	1	3	1	1	2	1	5	2	2	1	2	2	2	3	1	1	1	1	1	1	1	1	2	1	2	1	2	2	3	2	2	5	8	4	9	5	5	2	5	2	7	6	8	2	2	2	1	2	8	1	2	3	4	8	3	2	2	6	1	1	8	4	7	4	8	3	1	8
3500	-616.704243257203416	-614.535225654192232	-2.169017603011227	0.000010045789299	0.000028046415690	2.791857847696078	0.313967672039702	0	2	4	5	8	9	7	8	8	8	11	9	12	11	10	12	14	12	16	12	16	14	15	16	16	17	18	18	17	19	18	19	18	19	20	22	16	18	20	21	20	19	20	19	21	20	23	21	19	22	21	21	22	22	21	22	22	23	23	24	22	24	25	25	26	24	26	24	29	27	29	26	31	30	29	30	32	31	31	36	32	34	32	33	33	30	33	36	34	35	35	36	36	39	39	38	41	42	43	42	41	46	46	47	50	0	1	2	3	3	8	4	1	7	1	2	10	5	9	10	15	16	10	16	2	20	16	20	8	2	1	22	12	25	26	12	33	21	21	31	7	5	29	7	13	14	29	24	2	32	4	34	34	10	37	25	49	41	35	42	48	51	45	20	48	49	55	30	28	58	11	56	26	53	43	37	53	66	51	54	32	56	71	49	49	73	71	6	65	81	46	73	89	83	35	36	44	83	83	82	91	56	47	101	71	80	91	64	98	38	1	1	1	1	2	1	1	3	1	4	5	1	2	2	1	1	1	2	2	5	2	1	2	4	8	8	3	6	1	2	5	1	1	1	1	5	6	1	7	5	6	1	2	7	1	8	1	1	6	3	2	1	1	1	1	1	1	1	4	1	2	1	3	4	2	7	2	5	4	3	10	2	4	5	4	6	5	1	5	9	1	2	10	3	1	3	1	1	1	6	5	8	2	3	2	1	12	11	1	8	5	5	8	2	15
4000	-611.300238705266111	-609.764956981477553	-1.535281723788570	0.000009798192968	0.000011681941472	1.192254685196517	0.340090310751932	-1	2	3	5	9	9	8	5	8	9	9	9	11	11	12	13	14	15	16	15	16	15	17	17	14	17	19	17	17	20	18	18	20	19	18	21	19	19	19	19	22	18	21	20	21	21	21	20	21	21	22	20	23	22	21	21	22	22	23	22	22	24	24	24	25	24	26	25	28	28	28	26	30	31	29	29	30	31	32	35	33	34	33	32	32	30	34	36	33	35	35	36	37	36	37	38	41	42	43	43	44	46	46	48	49	0	1	1	2	8	7	8	3	2	8	2	8	6	6	9	7	12	15	13	2	25	2	22	11	15	16	9	4	17	28	14	20	35	18	16	34	23	26	18	42	48	9	42	1	30	30	40	19	30	23	43	37	36	38	37	25	48	52	44	16	40	56	50	61	66	14	60	34	66	41	44	64	68	72	68	29	40	76	65	40	78	41	42	47	74	40	67	19	66	65	58	87	84	79	83	74	68	80	85	97	80	98	80	99	88	1	2	2	2	2	1	1	1	2	2	5	3	2	1	3	3	2	2	3	8	1	4	1	6	2	2	4	6	2	1	3	1	1	2	2	2	1	1	2	1	1	5	2	8	1	1	1	2	1	3	1	1	1	3	1	3	1	1	1	5	2	2	2	1	1	7	2	3	2	3	7	1	2	2	2	6	5	1	3	7	1	7	7	5	1	3	5	9	3	4	7	1	3	2	3	3	7	4	8	1	6	2	4	2	5
4500	-563.684135670408750	-561.510955595932842	-2.173180074475871	0.000011035145303	0.000030934737394	2.803292258066939	0.374817263415731	-2	1	3	5	8	10	8	7	8	8	12	9	12	10	12	11	14	14	15	16	15	16	16	16	17	18	19	17	17	16	17	18	21	19	19	22	18	20	20	21	21	18	20	20	19	22	22	20	20	21	22	21	22	21	21	23	22	21	23	24	22	24	24	25	26	23	27	26	28	25	28	28	30	30	29	29	30	30	31	36	32	33	33	33	33	31	32	35	33	35	35	35	36	39	39	37	40	41	44	43	45	46	45	48	49	0	1	1	2	2	7	2	4	2	8	4	8	7	9	2	8	14	14	15	2	13	5	17	18	15	14	22	9	11	13	6	30	5	21	15	44	20	34	26	37	30	24	42	22	29	45	18	42	26	27	28	42	49	26	22	50	54	39	43	38	26	40	56	55	58	29	56	21	47	12	4	48	70	65	13	36	71	67	41	75	77	69	67	60	76	5	32	89	79	29	22	47	54	79	83	76	93	89	93	54	80	101	90	102	83	1	2	2	3	4	1	3	1	2	1	4	1	2	1	5	2	2	2	1	6	2	3	1	1	3	4	2	4	2	2	4	1	6	2	3	1	1	1	1	1	3	1	1	1	1	1	4	2	2	1	3	2	1	1	1	1	1	1	2	2	2	1	1	2	3	3	1	5	3	5	6	5	2	2	9	3	1	1	6	4	1	2	3	3	2	10	6	1	2	10	11	7	8	4	2	3	2	4	4	9	5	1	3	1	8
