step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69
1	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.731953126422595	11	9	17	21	25	28	24	27	30	37	37	33	37	43	48	40	42	42	46	42	51	46	49	60	57	54	52	51	56	60	51	58	56	57	60	60	60	58	56	64	61	60	65	68	68	76	63	70	66	69	74	72	74	70	78	82	77	85	75	82	78	79	78	84	84	79	94	96	114	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
500	-387.706355114970336	-396.757198495421676	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.999990948304668	11	8	16	24	26	19	20	31	32	29	38	36	39	44	42	41	35	44	41	41	50	43	48	61	50	54	50	56	47	54	52	63	57	59	63	62	47	57	52	61	62	57	62	70	71	76	58	67	61	58	78	58	64	72	70	84	75	65	76	71	75	79	79	78	80	79	96	85	105	2	0	1	6	7	3	2	7	10	6	8	9	17	20	11	9	5	17	11	11	14	9	20	28	20	27	14	20	11	23	25	26	39	31	39	26	20	26	37	29	34	39	50	49	48	45	21	41	33	31	45	28	34	34	35	24	44	50	35	28	31	45	57	45	60	44	66	57	68	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1000	-358.168631126064497	-367.219474506515837	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.990645800420831	13	8	18	22	29	19	25	30	30	25	35	37	34	43	50	39	41	39	43	43	50	39	49	54	56	51	49	44	50	59	53	46	56	59	59	63	59	52	56	52	59	60	59	64	69	74	53	70	59	71	76	69	73	66	76	78	76	87	73	85	74	75	77	86	84	80	83	94	108	2	0	1	1	6	1	6	6	7	6	8	5	5	22	20	8	9	11	16	18	19	13	20	23	21	32	20	9	19	25	19	11	14	31	38	35	40	23	26	28	33	23	15	39	43	49	20	35	23	54	59	43	39	36	62	62	52	66	54	62	48	48	52	56	56	51	51	62	68	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1500	-368.805990479802631	-377.856833860253971	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.992120913145382	11	7	20	13	19	27	24	27	33	36	36	31	34	42	50	40	36	42	50	41	45	38	41	51	52	54	52	46	60	59	46	54	54	57	61	54	61	49	60	60	64	62	61	59	70	76	64	57	68	62	73	66	74	71	79	82	64	89	78	76	79	79	73	86	82	79	92	96	113	2	0	4	2	2	3	3	3	7	6	6	7	5	11	17	13	6	9	11	22	23	5	9	14	16	19	21	18	27	32	13	21	23	24	33	20	28	28	33	27	35	27	26	36	40	52	39	26	29	32	43	40	41	52	32	61	35	65	53	54	63	54	37	62	59	63	64	58	58	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-370.446571809392594	-379.497415189843935	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.996687339006135	13	9	17	18	24	28	22	27	32	34	40	30	36	42	50	41	41	38	50	45	51	45	52	62	42	55	48	45	59	56	49	60	57	56	53	62	58	47	60	64	61	61	66	65	67	72	66	65	57	55	71	70	69	67	68	85	75	85	76	70	79	74	79	87	82	80	91	94	111	2	0	2	2	1	4	1	5	12	12	10	8	12	9	16	6	18	9	38	25	22	10	22	35	10	31	22	9	23	15	28	29	35	20	22	26	27	18	38	27	33	49	33	34	48	41	48	36	28	19	42	37	29	40	37	51	45	66	48	30	51	52	53	65	52	57	58	66	68	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-379.815562853022755	-388.866406233474095	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.980222998078856	10	4	17	22	21	26	20	28	32	38	34	31	40	41	44	37	44	39	45	39	45	43	45	52	54	56	37	47	54	60	48	53	54	61	61	60	55	38	51	64	54	62	54	71	64	69	65	74	64	71	74	71	69	59	80	84	76	85	74	83	78	80	77	78	81	73	95	98	103	2	0	1	3	3	3	1	4	5	11	12	4	8	6	13	8	14	11	20	12	16	38	16	21	31	25	4	14	17	22	10	31	24	39	39	43	14	4	19	15	10	41	19	42	54	35	29	40	36	33	52	37	33	15	51	63	51	64	53	64	59	40	53	40	53	34	58	56	68	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-378.571493046789215	-387.622336427240555	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.976446684922561	12	7	19	11	25	28	18	28	28	34	38	23	32	47	52	42	41	32	46	40	48	45	46	58	52	49	52	50	55	50	48	48	55	60	58	59	60	56	44	63	61	61	64	66	66	76	63	73	55	60	69	64	71	67	73	71	69	81	75	85	77	72	76	84	86	70	94	97	105	2	0	4	2	1	7	1	2	7	5	18	7	5	18	23	13	10	8	17	13	16	10	16	15	17	39	11	16	28	18	16	16	30	38	25	29	32	39	18	30	26	29	31	29	47	43	38	40	15	15	47	36	47	52	45	38	33	59	40	58	55	34	52	59	64	19	64	65	67	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-362.505714686110935	-371.556558066562275	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.997531580948327	10	5	16	22	27	31	23	25	33	38	37	32	34	39	43	41	39	37	44	47	51	46	49	56	51	40	55	50	55	56	50	57	57	59	59	62	63	54	49	66	62	60	66	62	60	79	65	68	61	67	67	74	73	70	77	82	63	87	63	83	67	75	77	83	73	76	85	94	98	2	0	1	3	7	4	3	7	4	12	12	8	5	13	13	9	6	13	10	15	20	14	26	21	26	13	21	22	20	31	14	29	31	20	30	27	29	26	14	59	24	31	34	27	27	61	42	31	28	42	24	48	50	50	61	65	49	46	30	62	42	41	47	53	45	40	46	67	67	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-371.882976944529219	-380.933820324980559	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.992344013125140	13	8	16	19	22	30	25	23	32	35	37	28	27	43	48	39	38	38	43	39	48	39	45	54	58	52	54	45	46	58	44	58	52	59	61	60	60	55	53	61	63	63	67	63	69	75	50	62	63	68	74	69	69	73	75	80	75	83	68	79	73	77	79	84	86	79	92	93	96	2	0	2	1	4	8	4	3	12	6	7	8	3	6	19	12	12	6	17	12	14	12	19	47	15	14	15	17	22	47	11	39	17	39	24	39	23	18	13	14	35	30	41	15	41	50	14	32	38	36	42	26	43	35	50	46	32	43	27	62	53	44	57	55	60	46	64	65	63	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-357.734215632965288	-366.785059013416628	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.984190366019208	12	5	21	18	24	29	18	26	31	31	34	35	37	45	49	41	34	42	41	36	50	46	47	62	50	48	53	51	52	57	45	60	54	60	61	58	60	60	55	67	56	52	65	62	72	79	62	72	66	68	68	71	75	64	79	81	75	86	73	80	74	76	78	80	82	75	92	94	108	2	0	4	2	7	5	1	3	6	8	8	8	6	16	31	10	9	17	13	10	31	20	19	29	16	31	21	12	22	31	18	31	28	23	33	15	39	41	27	44	25	13	32	27	35	45	34	50	41	34	44	35	48	30	49	57	44	46	40	57	40	52	66	59	63	50	38	56	68	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
