step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24
1	-1583.059588871173673	-1581.597506786654776	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.887700986467919	4	10	10	11	11	12	12	15	16	18	19	21	20	20	23	22	24	23	23	24	26	29	30	32	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	4	4	4	4	6	6	7	8	9	8	8	10	9	10	10	10	10	11	13	13	14
500	-346.605237964979437	-344.757940293268007	-1.847297671711430	0.000010038573845	0.000019626898090	1.955148051111180	0.463367539045492	4	11	10	11	9	13	12	14	15	18	18	21	19	21	22	22	23	23	23	25	27	30	31	32	0	5	5	3	1	5	4	7	7	8	6	11	6	10	9	13	11	11	13	18	18	11	11	11	1	1	1	1	2	2	1	1	2	2	2	1	4	2	3	2	2	4	3	1	3	10	5	7
1000	-316.655616588626287	-314.292720470757615	-2.362896117868658	0.000010027387077	0.000033528989902	3.343741459604297	0.429346364670766	1	10	11	12	9	12	13	15	16	18	18	21	19	19	24	23	23	23	23	24	26	29	29	32	0	5	5	3	1	2	3	7	8	8	6	11	6	10	9	13	11	12	13	18	20	11	11	23	1	1	1	1	3	1	1	2	1	2	2	2	3	1	4	3	2	1	3	1	1	7	4	2
1500	-279.827113258888403	-278.154502993115216	-1.672610265773191	0.000010068857282	0.000015394603658	1.528932551792514	0.591876586624902	5	11	10	11	9	13	13	15	16	19	20	22	19	21	23	22	22	23	23	24	26	29	30	33	0	5	5	3	1	5	4	7	7	8	6	11	6	10	9	13	11	12	16	18	20	11	11	22	1	1	1	1	2	2	1	1	2	2	5	1	3	1	5	3	1	1	1	1	1	4	5	2
2000	-264.760378535605412	-262.689779464565675	-2.070599071039740	0.000010136886242	0.000025610011250	2.526417939246363	0.651250216436923	4	10	10	12	9	12	13	15	15	17	20	21	21	19	22	23	24	23	23	24	26	28	30	32	0	5	5	3	1	2	3	7	4	8	6	11	6	10	9	13	11	12	13	18	20	11	22	22	1	1	1	2	3	2	1	1	1	1	4	1	3	1	3	1	2	1	1	1	1	4	1	2
2500	-280.127382153176541	-277.712170165655948	-2.415211987520573	0.000010148850753	0.000035518605566	3.499766272166653	0.653562911563212	4	11	10	11	9	11	13	15	17	18	20	22	21	20	23	23	24	23	24	25	27	29	30	32	0	5	5	3	1	5	3	7	7	8	6	11	11	10	9	13	11	11	13	18	18	11	22	22	1	1	1	1	2	1	1	1	2	3	4	1	1	1	3	1	2	1	2	2	2	3	1	1
3000	-271.507946346467008	-269.486834848674960	-2.021111497792066	0.000010087776323	0.000024173791557	2.396344921264516	0.671314827248962	4	11	10	11	9	13	12	14	16	18	19	21	20	20	22	22	24	23	23	24	25	27	29	32	0	5	5	3	1	2	3	7	7	8	6	11	11	10	9	13	11	12	16	18	20	11	22	22	1	1	1	1	3	1	1	1	2	2	3	1	1	1	3	1	3	1	1	1	1	2	1	3
3500	-266.966170923663583	-265.096958314451570	-1.869212609212016	0.000010342262133	0.000020783735719	2.009592819488377	0.560124749910383	5	10	9	11	8	12	13	15	16	18	19	21	20	20	24	22	25	23	23	25	27	29	31	31	0	5	5	3	1	2	3	7	7	8	6	11	6	10	9	13	11	12	13	18	20	11	22	22	1	1	1	1	1	1	2	1	2	2	4	1	4	1	3	1	3	1	2	2	1	4	1	2
4000	-274.641331756066506	-272.190370990389169	-2.450960765677354	0.000010372139331	0.000037424857499	3.608210061929748	0.725650103446479	4	11	10	11	9	11	13	15	17	18	19	21	20	21	23	22	23	23	24	24	26	29	30	31	0	5	5	3	1	5	3	7	7	8	6	11	11	10	9	13	11	12	16	18	18	17	22	22	1	1	1	1	2	1	1	2	2	2	3	2	1	1	2	1	2	1	1	1	1	2	1	1
4500	-255.210277985587823	-253.309883175989512	-1.900394809598320	0.000010929127885	0.000022815577976	2.087593650332817	0.660886191244262	4	10	10	11	9	12	13	16	16	18	20	21	20	20	23	22	23	23	23	24	25	26	28	32	0	5	5	3	1	5	3	7	7	8	6	11	6	10	9	13	11	12	13	18	18	11	22	22	1	1	1	1	3	2	2	2	2	1	4	1	6	1	4	1	1	1	2	1	1	3	1	2
5000	-260.592565298291845	-258.734118212454860	-1.858447085836983	0.000012671432296	0.000025125046628	1.982810312256908	0.617741269440620	5	10	9	11	8	13	12	13	15	18	20	21	19	19	22	22	23	23	22	25	27	29	30	32	0	5	5	3	1	5	3	7	7	8	6	11	6	10	9	13	11	12	13	18	20	11	22	22	1	2	1	1	1	4	2	1	2	3	4	1	2	1	4	1	2	1	2	1	1	4	1	1
5500	-224.167527935507252	-222.796933708108014	-1.370594227399237	0.000019793498615	0.000013430324787	0.678522026263920	0.577539208508311	5	9	10	11	8	12	12	15	16	18	20	21	20	20	22	21	24	23	23	24	27	29	30	31	0	5	5	3	1	5	4	7	8	8	6	11	6	10	9	13	11	12	13	18	18	11	22	22	1	1	1	1	1	2	1	2	1	2	4	1	4	1	3	1	2	1	1	1	2	3	1	1
6000	-218.286540573005254	-216.738989159210291	-1.547551413794955	0.000036577699993	0.000044737367301	1.223077648663462	0.571265133260457	4	10	10	11	9	13	12	14	16	18	17	21	20	20	23	23	24	24	23	24	27	29	31	32	0	5	5	3	1	5	4	7	8	8	6	11	6	10	9	13	12	12	13	12	20	12	22	22	1	1	1	1	3	2	1	1	1	2	1	2	2	1	3	1	2	2	2	2	1	4	1	2
6500	-183.822504815532739	-182.429731759551714	-1.392773055981028	0.000082247992444	0.000034168460585	0.415432153050671	0.602420327978066	4	10	10	11	9	12	13	15	16	19	18	21	20	21	23	22	23	23	24	25	27	28	31	32	0	5	5	3	1	2	3	7	7	8	6	11	11	8	9	13	12	12	16	18	20	17	22	23	1	1	1	1	2	1	1	1	1	2	4	1	1	3	3	2	1	1	1	1	1	3	1	1
7000	-177.970848240789792	-176.332147542661971	-1.638700698127822	0.000192120499561	0.000043110882634	0.224395016319957	0.581934450199295	4	10	9	12	11	12	12	16	16	19	18	20	20	21	20	21	25	23	24	23	26	28	30	32	0	3	1	2	2	2	3	7	3	8	6	11	11	10	7	11	18	12	16	12	12	11	22	23	1	1	3	1	1	1	1	3	4	1	3	1	2	1	2	1	1	2	1	2	2	3	1	1
7500	-185.009969122873656	-183.013145629698755	-1.996823493174894	0.000346391103888	0.000048196711798	0.139139577365427	0.440121599807360	4	11	10	12	10	13	13	15	16	17	17	22	20	21	23	23	25	23	24	24	26	29	30	31	0	1	1	2	1	4	4	4	7	7	6	13	6	8	14	11	20	12	16	18	20	16	13	23	1	3	3	1	3	1	1	1	1	2	2	1	3	4	1	3	1	1	1	1	1	3	4	1
8000	-206.933486492838028	-205.002863803728673	-1.930622689109361	0.000376488585543	0.000056486299187	0.150034559759989	0.509110730172500	5	10	9	12	12	12	12	15	16	17	19	20	21	20	22	22	24	23	23	23	25	29	30	32	0	3	1	3	3	2	3	3	6	3	6	10	6	8	1	12	20	11	5	16	19	13	11	13	1	1	1	2	2	2	1	3	3	5	2	2	4	3	8	1	1	2	5	1	1	4	5	6
8500	-190.471653282580377	-188.810483822104374	-1.661169460476013	0.000178502227270	0.000038602265141	0.216256490081989	0.501971667493619	4	9	10	11	12	11	13	14	17	19	20	21	18	20	24	23	24	22	23	25	27	29	30	32	0	1	2	3	6	2	4	7	4	8	6	2	2	8	10	13	11	11	12	13	11	11	22	23	1	2	1	1	1	1	2	1	2	2	3	5	4	3	2	2	2	1	1	3	4	3	1	1
9000	-190.715693650810749	-188.947486109951569	-1.768207540859189	0.000320709105516	0.000059130098618	0.184372995969048	0.428550093252884	5	10	10	12	10	12	13	15	13	16	19	21	20	17	23	22	24	23	23	22	26	30	29	33	0	1	1	1	1	5	5	2	5	7	4	2	11	3	10	13	20	4	16	13	20	23	21	23	1	2	3	4	2	1	1	2	2	2	4	6	1	3	2	1	1	4	1	1	2	1	1	1
9500	-195.400391506514836	-193.883637001705466	-1.516754504809371	0.000353477812087	0.000100211439504	0.283501357306440	0.549582739821226	5	10	10	12	12	12	13	15	16	18	19	19	20	21	23	22	24	22	23	24	25	30	29	32	0	1	1	1	1	1	6	6	7	4	4	10	12	2	4	13	12	12	14	12	16	17	17	15	1	3	2	3	4	3	1	2	2	3	4	1	1	6	5	1	2	1	2	2	2	2	2	3
10000	-211.248158880771825	-209.409137324867402	-1.839021555904422	0.000337305991801	0.000056602754243	0.167808327213213	0.398696826708338	4	11	9	9	11	10	12	14	17	17	19	21	18	20	23	21	23	22	23	24	26	28	28	32	0	1	1	1	4	1	2	3	2	7	13	11	6	9	4	11	12	2	13	6	11	17	12	12	1	3	2	2	1	3	1	2	4	2	1	2	3	2	5	1	1	5	2	7	3	3	2	4
10500	-187.746623692323652	-186.057628497370075	-1.688995194953580	0.000150467564333	0.000031142486226	0.206971425129910	0.480487045417968	4	11	11	12	10	13	12	15	16	18	19	21	19	20	23	21	23	24	21	22	26	29	30	31	0	1	5	3	1	5	2	7	7	8	2	6	2	8	10	11	13	20	11	12	18	11	22	23	1	4	1	1	3	2	1	2	2	3	5	2	3	2	1	2	2	1	1	1	1	4	1	1
11000	-189.999415249998890	-187.571547491624472	-2.427867758374411	0.000225069247612	0.000020652791431	0.091761942825578	0.540211773638534	5	10	8	11	12	13	12	16	16	18	17	20	21	20	23	21	23	23	24	25	27	30	29	32	0	3	1	1	2	5	3	7	4	8	6	6	12	8	16	6	16	16	16	16	20	23	12	22	1	1	1	2	1	1	2	2	2	1	2	2	1	2	1	5	1	1	2	3	1	1	5	1
11500	-211.432646174242734	-209.793320262662576	-1.639325911580162	0.000371965298150	0.000083379751864	0.224160028580305	0.456988967341606	5	11	10	11	12	12	12	15	16	17	19	22	20	19	23	23	23	22	24	25	23	30	30	32	0	1	1	1	4	4	3	2	2	4	9	11	9	8	8	13	12	13	11	18	13	17	13	16	1	3	2	3	1	1	1	2	3	3	1	1	2	2	3	2	1	1	2	2	1	3	4	6
