step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98
1	-2237.227556390083009	-2244.083044341042296	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.052901060048053	1	2	3	3	6	7	5	8	7	8	9	8	8	9	8	9	9	10	9	9	11	10	11	11	12	12	12	12	11	12	13	13	14	15	14	14	14	13	15	15	16	16	18	15	16	17	16	17	17	16	17	19	17	17	17	19	19	18	19	19	18	19	20	20	19	19	20	22	19	20	20	22	21	21	20	21	21	21	22	22	22	22	24	22	22	25	24	25	24	24	27	25	25	26	25	27	27	30	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	2	4	3	4	4	4	4	4	4	4	4	5	4	4	5	5	5	5	6	6	6	6	5	6	6	6	7	7	7	7	7	6	7	7	8	8	9	7	8	8	8	8	8	8	8	9	8	8	8	9	9	9	9	9	9	9	10	10	9	9	10	11	9	10	10	11	10	10	10	10	10	10	11	11	11	11	12	11	11	12	12	12	12	12	13	12	12	13	12	13	13	15
500	-773.402557588547324	-780.258045539506725	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.137031034578303	1	3	2	4	6	7	5	8	8	8	10	8	9	9	8	7	9	10	10	10	9	7	10	12	12	12	11	11	12	13	13	13	13	16	13	15	13	14	15	15	17	16	17	15	17	15	16	15	18	16	18	19	18	18	17	19	18	17	20	20	18	18	20	19	19	19	20	22	19	20	19	20	22	21	20	19	20	22	23	22	23	21	25	22	23	25	25	25	24	25	28	25	26	26	24	27	27	30	0	3	1	3	4	7	4	7	4	5	15	4	9	8	7	7	22	9	5	7	4	4	3	19	10	5	5	12	6	8	28	16	16	30	23	33	27	23	30	35	15	26	15	37	30	25	4	29	8	24	44	23	24	23	44	51	20	46	32	5	16	16	47	20	44	42	64	51	35	49	44	16	54	47	5	18	65	20	16	67	43	34	67	65	53	62	4	43	71	54	72	53	53	88	47	26	90	80	1	1	1	1	2	1	1	1	1	1	2	2	1	1	2	1	1	1	2	3	2	2	5	1	2	4	3	2	3	3	1	3	2	2	2	1	1	4	1	1	6	2	5	1	1	2	7	2	6	1	1	4	3	6	2	1	4	1	5	6	5	4	2	2	2	1	1	2	4	1	3	10	2	3	6	4	1	4	7	1	3	2	3	2	3	4	12	5	4	4	3	3	4	1	4	6	1	4
1000	-595.124112339129510	-601.979600290088911	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.447567250866314	1	3	2	3	6	7	5	9	7	8	8	8	8	9	7	7	10	10	10	9	12	10	10	8	12	11	12	13	11	12	13	11	14	14	13	14	13	13	15	15	17	17	19	15	17	18	16	17	17	16	18	17	18	17	16	19	20	19	19	19	19	19	20	20	19	19	20	22	18	20	21	22	21	20	21	20	22	20	22	22	22	22	24	22	22	25	23	25	24	25	28	23	25	26	25	27	27	30	0	3	1	3	2	5	4	4	4	16	16	5	15	4	7	4	16	16	11	12	23	15	7	7	23	7	14	22	15	8	32	24	27	29	8	12	8	29	7	35	37	25	50	37	38	40	24	16	28	34	55	25	50	55	44	55	45	46	34	50	34	14	65	54	37	52	54	51	40	21	56	59	39	61	33	50	63	21	34	67	56	75	80	41	59	59	53	81	56	71	83	62	85	65	56	90	83	83	1	1	1	1	1	1	1	3	2	1	1	1	1	3	1	2	2	2	1	1	1	1	2	2	1	3	3	1	2	1	1	1	1	2	2	2	1	2	4	1	2	2	2	1	3	2	3	5	2	1	1	2	1	1	1	2	2	1	2	2	2	4	1	2	3	1	1	2	2	4	1	1	3	1	3	2	1	3	6	1	2	1	1	3	2	2	3	1	3	3	3	2	1	3	3	1	2	3
1500	-607.942742358613714	-614.798230309573114	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.596292813621187	-1	3	1	4	6	7	5	8	8	8	10	7	7	9	8	10	9	10	10	10	11	9	11	11	12	12	12	13	12	13	13	13	13	15	14	15	14	13	14	14	16	16	17	14	16	17	16	18	18	15	16	20	17	18	17	19	19	19	18	19	19	19	20	21	19	19	21	21	20	20	21	22	21	21	20	21	21	21	21	23	22	22	24	22	21	24	25	24	24	25	28	26	26	26	26	27	28	30	0	3	1	3	7	7	4	7	7	7	8	7	7	10	5	9	15	10	9	12	8	15	22	22	18	23	20	20	21	9	27	20	16	24	18	28	26	20	26	25	37	18	50	24	38	40	29	30	50	16	44	42	30	51	37	44	34	40	10	28	39	50	55	54	51	42	54	55	40	47	54	70	42	61	9	59	55	59	30	67	68	75	67	56	38	76	72	84	81	71	96	75	48	81	89	71	83	97	1	1	2	2	1	1	1	2	1	1	2	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	2	1	2	1	2	1	2	2	2	1	2	1	1	1	3	1	2	1	2	2	2	1	2	2	3	2	1	1	3	2	3	5	2	2	2	2	2	3	1	1	2	4	2	2	2	3	1	5	2	2	2	4	1	1	1	2	2	4	1	2	2	1	2	1	3	5	3	1	3	2	2
2000	-587.611604847475860	-594.467092798435260	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.541424165796660	1	3	2	4	5	8	6	7	7	8	9	8	8	9	7	9	9	10	9	9	11	9	11	11	12	11	11	10	11	11	13	13	14	15	14	15	14	14	15	16	17	17	19	14	16	16	15	16	17	15	18	18	18	16	18	19	19	18	19	19	18	19	20	21	18	20	19	23	20	21	20	22	21	21	20	21	20	22	21	23	22	21	24	22	22	26	23	25	23	25	28	25	25	27	26	27	28	31	0	3	1	3	4	7	4	7	4	5	15	15	9	10	7	9	9	4	8	12	14	15	16	8	18	22	8	15	22	7	28	15	22	16	18	28	18	28	24	25	39	25	49	30	30	18	8	27	34	7	23	46	49	44	44	65	45	46	36	49	33	49	55	54	50	52	51	64	40	18	54	53	59	32	34	62	55	70	48	64	51	62	84	54	51	75	59	71	75	71	83	59	73	88	89	54	83	97	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	4	1	1	1	1	1	2	1	1	3	1	1	3	1	3	2	2	2	2	3	2	2	2	1	3	1	2	3	4	4	4	1	5	4	1	1	1	2	1	2	1	2	1	2	1	1	2	1	1	1	1	2	6	2	2	1	4	3	1	1	1	3	1	3	1	1	2	2	2	2	2	1	2	2	2	1	1	2	4	2	2
2500	-597.331025212749296	-604.186513163708696	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.514865574147845	1	3	2	4	6	6	5	7	7	8	9	7	8	10	9	8	9	10	10	9	11	10	12	11	11	12	12	13	12	12	14	14	14	14	12	14	14	14	15	15	17	17	18	15	17	17	15	18	17	15	17	19	17	17	18	20	20	19	19	20	19	18	20	21	19	20	21	22	20	21	18	22	20	19	21	20	21	22	22	20	22	23	23	23	23	25	23	25	24	24	28	25	23	26	26	27	25	30	0	3	1	3	4	7	4	4	7	5	8	5	7	7	4	8	5	8	16	12	16	5	16	16	18	12	12	4	5	24	27	22	24	8	25	27	14	15	34	35	32	25	14	9	28	40	27	33	29	34	37	42	22	27	51	65	45	46	29	53	53	39	44	71	41	52	54	55	58	28	51	49	50	53	62	43	54	70	76	44	51	62	67	64	73	76	73	28	81	64	97	43	73	88	81	90	83	97	1	1	1	1	1	1	1	2	1	1	1	1	2	3	3	1	2	2	1	1	2	3	2	2	1	2	2	4	3	1	1	2	2	2	1	1	2	3	1	2	2	3	3	4	2	1	1	1	2	1	1	1	3	4	1	1	3	1	4	1	1	2	3	2	1	1	1	2	1	2	1	2	2	1	2	1	2	1	1	2	2	2	1	2	2	2	2	7	1	2	2	3	2	1	2	2	2	2
3000	-552.988564509393427	-559.844052460352827	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.647076012953079	1	3	2	4	6	6	5	7	7	8	9	9	9	10	9	8	10	11	10	9	12	10	11	11	12	11	12	13	12	13	14	13	12	13	13	15	15	13	16	15	15	16	18	15	16	17	16	17	17	16	17	19	18	17	16	19	19	16	19	20	18	19	19	20	20	20	20	20	20	20	21	21	21	20	20	22	22	22	22	22	22	22	24	22	22	24	24	25	24	24	27	24	26	27	26	26	27	30	0	3	1	3	7	4	4	5	5	5	9	5	8	20	5	5	16	15	11	7	7	8	20	5	10	12	22	12	9	23	20	27	10	23	25	32	28	12	27	35	29	18	48	21	38	35	8	22	22	28	55	47	34	55	41	51	45	40	23	34	47	53	44	44	56	52	54	55	40	49	54	75	60	61	33	62	63	49	53	64	68	43	67	55	72	75	72	84	84	84	83	60	85	88	89	54	83	83	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	2	3	2	1	3	2	1	1	2	2	1	2	1	3	1	1	1	1	2	2	2	1	2	1	2	2	2	4	4	4	1	1	2	2	1	1	1	1	1	4	4	1	1	2	3	1	1	2	2	3	2	2	1	1	1	4	2	2	2	3	1	1	2	2	3	1	3	2	1	1	1	2	3	2	1	1	3	2	2
3500	-576.546723793038495	-583.402211743997896	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.602602330679552	0	3	2	4	6	7	5	9	7	8	9	8	8	8	8	9	10	10	9	9	11	11	10	11	13	12	10	13	12	12	12	13	14	15	15	15	12	12	14	15	16	17	16	15	16	17	16	17	17	15	18	19	17	17	17	20	18	18	18	20	18	19	21	19	19	20	19	21	20	21	20	20	21	21	20	22	21	20	23	23	22	22	24	23	20	25	23	26	23	24	28	25	25	26	25	26	28	30	0	3	1	3	4	7	4	9	5	5	15	4	7	7	7	7	12	10	13	9	14	8	7	8	18	23	12	24	8	21	27	27	29	24	25	26	12	16	16	25	37	25	21	23	26	40	29	43	50	12	41	40	6	44	37	65	45	46	39	34	43	50	51	54	55	52	54	51	58	34	64	59	39	43	59	60	55	30	82	54	55	53	67	51	34	72	72	81	81	51	83	87	70	81	89	84	83	83	1	1	1	1	1	1	1	1	1	1	1	3	2	1	2	2	1	1	1	1	2	1	3	1	2	1	1	1	1	1	1	1	1	2	1	2	2	1	2	1	2	2	2	2	2	1	2	1	1	2	1	2	5	2	4	1	1	1	2	2	1	2	2	1	1	1	1	2	1	3	1	2	3	2	1	1	2	4	1	2	4	3	2	3	3	3	1	2	1	3	2	2	3	2	1	1	2	2
4000	-573.389412908084637	-580.244900859044037	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.687494000004459	1	3	2	3	7	7	5	7	7	9	8	8	9	9	8	9	10	11	10	10	11	10	12	12	12	12	12	12	11	11	14	11	14	15	13	15	15	13	14	16	16	16	19	15	17	18	16	16	16	17	17	18	17	17	18	20	20	18	19	20	18	18	20	20	19	20	20	21	19	20	21	20	21	21	18	20	21	22	22	21	22	22	24	22	22	24	25	25	24	25	27	24	25	26	25	28	27	30	0	3	1	3	4	7	4	7	7	5	4	8	8	7	7	8	14	15	11	11	22	12	16	22	10	14	20	8	14	16	14	15	28	24	22	26	23	12	8	35	21	25	50	28	15	40	8	34	24	39	44	42	38	41	51	65	53	40	39	45	47	47	55	54	51	52	54	55	58	47	54	59	59	62	50	75	55	72	76	67	71	72	80	64	72	62	72	81	81	64	83	72	92	81	89	90	67	97	1	1	1	1	2	1	1	1	1	2	2	1	1	2	2	1	1	2	1	1	1	1	2	2	1	1	2	2	1	1	2	2	1	2	2	2	2	2	3	2	2	2	1	2	4	2	4	1	2	1	1	1	2	1	1	1	2	1	2	1	1	1	1	2	1	1	2	2	1	2	3	1	2	1	1	1	2	2	1	1	1	2	2	2	1	4	2	1	1	2	2	2	1	2	1	2	3	2
4500	-547.365465202271025	-554.220953153230425	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.650698473531268	0	3	1	3	6	7	6	7	7	8	10	9	9	9	5	8	9	10	9	10	11	10	11	11	12	13	12	12	12	12	13	14	15	15	13	13	14	13	15	14	16	16	18	15	16	17	16	17	17	16	17	19	18	18	17	20	19	18	20	19	19	20	20	20	19	20	21	23	20	21	21	22	21	21	21	21	21	21	23	23	22	20	24	22	22	24	25	25	24	23	28	24	26	25	25	26	27	30	0	3	1	3	15	5	4	4	15	7	19	8	9	5	4	5	7	8	8	12	14	7	5	16	18	23	16	12	11	15	21	23	31	36	25	20	36	23	22	35	37	25	34	37	38	25	23	47	29	7	44	42	5	37	44	51	45	35	49	50	50	43	55	54	41	52	64	84	46	49	54	59	53	61	62	49	63	59	85	67	54	50	67	54	26	62	92	81	81	64	97	59	43	68	89	71	83	97	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	2	2	1	2	1	2	2	1	3	2	1	1	1	1	2	1	1	2	1	1	2	2	1	2	3	3	1	2	4	2	2	5	1	1	1	2	3	1	1	1	1	1	2	2	1	1	1	2	2	2	1	2	1	1	1	1	1	1	1	2	2	2	2	3	2	1	2	1	1	1	2	4	1	1	2	2	1
