step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100
1	-5620.546276713398584	-5619.084194628880141	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.959620165825061	0	2	2	1	2	2	1	2	5	3	2	3	2	3	3	4	3	6	5	5	5	5	5	5	6	6	6	9	7	10	8	8	8	9	9	8	9	10	11	10	10	10	9	11	11	10	13	11	10	11	10	12	12	12	12	11	11	12	13	14	13	13	14	15	15	14	17	15	16	16	17	17	18	18	20	18	22	22	21	23	22	25	26	26	24	25	25	26	26	26	25	26	28	27	26	27	29	28	28	30	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	1	2	1	2	2	2	2	3	3	3	3	3	3	3	3	3	3	5	4	5	4	4	4	5	5	4	5	5	6	5	5	5	5	6	6	5	7	6	5	6	5	6	6	6	6	6	6	6	7	7	7	7	7	8	8	7	9	8	8	8	9	9	9	9	10	9	11	11	11	12	11	13	13	13	12	13	13	13	13	13	13	13	14	14	13	14	15	14	14	15
500	-1312.078566996590098	-1309.714830605520092	-2.363736391069940	0.000009998902868	0.000033458555850	3.346222709763710	0.321907650141336	-2	1	0	1	2	3	2	0	5	2	2	3	1	4	4	3	3	6	6	5	5	6	5	5	6	6	6	9	7	10	8	9	9	9	9	7	10	11	11	10	11	11	8	11	11	10	14	12	10	11	10	13	12	12	13	12	11	12	13	14	12	14	13	16	16	14	17	12	15	16	18	16	17	19	20	15	23	22	21	22	23	26	25	26	25	26	26	27	27	27	25	27	28	27	26	28	30	29	29	27	0	1	1	8	1	13	3	1	5	2	2	8	1	5	13	8	11	8	10	12	16	14	15	4	16	0	9	20	8	20	24	26	26	10	10	8	19	28	30	24	32	34	29	40	33	26	10	10	29	23	19	49	51	28	18	44	43	19	56	45	2	48	49	46	54	28	52	30	63	68	68	46	69	70	67	68	76	71	69	71	76	71	43	46	68	75	76	76	71	83	71	71	49	68	47	29	88	79	76	47	1	2	1	1	2	1	1	1	2	1	1	2	3	2	1	1	1	3	2	1	1	1	1	1	1	1	1	3	3	2	2	1	2	3	3	4	2	1	1	2	2	1	1	1	1	2	7	5	1	3	4	2	1	2	3	1	2	3	1	1	7	1	2	6	2	3	2	1	1	2	5	3	1	2	1	2	6	2	4	3	4	7	11	11	10	2	8	10	6	2	5	5	12	11	5	11	2	6	12	9
1000	-1096.773703231310265	-1094.640168295292142	-2.133534936018202	0.000010025816268	0.000027020416277	2.695083926788630	0.320057344089829	-2	0	-1	1	2	1	1	0	4	3	1	3	2	4	3	4	4	6	5	5	5	6	6	4	6	5	7	8	7	10	7	7	9	7	8	9	8	10	11	10	10	9	8	11	11	10	13	11	11	10	10	12	12	13	13	12	10	12	13	13	14	13	14	15	15	15	18	13	16	16	18	17	19	19	19	18	22	22	20	24	23	25	26	27	24	26	26	26	25	27	26	23	29	28	27	28	29	28	28	31	0	1	1	8	1	1	3	1	5	2	2	4	1	2	5	5	11	4	10	12	16	14	15	8	16	0	9	12	24	18	24	26	26	10	34	43	19	28	30	24	32	34	24	31	33	26	10	35	36	15	37	36	37	38	30	31	43	51	56	45	48	48	49	46	54	54	49	13	43	68	68	46	67	76	69	70	68	74	75	77	68	68	79	64	68	79	71	68	68	83	85	68	57	71	68	69	87	79	68	85	1	1	1	1	2	1	1	1	1	2	1	1	2	2	1	1	2	4	1	2	1	2	2	3	1	1	2	2	1	2	1	1	2	2	1	1	2	1	1	3	3	1	2	2	1	3	6	3	1	3	1	1	2	2	2	3	1	1	1	1	3	1	2	3	2	2	3	5	5	2	4	5	1	1	1	1	5	1	1	1	5	6	4	8	9	4	7	6	4	1	1	4	10	6	8	9	1	5	10	4
1500	-1017.109683639092168	-1015.191136870997411	-1.918546768094743	0.000010064718647	0.000021471140366	2.133307558579395	0.442724100518121	-2	0	0	2	-1	1	2	1	5	4	2	3	3	3	4	4	4	6	6	6	5	5	6	5	6	6	7	8	8	10	7	7	8	9	9	9	9	10	11	10	10	10	7	9	10	10	12	11	10	11	10	12	13	12	11	12	9	12	13	15	13	14	15	16	15	14	18	13	16	15	16	17	19	19	20	17	22	22	19	23	21	26	25	27	24	26	26	27	26	27	25	26	29	27	27	26	27	29	28	30	0	1	1	8	1	1	3	5	1	2	2	8	5	2	5	8	11	4	10	12	8	14	15	8	16	0	9	12	24	18	24	26	26	10	10	43	19	28	18	31	26	34	24	24	33	26	10	35	43	23	37	49	37	38	8	40	43	51	44	45	35	48	52	46	54	54	49	18	49	68	68	46	69	76	69	71	76	74	69	71	74	68	79	64	68	79	76	78	68	83	85	68	79	71	68	79	87	79	71	92	1	1	1	1	1	2	1	1	4	2	1	2	2	2	3	2	1	3	1	1	2	1	1	2	1	1	1	2	1	3	2	1	1	2	4	2	2	1	2	2	3	1	1	3	1	3	4	1	2	3	1	1	2	2	5	1	2	1	2	3	2	2	2	3	2	1	4	6	4	1	2	3	2	2	2	1	2	2	2	4	1	5	3	6	8	4	5	4	7	1	1	7	8	6	7	4	1	5	5	2
2000	-1031.523001978758657	-1029.253401006933927	-2.269600971824735	0.000010155328837	0.000031208786815	3.073143894703210	0.483887567710135	-1	1	1	0	0	3	2	2	3	3	2	3	2	3	3	3	4	6	4	5	6	6	5	5	7	6	7	9	5	9	7	8	8	9	9	9	9	10	11	11	11	10	6	12	10	11	13	11	11	11	10	12	12	12	13	11	11	12	13	15	14	13	14	16	14	14	17	14	16	16	16	18	18	19	19	18	21	22	19	22	22	25	25	26	24	26	26	26	26	26	26	26	28	26	26	28	29	28	28	29	0	5	5	1	1	1	3	4	5	2	2	4	1	2	5	4	11	4	10	12	16	14	15	8	16	0	9	20	8	18	24	26	26	10	10	43	19	28	30	31	32	34	29	31	33	26	10	35	43	15	37	49	37	38	21	31	8	51	31	45	47	48	36	46	54	54	43	29	49	68	68	46	69	71	69	68	71	77	69	77	76	55	79	72	76	79	76	81	67	83	85	68	79	81	67	90	87	79	87	92	1	1	1	1	1	3	1	1	2	1	1	2	2	1	1	2	1	4	1	2	3	2	1	2	2	1	2	2	2	1	1	1	1	2	4	2	3	1	2	2	2	1	1	2	1	2	5	1	2	4	1	1	2	1	4	2	4	2	3	2	1	1	2	3	2	1	6	5	2	1	1	3	1	2	1	3	2	1	2	1	2	5	2	4	3	4	3	3	4	1	2	6	8	3	4	1	2	5	1	2
2500	-1015.089051640712000	-1012.820755293508114	-2.268296347203915	0.000010389437048	0.000031889623060	3.069427430350264	0.559064277517362	0	1	1	1	2	3	2	2	5	4	2	2	1	3	2	3	3	7	5	5	6	5	5	6	7	6	7	9	5	10	8	8	8	9	7	9	9	10	12	10	11	11	7	12	11	11	14	11	10	10	10	11	11	12	13	12	10	12	14	13	13	14	14	16	15	13	16	14	16	16	16	17	17	19	20	19	22	21	21	23	22	24	26	25	23	25	26	26	26	27	25	26	29	27	26	28	29	29	28	31	0	1	1	1	1	1	3	4	1	2	2	4	1	2	1	4	11	20	10	12	16	14	15	29	16	0	9	12	4	18	24	26	26	10	10	43	19	28	1	24	32	34	29	24	33	26	34	35	43	23	37	43	37	38	30	24	43	51	56	45	48	48	52	46	38	54	44	39	52	68	68	46	52	71	67	71	71	74	67	77	78	67	86	72	78	79	85	81	47	83	85	77	79	78	44	83	87	90	91	92	1	1	1	1	2	2	1	1	2	2	1	1	1	1	1	1	1	1	1	2	2	1	2	1	2	1	2	3	2	2	2	1	1	2	2	2	2	1	6	2	2	1	1	4	2	2	3	1	2	3	1	2	1	2	1	4	1	1	1	1	1	2	2	3	2	1	2	1	3	2	1	3	2	2	2	2	3	1	3	1	1	5	1	3	1	3	2	3	5	1	1	4	6	3	6	1	2	1	1	2
3000	-993.308364914224171	-991.262717826741550	-2.045647087482620	0.000010613012361	0.000026113978299	2.460562318197101	0.572082965184087	-1	0	0	2	2	1	1	1	5	4	2	3	1	3	4	4	4	6	6	4	6	5	5	5	6	6	7	8	8	9	9	9	8	9	9	9	8	10	12	10	11	11	7	12	12	11	13	11	11	11	10	12	13	12	12	10	11	12	12	14	14	13	14	15	15	14	17	15	16	17	16	17	19	19	20	19	21	23	20	22	23	26	26	26	24	24	26	27	26	25	25	26	27	26	26	27	29	29	27	29	0	1	1	8	2	1	3	1	5	2	2	4	1	2	5	4	11	4	10	12	16	14	15	4	16	0	9	20	18	18	24	26	26	10	10	43	19	28	18	24	32	34	24	56	33	32	34	35	43	15	37	36	51	38	30	24	29	51	40	45	48	48	49	46	54	54	49	28	49	68	68	64	69	71	69	71	71	74	67	76	77	67	86	64	78	79	77	71	67	86	85	68	79	77	67	90	85	90	91	92	1	1	1	1	1	1	1	1	2	2	1	1	1	2	2	1	2	2	1	1	2	1	1	1	1	1	1	3	1	2	2	2	1	2	2	2	1	2	3	2	2	1	1	1	2	2	2	1	2	5	1	2	2	2	2	2	1	1	1	1	2	2	2	2	2	1	5	3	2	1	1	1	2	2	2	2	4	2	2	1	1	6	1	5	1	2	2	5	4	1	1	5	5	3	5	1	2	3	1	2
3500	-947.385737813207470	-944.990760033438505	-2.394977779768987	0.000011420268951	0.000039274843299	3.439047142160615	0.568899682667176	-1	0	1	2	0	2	2	1	4	2	2	4	2	4	3	4	4	6	6	5	5	5	5	5	6	5	7	7	7	9	8	7	9	9	10	9	9	9	10	10	10	11	8	11	12	10	13	11	11	12	11	11	12	12	12	11	12	13	14	15	13	13	14	15	16	14	18	14	16	16	16	18	19	19	20	19	21	22	22	23	22	24	26	26	24	25	25	26	25	27	25	26	28	27	26	28	30	28	28	30	0	1	5	8	1	1	3	1	5	2	2	4	1	2	1	8	11	8	10	12	16	14	15	4	9	0	9	20	12	18	24	26	26	10	34	43	19	28	18	31	32	34	29	40	33	26	34	35	43	15	37	36	37	38	39	31	36	51	40	45	48	48	52	46	28	38	69	50	52	68	68	64	69	71	67	71	71	76	75	77	77	50	86	64	78	79	74	81	65	83	85	50	79	81	50	83	87	90	91	92	1	1	1	1	1	1	1	1	3	2	1	1	1	2	2	1	2	3	2	1	1	1	2	2	1	1	2	1	2	1	2	1	2	3	1	1	2	2	2	1	2	1	1	1	2	1	2	1	2	6	1	1	2	1	1	1	2	1	2	2	2	1	2	3	5	2	1	1	2	1	1	2	2	1	1	2	2	2	1	1	1	4	1	5	1	2	3	3	4	1	1	5	4	3	7	1	4	1	1	2
4000	-1015.215957286092134	-1013.071851825971180	-2.144105460120954	0.000012672711636	0.000034517728403	2.723783937928160	0.633791314573462	-1	0	3	2	2	2	1	1	6	3	2	2	2	4	2	5	3	6	5	5	4	5	5	4	7	5	7	9	7	10	8	8	8	9	10	8	9	10	11	9	11	11	10	12	10	11	14	12	10	11	10	12	12	13	12	11	11	13	13	15	13	13	14	14	16	15	18	14	16	16	16	18	18	18	20	19	21	23	21	22	21	24	26	26	23	23	25	25	26	27	25	26	27	26	27	28	30	28	28	30	0	1	7	8	1	1	1	1	5	2	2	8	1	10	1	21	11	4	10	12	8	14	15	4	16	0	9	20	24	18	24	26	26	10	34	18	19	28	30	31	32	34	36	40	33	26	34	35	36	15	19	49	37	38	18	31	36	51	56	45	48	48	52	46	38	38	69	18	63	68	68	64	69	71	67	71	71	77	69	71	71	50	79	72	77	79	81	85	65	83	85	82	86	81	54	83	85	90	91	92	1	1	1	1	1	2	1	1	1	2	1	1	2	1	2	1	1	1	2	1	1	1	2	1	1	1	1	3	1	1	2	2	2	3	1	1	2	1	1	1	2	1	1	2	1	2	2	1	2	3	2	1	1	2	2	2	1	2	2	3	1	1	2	2	4	2	1	7	1	1	1	2	1	2	1	2	2	2	2	3	3	7	4	3	1	1	2	1	3	1	1	1	2	3	10	1	4	1	1	2
4500	-888.183610941568645	-886.439556605101075	-1.744054336467605	0.000015403282597	0.000026217204241	1.702053057649221	0.553245465874536	-1	0	1	2	1	3	2	1	5	3	2	3	1	3	3	5	4	6	4	6	4	5	5	6	5	5	6	9	8	9	9	6	8	8	9	7	9	10	12	10	10	10	9	11	12	11	14	11	11	10	10	11	12	12	13	11	11	12	13	14	13	13	13	14	14	13	18	14	15	17	16	18	17	18	19	18	22	20	21	24	22	25	25	25	24	25	26	26	26	26	25	27	27	27	26	27	30	27	28	29	0	1	1	8	1	13	3	2	6	2	2	8	1	2	5	21	11	4	10	12	8	14	15	4	21	0	9	20	18	8	24	26	26	10	34	24	19	20	30	24	32	34	36	24	33	26	34	35	43	15	37	36	37	38	18	24	43	51	56	45	48	48	52	46	54	54	69	13	52	68	68	64	69	71	67	71	71	74	75	77	78	68	79	72	78	79	78	85	77	83	85	82	86	77	68	83	85	83	91	92	1	1	1	1	1	1	1	1	2	2	1	1	1	2	1	1	1	2	1	2	2	1	1	2	1	1	1	2	1	3	2	1	1	2	1	1	4	2	2	2	2	1	1	2	2	3	2	1	1	2	1	2	1	2	4	3	1	1	2	1	2	1	1	1	1	1	1	10	2	2	1	2	1	1	1	1	2	1	2	1	1	7	2	4	2	2	2	1	2	1	1	2	2	2	9	1	3	1	1	1
