step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16
9000	-59.510989095370235	-66.366477046329607	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.967856476835728	1	2	2	4	4	3	6	6	5	8	7	8	8	8	9	9	0	1	1	3	3	3	9	5	0	8	5	9	7	9	13	14	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
9500	-65.558140927416432	-72.413628878375803	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.766329972357462	0	2	2	4	4	3	6	5	5	8	8	8	7	8	10	10	0	1	1	3	3	3	9	5	0	5	8	9	7	9	12	14	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1
10000	-70.844271022475070	-77.699758973434442	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.810838687643012	0	1	1	2	4	2	7	7	5	7	7	7	8	8	9	10	0	1	1	3	6	3	9	3	0	5	5	9	12	9	12	14	1	1	1	1	1	1	1	3	1	2	1	2	1	1	1	1
10500	-58.328081170325532	-65.183569121284904	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.893830918263214	0	2	2	4	4	3	7	6	6	7	6	7	8	8	10	10	0	1	1	3	3	3	9	5	0	5	5	9	7	12	13	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
11000	-65.990817908758572	-72.846305859717944	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.904069612971492	0	1	1	4	3	4	6	6	4	8	7	7	7	7	9	9	0	1	1	3	3	3	9	4	0	8	8	9	7	9	12	14	1	1	1	2	1	1	1	1	1	1	1	2	1	2	1	1
11500	-55.053176756911313	-61.908664707870685	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.981234404238406	0	1	2	4	4	3	6	6	5	8	7	7	7	8	8	10	0	1	1	3	3	3	9	5	0	8	8	9	7	9	13	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
12000	-53.985610380370098	-60.841098331329469	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.978534861059526	1	2	2	3	4	3	6	6	5	7	7	7	7	8	9	10	0	1	1	3	3	3	9	5	0	8	5	9	7	9	13	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
12500	-63.250727430481717	-70.106215381441089	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.800324292006765	0	1	1	3	3	3	6	5	5	8	7	6	8	7	10	10	0	1	1	3	3	3	9	5	0	8	8	9	7	12	13	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
13000	-69.410759731514801	-76.266247682474173	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.809448226396951	0	2	2	3	4	3	5	6	4	7	8	6	6	8	9	10	0	1	1	3	6	3	9	5	0	5	8	9	7	9	14	14	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1
13500	-62.542688816164969	-69.398176767124340	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.933492024191991	0	1	2	3	4	3	6	6	4	7	7	7	8	9	10	10	0	1	1	3	3	3	9	5	0	8	8	9	7	12	13	14	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1
14000	-65.209266463683790	-72.064754414643161	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.777837888621417	0	1	3	4	3	2	6	7	4	8	7	7	7	9	10	9	0	1	6	3	6	1	9	5	0	8	5	9	7	12	13	12	1	1	1	1	1	1	1	2	1	1	2	2	1	1	1	1
14500	-60.157600151824496	-67.013088102783868	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.964810740153058	0	1	2	3	4	1	6	7	5	7	8	7	7	8	9	10	0	1	6	6	3	1	9	5	0	5	8	9	7	9	13	14	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1
15000	-63.637654240765031	-70.493142191724402	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.901945412197993	-1	1	2	3	4	1	7	7	5	6	7	6	8	7	9	9	0	1	6	6	6	1	9	5	0	5	5	9	7	9	13	14	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
15500	-61.387016654679712	-68.242504605639084	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.987977665436152	0	1	2	2	3	1	7	6	5	7	7	7	8	7	10	9	0	1	6	6	3	1	9	5	0	8	5	9	7	9	13	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
16000	-66.415824572518147	-73.271312523477519	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.818246279064486	0	1	3	4	3	2	6	5	5	8	7	8	7	7	8	9	0	1	6	3	6	1	9	5	0	8	5	9	7	9	13	14	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1
16500	-74.714442624426596	-81.569930575385968	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.755270687838485	0	1	3	4	4	2	6	7	4	8	7	8	7	7	10	10	0	1	6	6	3	1	9	5	0	5	5	9	7	9	13	14	1	1	1	1	1	1	1	2	1	3	2	2	1	1	2	2
17000	-73.667552005911830	-80.523039956871202	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.686988151108297	1	2	3	3	4	2	6	7	4	7	7	7	8	9	9	9	0	1	6	6	6	1	9	5	0	5	5	9	7	9	7	12	1	1	1	1	1	1	1	2	1	2	2	2	2	2	1	1
17500	-65.715128332518546	-72.570616283477918	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.794352999340069	0	2	1	2	3	3	6	8	5	8	7	8	7	9	9	10	0	1	1	3	3	3	9	11	0	5	5	9	7	12	13	14	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1
18000	-56.484596027322382	-63.340083978281754	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.944669581284733	0	2	1	3	4	2	6	7	5	7	8	7	7	7	9	9	0	1	1	3	6	3	9	5	0	5	8	9	7	9	13	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
18500	-72.299170867999720	-79.154658818959092	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.772912309717250	0	2	3	3	4	1	7	6	4	7	7	7	6	9	10	9	0	1	6	6	6	1	9	5	0	5	5	9	9	7	7	7	1	1	1	1	1	1	2	1	1	1	1	2	1	1	2	1
19000	-62.371766931113328	-69.227254882072700	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.979422829819996	0	1	1	3	4	2	6	5	5	8	6	8	8	8	9	9	0	1	1	6	6	3	9	5	0	8	5	9	7	9	13	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
19500	-54.881715162010551	-61.737203112969922	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.947837398049372	0	2	2	4	4	4	6	6	5	7	7	7	8	8	10	10	0	1	1	3	3	3	9	5	0	5	5	9	7	12	13	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
20000	-69.403589819952188	-76.259077770911560	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.667819442462905	0	2	2	4	4	3	5	7	3	6	7	7	7	7	9	10	0	1	1	3	6	3	9	5	0	5	5	9	7	9	12	12	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	2
20500	-64.111995915916907	-70.967483866876279	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.808529702905341	0	2	2	4	4	3	7	6	5	8	7	7	8	8	9	10	0	1	1	3	3	3	9	5	0	8	8	9	7	12	13	14	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2
21000	-72.211847785150638	-79.067335736110010	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.686352403292304	-1	1	1	3	3	4	6	6	5	5	8	6	7	7	8	10	0	1	1	3	3	5	9	6	0	5	5	9	7	9	13	14	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1
21500	-56.153507764194323	-63.008995715153695	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.811652718785420	0	1	2	3	4	3	6	6	5	7	7	7	8	8	9	10	0	1	1	3	3	3	9	5	0	8	8	9	7	12	13	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
22000	-58.132078139504301	-64.987566090463673	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.932667524152717	1	2	2	3	4	3	6	7	5	8	8	7	8	8	9	9	0	1	1	3	3	3	9	5	0	5	8	9	7	12	13	14	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1
